Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST,EMD,REGISTRATION CERTIFICATE, PAN GST, AFFIDAVITS IN SCHDULE-A AND SCHEDULE-B ETC",28-Jan-2026 10:00 AM,09-Feb-2026 11:00 AM,28-Jan-2026 10:00 AM,07-Feb-2026 05:00 PM,28-Jan-2026 10:00 AM ,07-Feb-2026 05:00 PM ,28-Jan-2026 10:00 AM,07-Feb-2026 05:00 PM,12-Mar-2026 11:00 AM,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-SUNDERGARH,Bid Identification No-SE-R AND B-SNG-28 OF 2025-26,2026_EICCL_125091_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"SE Sundargarh R and B Division, Sundargarh","O/o the SE Sundargarh R and B Division, Sundargarh","57,985",Yes,percentage,1.0%,Nil,Nil,"Construction of approach Road connecting from 4-Lane Bankibahal Kanika PWD road to Odisha Adarsha Vidyalaya at Kamlaga , Hemgir Block in the District of Sundargarh for the year 2025.2","Construction of approach Road connecting from 4-Lane Bankibahal Kanika PWD road to Odisha Adarsha Vidyalaya at Kamlaga , Hemgir Block in the District of Sundargarh for the year 2025.2",Please refer Tender documents. ,NA ,"57,98,526",Civil Works - Roads,NA ,Tender,90.0,90.0,Sundargarh,770001.0,NA ,NA ,NA ,"O/o the SE Sundargarh R and B Division, Sundargarh",No ,No,"10,000",0.0,Nil,Nil,No,AOC,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-SUNDERGARH,2026_EICCL_125091_3,Bid Identification No-SE-R AND B-SNG-28 OF 2025-26,"Construction of approach Road connecting from 4-Lane Bankibahal Kanika PWD road to Odisha Adarsha Vidyalaya at Kamlaga , Hemgir Block in the District of Sundargarh for the year 2025.2",Technical,tender status,Swagatika Naik,09-Feb-2026 05:19 PM,technical_577788.pdf,SEDAOAEEAE,Internal,SEDAOAEEAE,AMIT KUMAR TUDU,18-May-2026 11:18 AM,finsummary_577788.pdf (510.86 KB),1.0,3384637.0,SURJIT PATEL,INR,"5,792,727.62",19-May-2026,"INR 5,792,727.62",90.0,AMIT KUMAR TUDU,18-May-2026 11:25 AM,kamlaga.pdf (511.00 KB),Work order copy,1,3384260,ABHAYA KUMAR NAIK,07-Feb-2026 04:04 PM,Rejected-AOC,Accepted,18-May-2026 11:25 AM,SEDAOAEEAE,Internal,SEDAOAEEAE,AMIT KUMAR TUDU,10-Mar-2026 05:59 PM,12-Mar-2026 11:00 AM,techsummary_577788.pdf (326.35 KB),Finance,cs copy,AMIT KUMAR TUDU,14-Mar-2026 07:27 PM,finance_577788.pdf,BOQ Comparative Chart,AOC
,,.pdf,"SCHEDULE-A IN AFFIDAVIT , SCHEDULE-B, MOU WITH ELECTRICAL CONTRACTOR IN SCHEDULE-C AND OTHER DOCS.",,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3385088,Chumendu Kishor Sa,07-Feb-2026 04:24 PM,Rejected-Technical,EMD Ememption and Digtial Signature Documents not submitted,10-Mar-2026 05:59 PM,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3380427,GOPIKRISHNA NAIK,04-Feb-2026 12:47 PM,Rejected-AOC,Accepted,18-May-2026 11:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3380730,J M K CONSTRUCTION,05-Feb-2026 02:56 PM,Rejected-Technical,Valid digital signature documents not furnished,10-Mar-2026 05:59 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3383008,KRUSHNA CHANDRA TANDIA,05-Feb-2026 08:16 PM,Rejected-AOC,Accepted,18-May-2026 11:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3384096,LALIT KUMAR CHOUDHURY,06-Feb-2026 06:01 PM,Rejected-AOC,Accepted,18-May-2026 11:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3384307,RAJ KISHORE BHATTACHARYA,06-Feb-2026 09:46 PM,Rejected-AOC,Accepted,18-May-2026 11:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3384179,SANOJ KUMAR GHOSH,06-Feb-2026 07:37 PM,Rejected-AOC,Accepted,18-May-2026 11:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3384378,SOURAV SAGAR PATEL,07-Feb-2026 12:13 AM,Rejected-AOC,Accepted,18-May-2026 11:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3384637,SURJIT PATEL,07-Feb-2026 12:12 PM,Accepted-AOC,1st Lowest,18-May-2026 11:25 AM,,,,,,,,,,,,,,AOC
