S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,"16,949",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate, PAN, GST Cost of Tender Paper and other document as per DTCN","EXECUTIVE OFFICER, NAC DHARMAGARH","EXECUTIVE OFFICER, NAC DHARMAGARH",CONSTRUCTION OF PEDESTRAIN PATH FROM SBI BANK CHOWK TOWARDS HOSPITAL CHOWK UNDER DHARMAGARH NAC,CONSTRUCTION OF PEDESTRAIN PATH FROM SBI BANK CHOWK TOWARDS HOSPITAL CHOWK UNDER DHARMAGARH NAC,Please refer Tender documents. ,NA ,"16,94,915",Civil Works - Others,NA ,Tender,90.0,NA ,"NAC, DHARMAGARH",766015.0,NA ,NA ,NA ,"NAC,DHARMAGARH",No ,No,"6,000",0.0,Nil,Nil,No,23-Dec-2025 12:00 PM,09-Jan-2026 11:00 AM,23-Dec-2025 12:00 PM,07-Jan-2026 05:00 PM,NA ,NA ,23-Dec-2025 12:00 PM,07-Jan-2026 05:00 PM,Municipal Bodies||Dharmagarh NAC,DHM/04/2025-26,2025_ORULB_123690_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,ASHOK KUMAR MOHANTY,Internal,"RAJIB LOCHAN PODH,BISWAMBHAR MISHRA, SARAT KUMAR SAHOO",Biswambhar Mishra,04-May-2026 09:43 AM,finsummary_573011.pdf (499.77 KB),Municipal Bodies||Dharmagarh NAC,2025_ORULB_123690_1,DHM/04/2025-26,CONSTRUCTION OF PEDESTRAIN PATH FROM SBI BANK CHOWK TOWARDS HOSPITAL CHOWK UNDER DHARMAGARH NAC,1.0,3334109.0,CHANCHAL AGRAWAL,INR,"1,440,847.88",Finance,TENDER PROCEEDING,Biswambhar Mishra,04-May-2026 09:34 AM,finance_573011.pdf,BOQ Comparative Chart,1,3347530,AISCHARYA GOYAL,07-Jan-2026 01:02 PM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:43 AM,04-May-2026,"INR 1,440,847.88",60.0,Biswambhar Mishra,04-May-2026 09:47 AM,PROCEEDING.pdf (500.00 KB),ASHOK KUMAR MOHANTY,Internal,"RAJIB LOCHAN PODH, BISWAMBHAR MISHRA,SARAT KUMAR SAHOO",Biswambhar Mishra,04-May-2026 09:38 AM,techsummary_573011.pdf (499.77 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3334109,CHANCHAL AGRAWAL,02-Jan-2026 09:30 AM,Accepted-AOC,BY THE TENDER COMMITTEE,04-May-2026 09:47 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3347418,MAHENDRA NAIK,07-Jan-2026 11:26 AM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:43 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3343781,M/S DEBADATTA PATTNAIK,03-Jan-2026 08:56 PM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:43 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3347466,PRATAP KISHOR NAIK,07-Jan-2026 12:27 PM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:43 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3347715,PRIYANKA PUROHIT,07-Jan-2026 02:19 PM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:43 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3347951,ROSAN PRADHAN,07-Jan-2026 04:18 PM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:43 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3342147,SHREE SHREE CONSTRUCTION,02-Jan-2026 09:09 AM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:43 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3347049,Sobhabati Meher,06-Jan-2026 07:16 PM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:43 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3347461,SUNITA NAIK,07-Jan-2026 02:32 PM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:43 AM,,,,,,,,,,,,,AOC
