Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Evaluation Sheet,Jyotirmayee Mallick,18-Feb-2026 03:55 PM,finance_578657.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2026_CERWI_125323_14,Tender Online - 11 of 2025-26,S/R to Tarajanga to Balipatana Road for the year 2025-26.,1.0,3390346.0,SUVASMITA SAHOO,INR,"503,440",1,3388569,BHABANI SANKAR DAS,10-Feb-2026 02:47 PM,Rejected-Technical,L2,12-May-2026 12:59 PM,12-May-2026,"INR 503,440",30.0,Jyotirmayee Mallick,12-May-2026 01:08 PM,1904.pdf (2013.00 KB),"SE,RW Division JSPR",Internal,,Jyotirmayee Mallick,12-May-2026 12:59 PM,techsummary_578657.pdf (748.06 KB),"SE,RW Division JSPR",Internal,,Jyotirmayee Mallick,12-May-2026 01:03 PM,finsummary_578657.pdf (2013.32 KB),AOC,02-Feb-2026 09:00 AM,11-Feb-2026 11:00 AM,02-Feb-2026 10:00 AM,10-Feb-2026 05:00 PM,02-Feb-2026 10:00 AM ,09-Feb-2026 03:00 PM ,02-Feb-2026 10:00 AM,10-Feb-2026 05:00 PM,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 11 of 2025-26,2026_CERWI_125323_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, PAN Regd Cert, GSTIN, No Relation and Affidavit Towards Correctness certificate",1.0,ICICI BANK,"5,830",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,"O/O the Suptd. Engineer, R. W. Division,","O/O the Suptd. Engineer, R. W. Division,",S/R to Tarajanga to Balipatana Road for the year 2025-26.,S/R to Tarajanga to Balipatana Road for the year 2025-26.,Please refer Tender documents. ,NA ,"5,83,000",Civil Works - Roads,NA ,Tender,60.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,AOC
,,,,,,,,,,,,,,,2,3387456,BIJAYA BHOL,09-Feb-2026 12:44 PM,Rejected-Technical,L2,12-May-2026 12:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3386274,BIKRAM KISHOR ROUT,08-Feb-2026 05:48 PM,Rejected-Technical,L2,12-May-2026 12:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3387323,MANAS KUMAR MUDULI,10-Feb-2026 07:23 AM,Rejected-Technical,L2,12-May-2026 12:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3384576,NIKUNJA KISHORE KHUNTIA,08-Feb-2026 10:48 AM,Rejected-Technical,L2,12-May-2026 12:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3386705,PRADEEP KUMAR DAS,09-Feb-2026 10:50 PM,Rejected-Technical,L2,12-May-2026 12:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3388975,SABITRI ROUL,09-Feb-2026 10:12 PM,Rejected-Technical,L2,12-May-2026 12:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3386041,SANJAYA KUMAR BISWAL,09-Feb-2026 09:02 PM,Rejected-Technical,L2,12-May-2026 12:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3388658,SANTOSH MOHANTY,10-Feb-2026 03:44 PM,Rejected-Technical,L2,12-May-2026 12:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3389117,SATYA PRAKASH DASH,09-Feb-2026 09:49 PM,Rejected-Technical,L2,12-May-2026 12:59 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
