S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2805904.0,SUDHIR KUMAR SAIDEO,INR,"89,308,929",Technical,Only 12 nos bidder participated.,Binata Kishan,19-Feb-2025 01:12 PM,,CE RW I||RW-CIRCLE-SUNDARGARH,2025_CERWI_109929_2,RWCCESNG-15 OF 2024-25,Improvement of road from Lakhanpur Chhak to Diamunda- 5. 279 km and Aunlabahal to Jhurimal - 4.20 km under improvement to existing RD road for the year 2024-25 in the district of Sundargarh.,A.K Sahoo,Internal,,Ashoka Kumar Sahoo,03-Nov-2025 11:44 AM,finsummary_527760.pdf (24.76 KB),A.K Sahoo,Internal,,Binata Kishan,14-Aug-2025 06:40 PM,20-Aug-2025 11:00 AM,techsummary_527760.pdf (601.51 KB),Finance,Ten nos of bidder only.,Binata Kishan,20-Aug-2025 01:53 PM,finance_527760.pdf,BOQ Comparative Chart,08-May-2026,"INR 89,308,929",360.0,Ashoka Kumar Sahoo,08-May-2026 12:28 PM,3203.pdf (484.00 KB),1,2818224,ASHOK BRICKS INDUSTRIES PRIVATE LIMITED,17-Feb-2025 03:43 PM,Rejected-Finance,Not qualified,03-Nov-2025 11:44 AM,AOC,30-Jan-2025 09:00 AM,18-Feb-2025 11:00 AM,30-Jan-2025 09:00 AM,17-Feb-2025 05:00 PM,30-Jan-2025 09:00 AM ,15-Feb-2025 05:00 PM ,30-Jan-2025 09:00 AM,17-Feb-2025 05:00 PM,20-Aug-2025 11:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Registration Certificate,GST,PAN etc.",CE RW I||RW-CIRCLE-SUNDARGARH,RWCCESNG-15 OF 2024-25,2025_CERWI_109929_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement of road from Lakhanpur Chhak to Diamunda- 5. 279 km and Aunlabahal to Jhurimal - 4.20 km under improvement to existing RD road for the year 2024-25 in the district of Sundargarh.,Improvement of road from Lakhanpur Chhak to Diamunda- 5. 279 km and Aunlabahal to Jhurimal - 4.20 km under improvement to existing RD road for the year 2024-25 in the district of Sundargarh.,Please refer Tender documents. ,NA ,"10,50,56,968",Civil Works - Roads,NA ,Tender,90.0,360.0,Sundargarh,770020.0,NA ,NA ,NA ,"O/O The C.C.E RW Circle,Sundargarh",No ,No,"C.C.E RW Circle,Sundargarh","O/O The C.C.E RW Circle,Sundargarh","10,50,570",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2821594,BIJAY KUMAR AGARWAL,17-Feb-2025 01:58 PM,Rejected-Technical,Inadequate Machineries,14-Aug-2025 06:40 PM,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Machinaries,experience and other documents as per DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2820276,Binod Kumar Agrawal,16-Feb-2025 12:01 PM,Rejected-Finance,Not qualified,03-Nov-2025 11:44 AM,AOC,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2816741,isar engineers pvt ltd,17-Feb-2025 10:01 AM,Rejected-Finance,Not qualified,03-Nov-2025 11:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2820873,JK CONSTRUCTION,16-Feb-2025 05:56 PM,Rejected-Finance,Not qualified,03-Nov-2025 11:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2822192,MESSERS S K CONSTRUCTION,17-Feb-2025 01:41 PM,Rejected-Finance,Not qualified,03-Nov-2025 11:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2821311,M/S ARYA CONSTRUCTION,16-Feb-2025 11:36 PM,Rejected-Technical,Inadequate bid Capacity,14-Aug-2025 06:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2820457,Orient Constructions Pvt. Ltd.,17-Feb-2025 03:17 PM,Rejected-Finance,Not qualified,03-Nov-2025 11:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2822770,PRAVEEN AGRAWAL,17-Feb-2025 04:43 PM,Rejected-Finance,Not qualified,03-Nov-2025 11:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2820843,RANJEET KUMAR BARUA,16-Feb-2025 05:37 PM,Rejected-Finance,Not qualified,03-Nov-2025 11:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2821956,SRINIBAS PRADHAN,17-Feb-2025 01:32 PM,Rejected-Finance,Not qualified,03-Nov-2025 11:44 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2805904,SUDHIR KUMAR SAIDEO,09-Feb-2025 08:21 PM,Accepted-AOC,Lowest Bidder by Lottery,08-May-2026 12:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
