S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3230019.0,KAMAL HALDAR,INR,"85,007,181.84","Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-II, Nabarangpur at Umerkote Estimator R.W. Circle Sunabeda and P.A. to CCE",Banjuram Hembram,02-May-2026 01:09 PM,finsummary_564685.pdf (377.59 KB),Technical,bidders name,Rinku Nahak,06-Feb-2026 11:31 AM,technical_564685.pdf,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_121374_2,CCERWCSBD Online 13/2025-26,Construction of Adhikariguda PS road to Bakoda via Bhamini Road in the District of Nabarangpur under MMSY Transferred Road Improvement Programme (MMSY-TRIP) for the year 2024-25,Finance,cs,Rinku Nahak,16-Feb-2026 09:14 PM,finance_564685.pdf,BOQ Comparative Chart,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-II, Nabarangpur at Umerkote Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,06-Feb-2026 11:37 AM,10-Feb-2026 11:00 AM,techsummary_564685.pdf (897.41 KB),1,3237062,Akbar Ali,19-Nov-2025 09:10 AM,Rejected-AOC,REJECT,02-May-2026 01:17 PM,02-May-2026,"INR 85,007,181.84",367.0,Banjuram Hembram,02-May-2026 01:17 PM,AOCADHIKARIGUDA.pdf (1505.00 KB),"Award of contract to Sri Kamal Haldar, A Class Contractor through transparency lottery system",AOC,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online 13/2025-26,2025_CERWI_121374_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,00,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,15-Nov-2025 06:55 PM,24-Nov-2025 11:00 AM,15-Nov-2025 06:55 PM,21-Nov-2025 05:00 PM,15-Nov-2025 06:55 PM ,20-Nov-2025 02:00 PM ,15-Nov-2025 06:55 PM,21-Nov-2025 05:00 PM,10-Feb-2026 11:00 AM,Construction of Adhikariguda PS road to Bakoda via Bhamini Road in the District of Nabarangpur under MMSY Transferred Road Improvement Programme (MMSY-TRIP) for the year 2024-25,Construction of Adhikariguda PS road to Bakoda via Bhamini Road in the District of Nabarangpur under MMSY Transferred Road Improvement Programme (MMSY-TRIP) for the year 2024-25,NA ,NA ,"9,99,97,000",Civil Works - Roads,NA ,Tender,90.0,367.0,UMERKOTE,764073.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,Chief Construction Engineer,"Rural Works Circle, Sunabeda, At-Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",1.0,CORRIGENDUM,Other,,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3244427,ALOK KUMAR BISOYI,21-Nov-2025 03:50 PM,Rejected-AOC,REJECT,02-May-2026 01:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3242646,CHANDRA SEKHAR JENA,20-Nov-2025 10:19 PM,Rejected-AOC,REJECT,02-May-2026 01:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3244181,CHETAN BISOI,21-Nov-2025 01:45 PM,Rejected-AOC,REJECT,02-May-2026 01:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3244381,DEMANTI AGRAWAL,21-Nov-2025 02:47 PM,Rejected-AOC,REJECT,02-May-2026 01:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3242125,Dhiraj Kumar Agrawal,21-Nov-2025 03:30 PM,Rejected-AOC,REJECT,02-May-2026 01:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3243781,GIRIDHARI LAL AGRAWAL,21-Nov-2025 12:27 PM,Rejected-AOC,REJECT,02-May-2026 01:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3237056,Gopal Haldar,19-Nov-2025 09:00 PM,Rejected-AOC,REJECT,02-May-2026 01:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3243569,JAY PRAKASH SHARMA,21-Nov-2025 12:10 PM,Rejected-AOC,REJECT,02-May-2026 01:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3244135,JMBG CONSTRUCTION,21-Nov-2025 02:35 PM,Rejected-AOC,REJECT,02-May-2026 01:17 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
