Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"6,000",0.0,Nil,Nil,No,Superintending Engineer,"RURAL WORKS DIVISION, KESINGA",27-Oct-2025 05:00 PM,10-Nov-2025 11:00 AM,27-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,27-Oct-2025 05:00 PM ,03-Nov-2025 11:00 AM ,27-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,1.0,ICICI BANK,CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Kesinga,RWKSNG-online-06/25-26,2025_CERWI_120160_46,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TPC, EMD, GSTIN, PAN Card, RC, Affidavits NRC, and required documents as DTCN",S/R to Tujung to Babeda road Boxell culvert (1x6x3) for the year 25-26,S/R to Tujung to Babeda road Boxell culvert (1x6x3) for the year 25-26,Please refer Tender documents. ,NA ,"29,66,024",Civil Works - Roads,NA ,Tender,90.0,60.0,KESINGA,766012.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, KESINGA",No ,No,"30,000",Yes,fixed,,Nil,Nil,AOC,Kanan Pradhan,Internal,,Kanan Pradhan,19-Jan-2026 04:21 PM,techsummary_558968.pdf (515.06 KB),Kanan Pradhan,Internal,,Kanan Pradhan,19-Jan-2026 04:29 PM,finsummary_558968.pdf (515.06 KB),Finance,43 nos bidder participated,Tapan Kumar Badnayak,15-Nov-2025 01:36 PM,,BOQ Comparative Chart,12-Feb-2026,"INR 2,521,417",60.0,Kanan Pradhan,25-May-2026 04:59 PM,3113.pdf (481.00 KB),1.0,3185769.0,ALAKA PATRA,INR,"2,521,417",CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Kesinga,2025_CERWI_120160_46,RWKSNG-online-06/25-26,S/R to Tujung to Babeda road Boxell culvert (1x6x3) for the year 25-26,1,3176732,ABHIJEET MANDAL,05-Nov-2025 12:24 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 04:29 PM,AOC
,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3192401,ABHIMANYU CHHATRIA,07-Nov-2025 10:32 AM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 04:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3185912,ABHIMANYU NAIK,06-Nov-2025 01:13 AM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 04:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3185769,ALAKA PATRA,06-Nov-2025 04:20 PM,Accepted-AOC,as per transparent lottery system,25-May-2026 04:59 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3171736,ANIL KUMAR KEDIA,05-Nov-2025 12:18 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 04:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3184110,ASHOK KUMAR PADHAN,05-Nov-2025 01:42 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 04:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3186185,Bhakta Charan Bhoi,06-Nov-2025 06:46 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 04:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3193249,BHUBANESWAR SAHU,07-Nov-2025 12:56 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 04:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3181995,BIBHUTI PRASAD RANA,05-Nov-2025 11:56 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 04:29 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3190361,BIKASH RANJAN BABU,06-Nov-2025 08:48 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 04:29 PM,AOC
