Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
07-May-2026,"INR 3,400,881",75.0,Lipsa Parida,07-May-2026 04:40 PM,WO_50_10.pdf (524.00 KB),1.0,3295694.0,PRIME ENGINEERING CONSTRUCTION,INR,"3,400,881",Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_122487_10,BMC-EE-Tender Cell-50/2025-26 Dt. 02.12.2025,Construction of Road Construction of Road from GE-1 to GE-25 in Ward No.11,1,3299500,ABHIJIT MOHAPATRA,13-Dec-2025 01:24 PM,Rejected-Finance,Rejected,07-May-2026 04:34 PM,Finance,17 bids opened successfully,Lipsa Parida,15-Dec-2025 05:00 PM,finance_569082.pdf,BOQ Comparative Chart,City engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEEDIVISIONI,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,07-May-2026 04:34 PM,finsummary_569082.pdf (4772.03 KB),City engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,EEEDIVISIONI,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,07-May-2026 04:28 PM,techsummary_569082.pdf (2630.33 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,Executive Engineer (Central Tender Cell),"Central Tender Cell,ICOMC Tower,BMC",1.0,ICICI BANK,"34,000",Yes,fixed,,Nil,Nil,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-50/2025-26 Dt. 02.12.2025,2025_ORULB_122487_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,04-Dec-2025 11:00 AM,15-Dec-2025 03:30 PM,04-Dec-2025 11:00 AM,15-Dec-2025 03:00 PM,04-Dec-2025 11:00 AM ,09-Dec-2025 01:30 PM ,04-Dec-2025 11:00 AM,15-Dec-2025 03:00 PM,Construction of Road Construction of Road from GE-1 to GE-25 in Ward No.11,Construction of Road Construction of Road from GE-1 to GE-25 in Ward No.11,Please refer Tender documents. ,NA ,"33,90,310",Civil Works - Roads,NA ,Tender,120.0,75.0,BMC Area,751022.0,"Office Chamber of EE Central Tender Cell,BMC ","UG Floor,Office Chamber of EE Central Tender Cell,BMC ",09-Dec-2025 04:00 PM ,"Central Tender Cell,BMC",No ,No,AOC
,,,,,,,,,,,,,,,2,3302285,ABHILASH BHATTA,15-Dec-2025 12:52 AM,Rejected-Finance,Rejected,07-May-2026 04:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3303739,AMARESH SAHOO,15-Dec-2025 02:17 PM,Rejected-Finance,Rejected,07-May-2026 04:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3303054,AMIN BARISAL,15-Dec-2025 12:35 PM,Rejected-Finance,Rejected,07-May-2026 04:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3285582,BISWANATH BAUT,11-Dec-2025 02:06 PM,Rejected-Finance,Rejected,07-May-2026 04:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3297595,BYASADEV PROJECTS PRIVATE LIMITED,12-Dec-2025 01:38 PM,Rejected-Finance,Rejected,07-May-2026 04:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3300412,DEBASHIS MOHAPATRA,13-Dec-2025 09:31 PM,Rejected-Finance,Rejected,07-May-2026 04:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3297579,KABITA MALLICK,15-Dec-2025 02:39 PM,Rejected-Finance,Rejected,07-May-2026 04:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3297205,KAMAL LOCHAN NAYAK,12-Dec-2025 12:37 PM,Rejected-Finance,Rejected,07-May-2026 04:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3299339,M/S OMM SAI ASSOCIATES,13-Dec-2025 12:48 PM,Rejected-Finance,Rejected,07-May-2026 04:34 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
