Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,16 nos bidder participated,Tapan Kumar Badnayak,13-Nov-2025 09:50 AM,,BOQ Comparative Chart,01-Mar-2026,"INR 576,100",30.0,Kanan Pradhan,12-May-2026 07:23 PM,2949.pdf (491.00 KB),1.0,3193037.0,PRATAP KISHOR NAIK,INR,"576,100",CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Kesinga,2025_CERWI_120160_10,RWKSNG-online-06/25-26,S/R to Belkhandi to Talbhamara Road 0/000 to 1/000 for the year 2025-26,1,3173984,AYUSHMAN TRADERS,06-Nov-2025 08:17 PM,Rejected-Finance,As per transparent lottery system,04-Jan-2026 08:12 PM,Kanan Pradhan,Internal,,Kanan Pradhan,04-Jan-2026 08:08 PM,techsummary_558785.pdf (511.33 KB),Kanan Pradhan,Internal,,Kanan Pradhan,04-Jan-2026 08:12 PM,finsummary_558785.pdf (511.33 KB),AOC,1.0,ICICI BANK,27-Oct-2025 04:00 PM,10-Nov-2025 11:00 AM,27-Oct-2025 04:00 PM,07-Nov-2025 05:00 PM,27-Oct-2025 04:00 PM ,03-Nov-2025 11:00 AM ,27-Oct-2025 04:00 PM,07-Nov-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Kesinga,RWKSNG-online-06/25-26,2025_CERWI_120160_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to Belkhandi to Talbhamara Road 0/000 to 1/000 for the year 2025-26,S/R to Belkhandi to Talbhamara Road 0/000 to 1/000 for the year 2025-26,Please refer Tender documents. ,NA ,"6,77,684",Civil Works - Roads,NA ,Tender,90.0,30.0,KESINGA,766012.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, KESINGA",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TPC, EMD, GSTIN, PAN Card, RC, Affidavits NRC, and required documents as DTCN",Superintending Engineer,"RURAL WORKS DIVISION, KESINGA","7,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,2,3194200,BHUBANESWAR SAHU,07-Nov-2025 03:47 PM,Rejected-Finance,As per transparent lottery system,04-Jan-2026 08:12 PM,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantities,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3182436,DOLAMANI CHOUDHURY,04-Nov-2025 09:55 PM,Rejected-Finance,As per transparent lottery system,04-Jan-2026 08:12 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3191170,GHANASHYAM SAHU,07-Nov-2025 11:45 AM,Rejected-Finance,As per transparent lottery system,04-Jan-2026 08:12 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3180230,Jagnyasen Panda,05-Nov-2025 12:52 AM,Rejected-Finance,As per transparent lottery system,04-Jan-2026 08:12 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3176879,JUBRAJ SAHU,03-Nov-2025 09:52 PM,Rejected-Finance,As per transparent lottery system,04-Jan-2026 08:12 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3185906,MEENA DEVI,06-Nov-2025 02:05 PM,Rejected-Finance,As per transparent lottery system,04-Jan-2026 08:12 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3185529,MITRA BHANU SAHU,06-Nov-2025 01:02 PM,Rejected-Finance,As per transparent lottery system,04-Jan-2026 08:12 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3171855,NEMICHAND AGRAWAL,04-Nov-2025 07:53 AM,Rejected-Finance,As per transparent lottery system,04-Jan-2026 08:12 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3193037,PRATAP KISHOR NAIK,07-Nov-2025 04:16 PM,Accepted-AOC,as per transparent lottery system,12-May-2026 07:23 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
