S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,3456028.0,PRAKASH CHANDRA PANDA,INR,"5,889,176",Municipal Bodies||Bhubaneswar Municipal Corporation,2026_ORULB_127563_6,BMC-EE-Tender Cell-88/2025-26 dt. 24.03.2026,Annual Maintenance cleaning of water stretch and R and B Division-III under BMC for 2026-27,Technical,5 bids opened successfully,Lipsa Parida,23-Apr-2026 10:37 AM,technical_586215.pdf,City Engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,26-May-2026 12:59 PM,finsummary_586215.pdf (593.22 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,23-Apr-2026 11:03 AM,23-Apr-2026 12:00 PM,techsummary_586215.pdf (202.72 KB),1.0,Tender Revocation,Tender Revocation,23-Apr-2026 10:05 AM,Corrigendum_revoke.pdf ,175.72,Technical Opening,Finance,4 bids opened successfully,Lipsa Parida,23-Apr-2026 12:52 PM,finance_586215.pdf,BOQ Comparative Chart,26-May-2026,"INR 5,889,176",365.0,Lipsa Parida,26-May-2026 01:02 PM,wo_68_26_sl6.pdf (1573.00 KB),1,3456605,ABHISHEK KARTIK RAY,17-Apr-2026 02:02 PM,Rejected-Technical,Technically disqualified,23-Apr-2026 11:03 AM,AOC,"10,000",0.0,Nil,Nil,No,30-Mar-2026 10:30 AM,18-Apr-2026 11:00 AM,30-Mar-2026 03:00 AM,17-Apr-2026 05:00 PM,30-Mar-2026 10:30 AM ,07-Apr-2026 01:00 PM ,30-Mar-2026 10:30 AM,17-Apr-2026 05:00 PM,23-Apr-2026 12:00 PM,1.0,ICICI BANK,"Executive Engineer,Central Tender Cell","Central Tender Cell, UG Floor, ICOMC Tower, Satya Nagar",Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-88/2025-26 dt. 24.03.2026,2026_ORULB_127563_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Annual Maintenance cleaning of water stretch and R and B Division-III under BMC for 2026-27,Annual Maintenance cleaning of water stretch and R and B Division-III under BMC for 2026-27,Please refer Tender documents. ,NA ,"91,97,308",Civil Works - Others,NA ,Tender,120.0,365.0,BMC AREA,751022.0,"Office chamber of the EE,Central Tender Cell ","Central Tender Cell, UG Floor, ICOMC Tower, Satya Nagar ",07-Apr-2026 03:30 PM ,"Central Tender Cell,BMC",No ,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copies of all documents,"92,000",Yes,fixed,,Nil,Nil,1.0,Corrigendum-2,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3456824,AMIN BARISAL,17-Apr-2026 03:40 PM,Rejected-Finance,other than 1st lowest,26-May-2026 12:59 PM,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3456668,M/s Gyanish Enterprises,17-Apr-2026 02:22 PM,Rejected-Finance,other than 1st lowest,26-May-2026 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3456590,M/S OMM SAI ASSOCIATES,17-Apr-2026 02:22 PM,Rejected-Finance,other than 1st lowest,26-May-2026 12:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3456028,PRAKASH CHANDRA PANDA,17-Apr-2026 11:48 AM,Accepted-AOC,1st lowest,26-May-2026 01:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
