Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
19-May-2026,"INR 372,882",30.0,Ansuman Parida,19-May-2026 09:25 AM,WO32.pdf (392.00 KB),1.0,2696266.0,SASIKANTA PRADHAN,INR,"372,882",Municipal Bodies||Nilgiri NAC,2024_ORULB_107995_32,NLGN _01/2024-25,Construction of CC Road from PWD Road to Towards Tahasildar Quarter in Ward No - 08 (Court Chhuck ),1,2697286,ASHOK KUMAR MOHAPATRA,16-Dec-2024 03:05 PM,Rejected-AOC,L4,19-May-2026 09:25 AM,Finance,Thirteenn bidders participated and quoted same rate which are accepted.,Budhuram Singh,21-Dec-2024 12:49 PM,finance_519848.pdf,BOQ Comparative Chart,"Chairman, Nilgiri NAC",Internal,,Ansuman Parida,19-May-2026 09:09 AM,finsummary_519848.pdf (512.77 KB),Chairman Nilgiri NAC,Internal,,Ansuman Parida,09-Apr-2025 03:06 PM,techsummary_519848.pdf (512.65 KB),AOC,"2,000",0.0,Nil,Nil,No,Municipal Bodies||Nilgiri NAC,NLGN _01/2024-25,2024_ORULB_107995_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,09-Dec-2024 11:00 AM,18-Dec-2024 11:00 AM,09-Dec-2024 11:00 AM,17-Dec-2024 05:00 PM,NA ,NA ,09-Dec-2024 11:00 AM,17-Dec-2024 05:00 PM,"3,729",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit and as per DTCN",1.0,ICICI BANK,Executive Officer,"Notified Area Council, Nilgiri, Balasore",Construction of CC Road from PWD Road to Towards Tahasildar Quarter in Ward No - 08 (Court Chhuck ),Construction of CC Road from PWD Road to Towards Tahasildar Quarter in Ward No - 08 (Court Chhuck ),Please refer Tender documents. ,NA ,"3,72,881",Civil Works - Roads,NA ,Tender,90.0,NA ,NILGIRI NAC,756040.0,NA ,NA ,NA ,O/O Nilgiri NAC,No ,No,AOC
,,,,,,,,,,,,,,,2,2700405,DHARAMJIT NAYAK,17-Dec-2024 12:52 PM,Rejected-AOC,l13,19-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2700196,GAYADHARA BEHERA,17-Dec-2024 03:04 PM,Rejected-AOC,L11,19-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2699905,HARISH CHANDRA RAY,17-Dec-2024 02:18 AM,Rejected-AOC,L10,19-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2697196,KARTIK BISWAL,15-Dec-2024 08:07 PM,Rejected-AOC,l3,19-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2699173,MAHESWAR KHUNTIA,16-Dec-2024 05:22 PM,Rejected-AOC,L5,19-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2699605,NILAMBAR MOHAPATRA,17-Dec-2024 12:33 PM,Rejected-AOC,L7,19-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2699846,PARTHASARATHI NAYAK,16-Dec-2024 11:07 PM,Rejected-AOC,L9,19-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2699253,RABINDRA NATH PARIDA,17-Dec-2024 01:15 PM,Rejected-AOC,L6,19-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2696941,RAJKISHORE GAAN,15-Dec-2024 05:31 PM,Rejected-AOC,l2,19-May-2026 09:25 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
