S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,3478935.0,SADBHAWANA CONSTRUCTION,INR,"2,880,000",Finance,ok,Nilakantha Kisan,18-May-2026 12:05 PM,finance_588993.pdf,BOQ Comparative Chart,Nimai Charan Panda,Internal,,Nilakantha Kisan,30-May-2026 11:30 AM,finsummary_588993.pdf (258.63 KB),Municipal Bodies||Belpahar Municipal Council,2026_ORULB_128537_3,EO/BPHM/02/26-27,Development of Badkanta at W.N.-06,Nimai Charan Panda,Internal,,Nilakantha Kisan,30-May-2026 10:47 AM,techsummary_588993.pdf (258.63 KB),1,3483544,ABINASH SINGH THAKUR,11-May-2026 10:24 AM,Rejected-AOC,Not win the lottery,30-May-2026 11:35 AM,30-May-2026,"INR 2,880,000",150.0,Nilakantha Kisan,30-May-2026 11:35 AM,3.pdf (230.00 KB),AOC,Municipal Bodies||Belpahar Municipal Council,EO/BPHM/02/26-27,2026_ORULB_128537_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of required documents as per DTCN,Development of Badkanta at W.N.-06,Development of Badkanta at W.N.-06,Please refer Tender documents. ,NA ,"28,80,000",Civil Works - Others,NA ,Tender,90.0,150.0,Belpahar Municipality,768218.0,NA ,NA ,NA ,Belpahar Municipality Office,No ,No,1.0,ICICI BANK,30-Apr-2026 10:00 AM,12-May-2026 11:00 AM,30-Apr-2026 10:00 AM,11-May-2026 05:00 PM,NA ,NA ,30-Apr-2026 10:00 AM,11-May-2026 05:00 PM,"28,800",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,"Executive Officer,Belpahar Municipality",At/Po-Belpahar Dist-Jharsuguda Odisha-768218,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3484414,Bigyan Ranjan Swain,11-May-2026 02:12 PM,Rejected-AOC,Not win the lottery,30-May-2026 11:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Scanned copies of online deposit receipt of EMD and cost of bid documents,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3483867,BIKASH KUMAR AGRAWAL,11-May-2026 11:34 AM,Rejected-AOC,Not win the lottery,30-May-2026 11:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3482936,Chaturbhuja Seth,10-May-2026 10:52 PM,Rejected-AOC,Not win the lottery,30-May-2026 11:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3484012,GOURANGA CHARAN SAHU,11-May-2026 12:06 PM,Rejected-AOC,Not win the lottery,30-May-2026 11:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3484968,JOJHAL SATYAM DORA,11-May-2026 04:10 PM,Rejected-AOC,Not win the lottery,30-May-2026 11:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3483720,lalu kishan,11-May-2026 11:02 AM,Rejected-AOC,Not win the lottery,30-May-2026 11:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3482742,LAXMI TRADERS,10-May-2026 08:57 PM,Rejected-AOC,Not win the lottery,30-May-2026 11:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3481642,M/S SASWAT ENTERPRISES,10-May-2026 11:51 AM,Rejected-AOC,Not win the lottery,30-May-2026 11:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3481123,RANJIT KUMAR BISWAL,09-May-2026 09:20 PM,Rejected-AOC,Not win the lottery,30-May-2026 11:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3482256,RATHA CONSTRUCTION PRIVATE LIMITED,10-May-2026 05:22 PM,Rejected-AOC,Not win the lottery,30-May-2026 11:35 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
