Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Opened,Smita Sahoo,15-Dec-2025 12:30 PM,,BOQ Comparative Chart,"Er Satyabrata Behera EIC (Civil-cum-Roads), Odisha",Internal,Er H K Panda CE Buildings II Odisha Er Jamuna Behera Addl CE Buildings II Odisha Smt Punam Singh FA,Ashok Kumar Lenka,11-Dec-2025 06:48 PM,15-Dec-2025 11:00 AM,techsummary_550655.pdf (322.42 KB),15-May-2026,"INR 142,060,946",547.0,Priyabrata Samantara,15-May-2026 01:14 PM,AOC_Chilikanuapad.pdf (186.00 KB),AOC,1,3073236,BIDYADHAR SWAIN,10-Sep-2025 01:43 PM,Rejected-AOC,L2,15-May-2026 01:15 PM,1.0,3073329.0,TRIBHUBAN DAS,INR,"142,060,946",Sri S K Singh Principal Secretary to Govt Works Dept Odisha,Internal,Sri S Behera EIC Civil cum Roads Sri P Samantara CE Buildings I Sri H K Panda CE Buildings II Sri L Tudu Joint Secy Finance Dept Sri A Mohanty Joint Secy Law Dept Sr R Mahapatra FAcumSpecial Secy Work,Ashok Kumar Lenka,05-Feb-2026 04:19 PM,finsummary_550655.pdf (385.96 KB),EIC-CIVIL,2025_EICCL_117102_4,C.E. (B) - 21 / 2025-26,Construction of New Community Health Centre Building at Chilikanuapada in Puri District.,Technical,3 Nos. Bidders Received,Priyabrata Samantara,11-Sep-2025 12:55 PM,,AOC,"Chief Engineer (Buildings-I), Odisha, Bhubaneswar.","O/o. the E.I.C. (Civil), Odisha, Unit-V, Nirman Soudha, Bhubaneswar.",1.0,ICICI BANK,"15,79,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Paper Cost and EMD Online, PAN, GSTIN, Affidavit, Regd. Certificate and other Documents as per DTCN.",Construction of New Community Health Centre Building at Chilikanuapada in Puri District.,Construction of New Community Health Centre Building at Chilikanuapada in Puri District.,Please refer Tender documents. ,NA ,"15,78,27,959",Civil Works - Buildings,NA ,Tender,90.0,547.0,PURI DIST.,752011.0,NA ,NA ,NA ,"O/o. the E.I.C. (Civil), Odisha, Bhubaneswar.",No ,No,"10,000",0.0,Nil,Nil,No,27-Aug-2025 05:30 PM,11-Sep-2025 11:30 AM,27-Aug-2025 05:30 PM,10-Sep-2025 05:00 PM,NA ,NA ,27-Aug-2025 05:30 PM,10-Sep-2025 05:00 PM,15-Dec-2025 11:00 AM,EIC-CIVIL,C.E. (B) - 21 / 2025-26,2025_EICCL_117102_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,2,3068033,ROUTRAY DEVELOPER,10-Sep-2025 03:23 PM,Rejected-Technical,Disqualified,11-Dec-2025 06:48 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,ICICI NEFT/RTGS,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,3073329,TRIBHUBAN DAS,10-Sep-2025 04:46 PM,Accepted-AOC,L1,15-May-2026 01:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
