S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3366536.0,BALAJI BAURI (SC),INR,"466,041",Finance,Tender Opened,Durga Madhaba Padhi,27-May-2026 06:41 PM,finance_577161.pdf,BOQ Comparative Chart,SE No-II Rayagada,Internal,"SE, DAO, Estimator",Durga Madhaba Padhi,27-May-2026 06:51 PM,finsummary_577161.pdf (775.67 KB),EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,2026_EICCL_124928_4,RC(RANDB) RGD NO. II/ 19 /2025-26,Special Repair and renovation of Tahasildar office at Gunupur during 2025-26,SE No-II Rayagada,Internal,"SE, DAO, Estimator",Durga Madhaba Padhi,27-May-2026 06:46 PM,techsummary_577161.pdf (775.67 KB),27-May-2026,"INR 466,041",30.0,Durga Madhaba Padhi,27-May-2026 06:59 PM,WO_T_Office.pdf (764.00 KB),"Work is awarded to Sri Balaji Bauri through transparent lottery system,Bid work order No-1405Dated on-26.02.2026 of R and B Division-II, Rayagada",1,3366536,BALAJI BAURI (SC),26-Jan-2026 06:42 PM,Accepted-AOC,First Lowest and qualified through transparent lottery system,27-May-2026 07:02 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender Paper,GST,RC,PAN,LC,affidavit,and other documents as per DTCN",EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,RC(RANDB) RGD NO. II/ 19 /2025-26,2026_EICCL_124928_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,22-Jan-2026 11:00 AM,30-Jan-2026 11:00 AM,22-Jan-2026 11:00 AM,29-Jan-2026 05:00 PM,NA ,NA ,22-Jan-2026 11:00 AM,29-Jan-2026 05:00 PM,Special Repair and renovation of Tahasildar office at Gunupur during 2025-26,Building Work,Please refer tender document ,NA ,"4,66,041",Civil Works - Buildings,NA ,Tender,90.0,30.0,Gunupur,765022.0,NA ,NA ,NA ,Office of SE R and B Division No-II,No ,No,SE R and B Division No-II,Office of SE R and B Division No-II,"2,000",0.0,Nil,Nil,No,"4,700",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3372258,BALAJI PANIGRAHI,29-Jan-2026 02:22 PM,Rejected-AOC,First Lowest,27-May-2026 07:02 PM,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3371727,CHINNARI VENKATA KRISHNA RAO,29-Jan-2026 12:05 PM,Rejected-AOC,First Lowest,27-May-2026 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3371217,JANI VENKATA RAO BAURI,29-Jan-2026 12:13 AM,Rejected-AOC,First Lowest,27-May-2026 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3371628,Narasingha Padhy,29-Jan-2026 11:39 AM,Rejected-AOC,First Lowest,27-May-2026 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3370553,NIRUPAMA GOUDA,28-Jan-2026 03:41 PM,Rejected-AOC,First Lowest,27-May-2026 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3371968,PRASANT KUMAR MISHRA,29-Jan-2026 01:05 PM,Rejected-AOC,First Lowest,27-May-2026 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3371448,PRIYANKA PANDA,29-Jan-2026 10:15 AM,Rejected-AOC,First Lowest,27-May-2026 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3370625,REDDY KRISHNA RAO,28-Jan-2026 04:46 PM,Rejected-AOC,First Lowest,27-May-2026 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3370353,SANTOSH DAS,28-Jan-2026 07:26 PM,Rejected-AOC,First Lowest,27-May-2026 07:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
