S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3421957.0,SPRASANNA KUMAR BISOI,INR,"19,727,603",Technical,All bidder are admitted to financial bid opening,Gadardhar Patra,19-Mar-2026 06:43 PM,,"ST and SC Development Deptt||ITDA, Phulbani",2026_STSCD_126334_1,PA ITDA PLB_06 of 2025-26,Construction of Mission Shakti Bazar at Phulbani Kandhamal,PA ITDA Phulbani,Internal,Tender committee members of ITDA Phulbani,CHHOTRAY MAJHI,20-May-2026 12:55 PM,finsummary_582071.pdf (692.09 KB),PA ITDA Phulbani,Internal,"Member of tender committee of ITDA, Phulbani",Gadardhar Patra,19-Mar-2026 06:53 PM,19-Mar-2026 06:55 PM,techsummary_582071.pdf (1195.87 KB),Finance,All bidder are admitted,Gadardhar Patra,19-Mar-2026 07:38 PM,,BOQ Comparative Chart,20-May-2026,"INR 19,727,603",270.0,Jaya Prakash Jena,20-May-2026 01:17 PM,1037prasanabisoiworkorder.pdf (506.00 KB),1,3422119,BISWARANJAN PATTANAYAK,07-Mar-2026 08:28 AM,Rejected-Finance,L5 bidder,20-May-2026 12:55 PM,AOC,"10,000",0.0,Nil,Nil,No,21-Feb-2026 10:00 AM,09-Mar-2026 11:30 AM,21-Feb-2026 10:00 AM,07-Mar-2026 05:00 PM,NA ,NA ,21-Feb-2026 10:00 AM,07-Mar-2026 05:00 PM,19-Mar-2026 06:55 PM,Construction of Mission Shakti Bazar at Phulbani Kandhamal,Construction of Mission Shakti Bazar at Phulbani Kandhamal,Please refer Tender documents. ,NA ,"2,07,22,273",Civil Works - Buildings,NA ,Tender,90.0,270.0,"Office of the PA, ITDA, Phulbani",762001.0,NA ,NA ,NA ,"ITDA, Phulbani",No ,No,"2,07,223",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"PA ITDA, Phulbani","ITDA, Phulbani",1.0,Fee/PreQual/Technical,.pdf,Technical Bid,"ST and SC Development Deptt||ITDA, Phulbani",PA ITDA PLB_06 of 2025-26,2026_STSCD_126334_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3421447,DEBASISH MOHANTY,07-Mar-2026 01:59 PM,Rejected-Finance,L4 bidder,20-May-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,2.0,Finance,.xls,Financial bid,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3417140,JOGENDRA KUMAR MOHANTY,07-Mar-2026 11:37 AM,Rejected-Finance,L4 bidder,20-May-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3415053,M/S HARI SANKAR SUBUDHI,07-Mar-2026 01:20 PM,Rejected-Finance,L4 bidder,20-May-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3422760,NILACHAKRA CONSTRUCTIONS,07-Mar-2026 04:42 PM,Rejected-Finance,L4 bidder,20-May-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3421957,SPRASANNA KUMAR BISOI,06-Mar-2026 09:10 PM,Accepted-AOC,L1 bidder,20-May-2026 01:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3415822,Sri Bijaya Kumar Bhatta,06-Mar-2026 02:06 PM,Rejected-Technical,The bidder is found ineligible and therefore shall not be considered for further evaluation As per Clause 122a of the DTCN Page No 21 the bidder must have prior work experience amounting to at least 40 percent of the tendered value,19-Mar-2026 06:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3422461,Sri Sambhupani Digal,07-Mar-2026 01:10 PM,Rejected-Finance,L3 bidder,20-May-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3422681,Sri Santosh Kumar Jena,07-Mar-2026 03:49 PM,Rejected-Finance,L4 bidder,20-May-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3421713,Subrata Kumar Mohanty,07-Mar-2026 12:42 PM,Rejected-Finance,L2 bidder,20-May-2026 12:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
