Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Municipal Bodies||Bhawanipatna Municipality,2026_ORULB_126263_17,BPM/07/2025-26,Improvement of Road and Drain with Laying of Cover Slab from Alam Chowk to Sishumandir back side in Ward No-07,1.0,3414640.0,DEBASISH RANJAN BISHI,INR,"253,970.77",1,3419398,BIKASH KUMAR SAHANI,05-Mar-2026 06:53 PM,Rejected-Finance,L3,11-May-2026 11:57 AM,11-May-2026,"INR 253,970.77",30.0,Pramod Kumar Padhi,11-May-2026 11:59 AM,41proceeding.pdf (323.00 KB),Finance,Accepted,Pramod Kumar Padhi,02-May-2026 04:25 PM,,BOQ Comparative Chart,CP,Internal,,Pramod Kumar Padhi,11-May-2026 11:57 AM,finsummary_581864.pdf (323.27 KB),CP,Internal,,Pramod Kumar Padhi,03-May-2026 12:20 PM,techsummary_581864.pdf (323.27 KB),AOC,"2,000",0.0,Nil,Nil,No,Improvement of Road and Drain with Laying of Cover Slab from Alam Chowk to Sishumandir back side in Ward No-07,Improvement of Road and Drain with Laying of Cover Slab from Alam Chowk to Sishumandir back side in Ward No-07,Please refer Tender documents. ,NA ,"2,54,243",Civil Works - Others,NA ,Tender,90.0,30.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,19-Feb-2026 02:00 PM,09-Mar-2026 05:30 PM,19-Feb-2026 02:00 PM,09-Mar-2026 05:00 PM,NA ,NA ,19-Feb-2026 02:00 PM,09-Mar-2026 05:00 PM,"2,600",Yes,fixed,,Nil,Nil,1.0,Extension of date,Date,,Municipal Bodies||Bhawanipatna Municipality,BPM/07/2025-26,2026_ORULB_126263_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",AOC
,,,,,,,,,2,3414640,DEBASISH RANJAN BISHI,28-Feb-2026 11:55 AM,Accepted-AOC,L1,11-May-2026 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,AOC
,,,,,,,,,3,3414971,JANAKI PUJHARI,03-Mar-2026 11:56 AM,Rejected-AOC,L2,11-May-2026 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3419418,NILAKANTHA SAHU,05-Mar-2026 06:57 PM,Rejected-Finance,L3,11-May-2026 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
