Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Construction of Paver Road from Upa Sahoo house to Baghuabeda Nala via- Dushmanta house in Ward No-05,Construction of Paver Road from Upa Sahoo house to Baghuabeda Nala via- Dushmanta house in Ward No-05,Please refer Tender documents. ,NA ,"19,92,781",Civil Works - Others,NA ,Tender,90.0,120.0,KEONJHARGARH MUNICIPALITY,758001.0,NA ,NA ,NA ,"O/O EXECUTIVE OFFICER, KEONJHARGARH MUNICIPALITY",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPER COST, EMD, PAN, GST, REGISTRATION CERTIFICATE, AFFIDAVIT AND OTHER AS PER DTCN","7,080",0.0,Nil,Nil,No,31-Jan-2026 03:00 PM,11-Feb-2026 11:00 AM,31-Jan-2026 03:00 PM,10-Feb-2026 05:00 PM,31-Jan-2026 03:00 PM ,05-Feb-2026 05:00 PM ,31-Jan-2026 03:00 PM,10-Feb-2026 05:00 PM,Municipal Bodies||Keonjhargarh Municipal Council,ODULB_KGM_21/2025-2026,2026_ORULB_125106_52,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"19,928",Yes,fixed,,Nil,Nil,"O/O EXECUTIVE OFFICER, KEONJHARGARH MUNICIPALITY","O/O EXECUTIVE OFFICER, KEONJHARGARH MUNICIPALITY",1,ICICI BANK,AOC,"EO, KEONJHARGARH",Internal,"eo, kgm",Lalit Kumar Naik,10-May-2026 12:00 PM,finsummary_578578.pdf (109.74 KB),"EO, KEONJHARGARH",Internal,EO KGM,Lalit Kumar Naik,10-May-2026 11:26 AM,techsummary_578578.pdf (109.74 KB),1,3384263,SAMITA DAS,07-Feb-2026 01:59 PM,Accepted-AOC,qualified,11-May-2026 09:06 AM,1.0,3384263.0,SAMITA DAS,INR,"1,688,798.12",Municipal Bodies||Keonjhargarh Municipal Council,2026_ORULB_125106_52,ODULB_KGM_21/2025-2026,Construction of Paver Road from Upa Sahoo house to Baghuabeda Nala via- Dushmanta house in Ward No-05,11-May-2026,"INR 1,688,798.12",120.0,Lalit Kumar Naik,11-May-2026 09:06 AM,52.pdf (110.00 KB),work order,Finance,02 NOS BIDDER,Lalit Kumar Naik,13-Feb-2026 04:44 PM,finance_578578.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,2,3384861,SAROJINI JENA,07-Feb-2026 01:33 PM,Rejected-AOC,disqualified,11-May-2026 09:06 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
