Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,14-May-2026 11:47 AM,techsummary_573623.pdf (469.65 KB),14-May-2026,"INR 1,322,396",30.0,Durga Madhaba Padhi,14-May-2026 12:03 PM,WO_Bansadhara_E.pdf (513.00 KB),"Work is awarded to M/S S.K Rath through transparent lottery system,Bid work order no-1505 dated 06.03.2026 of R and B Division-II,Rayagada",1,3355917,ARMAN ENGINEERING PROJECTS PRIVATE LIMITED,15-Jan-2026 03:30 PM,Rejected-AOC,First Lowest,14-May-2026 12:03 PM,1.0,3356192.0,M/S. S.K.RATH,INR,"1,322,396",Finance,Tender Opened,Durga Madhaba Padhi,14-May-2026 11:43 AM,finance_573623.pdf,BOQ Comparative Chart,SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,14-May-2026 11:53 AM,finsummary_573623.pdf (469.65 KB),EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,2025_EICCL_123943_4,RC(RANDB) RGD NO. II/ 14 /2025-26,Shifting of 33 KV lines from Bansadhara river to Jhigidi chawk under ESO Viswanathpur due to road widening of Muniguda-Ambadola PWD road from 2 lane to 4 lane from 37/00 to 63/600 Km during 2025-26,AOC,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender paper,GST,RC,PAN,LC, Affidavit and other document as per DTCN","6,000",0.0,Nil,Nil,No,Shifting of 33 KV lines from Bansadhara river to Jhigidi chawk under ESO Viswanathpur due to road widening of Muniguda-Ambadola PWD road from 2 lane to 4 lane from 37/00 to 63/600 Km during 2025-26,Electrical Work,Please refer tender documents ,NA ,"15,55,578",Electrical Works,NA ,Tender,60.0,30.0,Rayagada,765017.0,NA ,NA ,NA ,Office of SE R and B Division No-II,No ,No,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,RC(RANDB) RGD NO. II/ 14 /2025-26,2025_EICCL_123943_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,02-Jan-2026 11:00 AM,16-Jan-2026 11:00 AM,02-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,NA ,NA ,02-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,"15,600",Yes,fixed,,Nil,Nil,SE R and B Division No-II,Office of SE R and B Division No-II,AOC
,,,,,,,,,,,,,2,3356192,M/S. S.K.RATH,15-Jan-2026 04:46 PM,Accepted-AOC,First Lowest and Work is awarded through transparent lottery system,14-May-2026 12:03 PM,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
