EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"33,000",No,fixed,,Nil,Nil,"7,080",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requireme",Illumination provision from Entry Gate to Sub-station of Bansapani Iron Ore Mines in the district of Keonjhar.,Illumination provision from Entry Gate to Sub-station of Bansapani Iron Ore Mines in the district of Keonjhar.,"RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requirements. ",NA ,"32,14,000",Electrical Works,NA ,Tender,180.0,90.0,BANSAPANI,758034.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,"GM(Electrical), OMC Ltd.","Office of the GM(Elect), OMC Ltd., Bhubaneswar",Orissa Mining Corporation,NIT No. 04/OMC/ELECT/2025,2025_OMC_118132_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,16-Sep-2025 06:00 PM,04-Oct-2025 11:00 AM,16-Sep-2025 06:00 PM,03-Oct-2025 05:00 PM,NA ,NA ,16-Sep-2025 06:00 PM,03-Oct-2025 05:00 PM,30-Oct-2025 04:30 PM,AOC,1.0,3102792.0,JAGANNATH ENTERPRISES,INR,"2,732,270.71",Finance,Financial bid of 18 (Eighteen) qualified bidders had been open out,Shreejit Das,30-Oct-2025 04:41 PM,,BOQ Comparative Chart,31-Dec-2025,"INR 2,732,270.71",90.0,Satyajit Jena,20-May-2026 02:03 PM,AOC4.pdf (790.00 KB),Technical,TECHNICAL BIDS OF ALL 19 BIDDERS HAVE BEEN OPENED.,Shreejit Das,04-Oct-2025 02:03 PM,,R K PANDA,Internal,S JENA S PADHI B K PATRA,Satyajit Jena,01-Dec-2025 11:41 AM,finsummary_552813.pdf (292.86 KB),Orissa Mining Corporation,2025_OMC_118132_4,NIT No. 04/OMC/ELECT/2025,Illumination provision from Entry Gate to Sub-station of Bansapani Iron Ore Mines in the district of Keonjhar.,1,3107231,AKSHAYA KUMAR DAS,03-Oct-2025 02:05 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:41 AM,R K PANDA,Internal,S JENA S PADHI BANITA PATRA,Satyajit Jena,29-Oct-2025 04:26 PM,30-Oct-2025 04:30 PM,techsummary_552813.pdf (1249.32 KB),AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3105652,ANIL KUMAR SAHU,02-Oct-2025 11:49 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:41 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3107013,CHANDRA SEKHAR MAHANTA,03-Oct-2025 01:54 PM,Rejected-Technical,Documents are not in order,29-Oct-2025 04:26 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3102792,JAGANNATH ENTERPRISES,03-Oct-2025 03:34 PM,Accepted-AOC,BEING L-1,20-May-2026 01:55 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3106521,JBS ENTERPRISES,03-Oct-2025 01:05 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:41 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3107290,JUPITER ENGINEERS,03-Oct-2025 04:44 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:41 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3105748,MELUHA ELEKTRON,03-Oct-2025 12:47 AM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:41 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3107751,M/s BASANTI ELECTRICALS AND CONSTRUCTION,03-Oct-2025 04:36 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:41 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3107590,M/S GANGA ELECTRIC,03-Oct-2025 04:03 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:41 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3107339,M/S LAXMI NRUSINGHA CONSTRUCTION AND POWER,03-Oct-2025 02:42 PM,Rejected-Finance,Not Being L-1,01-Dec-2025 11:41 AM,,,,,,,,AOC
