Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"EXECUTIVE OFFICER, NAC DHARMAGARH","EXECUTIVE OFFICER, NAC DHARMAGARH","6,000",0.0,Nil,Nil,No,23-Dec-2025 12:00 PM,09-Jan-2026 11:00 AM,23-Dec-2025 12:00 PM,07-Jan-2026 05:00 PM,NA ,NA ,23-Dec-2025 12:00 PM,07-Jan-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate, PAN, GST Cost of Tender Paper and other document as per DTCN",CONSTRUCTION OF PEDESTRAIN PATH FROM NAC OFFICE TOWRADS TIN CHOWK UNDER DHARMAGARH NAC,CONSTRUCTION OF PEDESTRAIN PATH FROM NAC OFFICE TOWRADS TIN CHOWK UNDER DHARMAGARH NAC,Please refer Tender documents. ,NA ,"16,83,898",Civil Works - Others,NA ,Tender,90.0,NA ,"NAC, DHARMAGARH",766015.0,NA ,NA ,NA ,"NAC,DHARMAGARH",No ,No,"16,838",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Municipal Bodies||Dharmagarh NAC,DHM/04/2025-26,2025_ORULB_123690_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,ASHOK KUMAR MOHANTY,Internal,"RAJIB LOCHAN PODH, BISWAMBHAR MISHRA, SARAT KUMAR SAHOO",Biswambhar Mishra,04-May-2026 09:55 AM,finsummary_573012.pdf (499.77 KB),Municipal Bodies||Dharmagarh NAC,2025_ORULB_123690_2,DHM/04/2025-26,CONSTRUCTION OF PEDESTRAIN PATH FROM NAC OFFICE TOWRADS TIN CHOWK UNDER DHARMAGARH NAC,1.0,3347479.0,PRATAP KISHOR NAIK,INR,"1,431,481.98",Finance,BY THE TENDER COMMITTEE,Biswambhar Mishra,04-May-2026 09:49 AM,finance_573012.pdf,BOQ Comparative Chart,04-May-2026,"INR 1,431,481.98",60.0,Biswambhar Mishra,04-May-2026 10:02 AM,PROCEEDING.pdf (500.00 KB),1,3347535,AISCHARYA GOYAL,07-Jan-2026 01:04 PM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:55 AM,ASHOK KUMAR MOHANTY,Internal,,Biswambhar Mishra,04-May-2026 09:51 AM,techsummary_573012.pdf (499.77 KB),AOC
,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3334115,CHANCHAL AGRAWAL,02-Jan-2026 09:27 AM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:55 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3347511,DIPTIMAYEE JENA,07-Jan-2026 01:17 PM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:55 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3347421,MAHENDRA NAIK,07-Jan-2026 11:29 AM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:55 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3343786,M/S DEBADATTA PATTNAIK,03-Jan-2026 09:05 PM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:55 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3347479,PRATAP KISHOR NAIK,07-Jan-2026 12:28 PM,Accepted-AOC,by the tender committee,04-May-2026 10:02 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3347725,PRIYANKA PUROHIT,07-Jan-2026 02:13 PM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:55 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3347955,ROSAN PRADHAN,07-Jan-2026 04:16 PM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:55 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3342149,SHREE SHREE CONSTRUCTION,02-Jan-2026 09:11 AM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:55 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3347051,Sobhabati Meher,06-Jan-2026 07:15 PM,Rejected-Finance,BY THE TENDER COMMITTEE,04-May-2026 09:55 AM,,,,,,,AOC
