S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3329914.0,MESSERS ABHOY CHARAN BAKSHI,INR,"335,136,434",EIC Civil Roads-I,Internal,,Pradipta Kumar Nayak,20-May-2026 11:07 AM,finsummary_571530.pdf (947.70 KB),EIC-CIVIL,2025_EICCL_123153_1,CE-Roads-I-16/2025-26,Improvement such as widening and strengthening of Sadangi- Nihalprasad-Nityanandapur road from 0/650 km to 2/140 km and 3/060 km to 20/995 km in the district of Dhenkanal under State Plan,Technical,Opening,Pradipta Kumar Nayak,30-Dec-2025 06:59 PM,,Finance,Opening,Pradipta Kumar Nayak,12-Feb-2026 01:16 PM,,BOQ Comparative Chart,EIC Civil cum Roads Odisha,Internal,,Pradipta Kumar Nayak,09-Feb-2026 01:41 PM,12-Feb-2026 11:00 AM,techsummary_571530.pdf (404.76 KB),20-May-2026,"INR 335,136,434",570.0,Pradipta Kumar Nayak,20-May-2026 11:12 AM,Sadangi_Nihalprasad_Agrt.pdf (948.00 KB),06P1 of 2026-27,1,3337565,ACP CONSTRUCTION,29-Dec-2025 04:01 PM,Rejected-AOC,L1 bidder,20-May-2026 11:13 AM,AOC,Improvement such as widening and strengthening of Sadangi- Nihalprasad-Nityanandapur road from 0/650 km to 2/140 km and 3/060 km to 20/995 km in the district of Dhenkanal under State Plan,Improvement such as widening and strengthening of Sadangi- Nihalprasad-Nityanandapur road from 0/650 km to 2/140 km and 3/060 km to 20/995 km in the district of Dhenkanal under State Plan,NA ,NA ,"39,42,31,778",Civil Works - Roads,NA ,Tender,90.0,570.0,Dhenkanal Division,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil), Odisha, Bhubaneswar",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit","39,42,000",Yes,fixed,,Nil,Nil,"Chief Engineer, Roads-I, Odisha","O/o the E.I.C (Civil), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar",12-Dec-2025 02:30 PM,30-Dec-2025 11:30 AM,12-Dec-2025 02:30 PM,29-Dec-2025 05:30 PM,NA ,NA ,12-Dec-2025 02:30 PM,29-Dec-2025 05:30 PM,12-Feb-2026 11:00 AM,EIC-CIVIL,CE-Roads-I-16/2025-26,2025_EICCL_123153_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3331075,ARSS Infrastructure Projects Limited,29-Dec-2025 11:08 AM,Rejected-AOC,L1 bidder,20-May-2026 11:13 AM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and work experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3330479,Ashirbad Eng & Construction Private Limited,29-Dec-2025 02:09 PM,Rejected-AOC,L1 bidder,20-May-2026 11:13 AM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3335893,BIJOY BUILDCONS PVT. LTD.,29-Dec-2025 03:32 PM,Rejected-AOC,L1 bidder,20-May-2026 11:13 AM,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3337348,BINAYAK CONSTRUCTION AND ENGINEERS PVT LTD,29-Dec-2025 03:23 PM,Rejected-AOC,L1 bidder,20-May-2026 11:13 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3331394,BISHNUPRIYA BHUYAN,29-Dec-2025 12:50 PM,Rejected-Technical,Disqualified,09-Feb-2026 01:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3332323,KALIKA STONE WORKS,29-Dec-2025 02:36 PM,Rejected-AOC,L1 bidder,20-May-2026 11:13 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3329226,MANJU ACHARYA,28-Dec-2025 07:00 PM,Rejected-AOC,L1 bidder,20-May-2026 11:13 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3329914,MESSERS ABHOY CHARAN BAKSHI,29-Dec-2025 12:34 PM,Accepted-AOC,Selected as L1 bidder,20-May-2026 11:13 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3331666,MESSERS BIRAJA CONSTRUCTION,29-Dec-2025 12:54 PM,Rejected-AOC,L1 bidder,20-May-2026 11:13 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
