S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,Municipal Bodies||Bhadrak Municipality,BM-BDK-07-2025-26,2026_ORULB_125568_27,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,900",Yes,fixed,,Nil,Nil,Repair of Pot Holes and Construction of Rcc Slab in ward no.27,Repair of Pot Holes and Construction of Rcc Slab in ward no.27,Please refer Tender documents. ,NA ,"2,89,193",Civil Works - Others,NA ,Tender,90.0,45.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,"Executive Officer, Bhadrak Municipality",No ,No,09-Feb-2026 10:00 AM,19-Feb-2026 11:00 AM,09-Feb-2026 10:00 AM,18-Feb-2026 05:00 PM,NA ,NA ,09-Feb-2026 10:00 AM,18-Feb-2026 05:00 PM,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN",Executive Officer,"Executive Officer, Bhadrak Municipality",AOC,Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,07-May-2026 11:53 AM,finsummary_579634.pdf (240.28 KB),Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,07-May-2026 11:51 AM,techsummary_579634.pdf (240.28 KB),07-May-2026,"INR 254,490",45.0,Sourav Chakrabarty,12-May-2026 07:50 PM,27.pdf (125.00 KB),work order issued,1,3400298,Dayanidhi Mohapatra,17-Feb-2026 01:21 PM,Rejected-AOC,Quoted forth lowest,12-May-2026 07:51 PM,Municipal Bodies||Bhadrak Municipality,2026_ORULB_125568_27,BM-BDK-07-2025-26,Repair of Pot Holes and Construction of Rcc Slab in ward no.27,1.0,3400249.0,Dinesh Mohapatra,INR,"254,490",Finance,ok,Sourav Chakrabarty,20-Feb-2026 12:31 PM,,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,AOC,,,,,,,,,,,,,,,,,,,,2,3400249,Dinesh Mohapatra,18-Feb-2026 12:04 PM,Accepted-AOC,Quoted third lowest and work awarded as SC contractor,12-May-2026 07:51 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,3395103,IMROJ ALI KHAN,13-Feb-2026 04:14 PM,Rejected-AOC,Quoted second lowest,12-May-2026 07:51 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,3402653,Niranjan Singh,18-Feb-2026 04:09 PM,Rejected-AOC,Quoted first lowest,12-May-2026 07:51 PM,,,,,,,,,,,,,,,,AOC
