S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3344827.0,Vishesh Enterprises,INR,"21,418,254",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2025_EICCL_123855_2,CCEKC - 18 / 2025-26,Construction of Multi Purpose Hall in Odisha Adarsha Vidyalaya at Gurundia under Gurundia Block in Sundargarh District,Technical,Bid opening summary,Santosh Kumar Behera,12-Jan-2026 01:13 PM,technical_573432.pdf,Santosh Kumar Behera,Internal,SE Rourkela R and B Division Sr DAO Rourkela R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,25-May-2026 12:32 PM,finsummary_573432.pdf (98.00 KB),Santosh Kumar Behera,Internal,SE Rourkela R and B Division Sr DAO Rourkela R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,07-Feb-2026 05:25 PM,10-Feb-2026 11:30 AM,techsummary_573432.pdf (1394.15 KB),Finance,Bid opening summary,Santosh Kumar Behera,10-Feb-2026 12:20 PM,finance_573432.pdf,BOQ Comparative Chart,25-May-2026,"INR 21,418,254",210.0,Santosh Kumar Behera,25-May-2026 12:40 PM,AOCGurundia.pdf (1185.00 KB),2nd Lowest Bidder Winner of Lottery,1,3349475,AJAY KUMAR AGRAWAL,09-Jan-2026 09:04 AM,Rejected-Finance,2nd Lowest Bidder Looser of Lottery,25-May-2026 12:32 PM,AOC,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,CCEKC - 18 / 2025-26,2025_EICCL_123855_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,26-Dec-2025 11:00 AM,12-Jan-2026 11:30 AM,26-Dec-2025 11:00 AM,09-Jan-2026 04:00 PM,NA ,NA ,26-Dec-2025 11:00 AM,09-Jan-2026 04:00 PM,10-Feb-2026 11:30 AM,1.0,ICICI BANK,CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001",1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit",Construction of Multi Purpose Hall in Odisha Adarsha Vidyalaya at Gurundia under Gurundia Block in Sundargarh District,Construction of Multi Purpose Hall in Odisha Adarsha Vidyalaya at Gurundia under Gurundia Block in Sundargarh District,Please refer Tender Documents ,NA ,"2,51,94,982",Civil Works - Buildings,NA ,Tender,90.0,210.0,Rourkela,769012.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,"2,52,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3338504,BHUYAN MAHAPRASAD,29-Dec-2025 08:31 PM,Rejected-Finance,2nd Lowest Bidder Looser of Lottery,25-May-2026 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,"Machineries, work in hand, work experience",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3348685,DEBASISH PADHAN,09-Jan-2026 03:20 PM,Rejected-Finance,2nd Lowest Bidder Looser of Lottery,25-May-2026 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3349384,DEEPAK KUMAR ROUT,09-Jan-2026 11:40 AM,Rejected-Finance,2nd Lowest Bidder Looser of Lottery,25-May-2026 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3349953,DHANLAXMI ESTABLISHMENT PRIVATE LIMITED,09-Jan-2026 03:40 PM,Rejected-Finance,2nd Lowest Bidder Looser of Lottery,25-May-2026 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3349978,DINESH KUMAR PANY,09-Jan-2026 03:51 PM,Rejected-Technical,As per decision of tender evaluation committee.,07-Feb-2026 05:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3347500,ENGICONS ASSOCIATES,08-Jan-2026 07:49 PM,Rejected-Finance,2nd Lowest Bidder Looser of Lottery,25-May-2026 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3349998,GANPATI PHARMA,09-Jan-2026 03:49 PM,Rejected-Finance,2nd Lowest Bidder Looser of Lottery,25-May-2026 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3345900,GYANATOYA PATTNAIK,05-Jan-2026 08:29 PM,Rejected-Finance,2nd Lowest Bidder Looser of Lottery,25-May-2026 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3349616,HIMANSU SEKHAR PANDA,09-Jan-2026 12:24 PM,Rejected-Finance,2nd Lowest Bidder Looser of Lottery,25-May-2026 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3346292,Kiran Kumar Mohanty,08-Jan-2026 10:52 PM,Rejected-Finance,As per decision of financial evaluation committee,25-May-2026 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3349538,KUNTALA MOHAPATRA,09-Jan-2026 10:46 AM,Rejected-Finance,2nd Lowest Bidder Looser of Lottery,25-May-2026 12:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
