Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
02-Feb-2026,"INR 2,521,442",60.0,Kanan Pradhan,25-May-2026 05:15 PM,3029.pdf (484.00 KB),1,3176797,ABHIJEET MANDAL,05-Nov-2025 12:27 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 05:03 PM,CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Kesinga,2025_CERWI_120160_48,RWKSNG-online-06/25-26,S/R to RD road to Kuten rd Boxell culvert (1x6x2) for the year 25-26,1.0,3190776.0,SANJEEB KUMAR AGRAWAL,INR,"2,521,442",Finance,40 nos bidder participated,Tapan Kumar Badnayak,15-Nov-2025 03:35 PM,,BOQ Comparative Chart,Kanan Pradhan,Internal,,Kanan Pradhan,19-Jan-2026 05:03 PM,finsummary_558975.pdf (512.65 KB),Kanan Pradhan,Internal,,Kanan Pradhan,19-Jan-2026 04:53 PM,techsummary_558975.pdf (512.65 KB),AOC,27-Oct-2025 05:00 PM,10-Nov-2025 11:00 AM,27-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,27-Oct-2025 05:00 PM ,03-Nov-2025 11:00 AM ,27-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"TPC, EMD, GSTIN, PAN Card, RC, Affidavits NRC, and required documents as DTCN",Superintending Engineer,"RURAL WORKS DIVISION, KESINGA","30,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Kesinga,RWKSNG-online-06/25-26,2025_CERWI_120160_48,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S/R to RD road to Kuten rd Boxell culvert (1x6x2) for the year 25-26,S/R to RD road to Kuten rd Boxell culvert (1x6x2) for the year 25-26,Please refer Tender documents. ,NA ,"29,66,053",Civil Works - Roads,NA ,Tender,90.0,60.0,KESINGA,766012.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, KESINGA",No ,No,AOC
,,,,,,2,3192423,ABHIMANYU CHHATRIA,07-Nov-2025 10:41 AM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.xls,Bill of quantities,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,3185916,ABHIMANYU NAIK,06-Nov-2025 01:15 AM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3171739,ANIL KUMAR KEDIA,05-Nov-2025 12:20 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3186905,Ashutosh Padhi,06-Nov-2025 12:03 AM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3180845,AYUSH KUMAR,05-Nov-2025 08:30 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3190417,Bhakta Charan Bhoi,06-Nov-2025 06:49 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3193340,BHUBANESWAR SAHU,07-Nov-2025 01:05 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3182002,BIBHUTI PRASAD RANA,05-Nov-2025 11:59 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3190372,BIKASH RANJAN BABU,06-Nov-2025 08:52 PM,Rejected-Finance,As per transparent lottery system,19-Jan-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
