S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,Executive Engineer,"O/O the Superintending Engineer, R.W.Division, Bhadrak","6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,TCN,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,TCN 19 of 2025-26,2026_CERWI_126437_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,23-Feb-2026 12:00 PM,02-Mar-2026 02:00 PM,23-Feb-2026 12:00 PM,02-Mar-2026 12:00 PM,23-Feb-2026 12:00 PM ,02-Mar-2026 11:00 AM ,23-Feb-2026 12:00 PM,02-Mar-2026 12:00 PM,"19,489",Yes,percentage,1.0%,Nil,Nil,Periodical Maintenance to PWD Road to Bisalakana for the Year 2025-26,Repairs of Roads,"PAN,GST,RC and other relevant document as per DTCN ",NA ,"19,48,875",Civil Works - Roads,NA ,Tender,90.0,15.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/OtheSuperintendingEngineer,R.W.Division,Bhadrak",No ,No,AOC,Executive Engineer,Internal,,Ganesh Chandra Hembram,15-May-2026 10:48 AM,finsummary_582474.pdf (132.36 KB),Executive Engineer,Internal,,Ganesh Chandra Hembram,11-May-2026 01:33 PM,techsummary_582474.pdf (132.36 KB),15-May-2026,"INR 1,656,738",15.0,Ganesh Chandra Hembram,15-May-2026 11:34 AM,1775.pdf (578.00 KB),1,3415589,Dayanidhi Mohapatra,02-Mar-2026 08:59 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 11:34 AM,1.0,3414903.0,KALINGA GOURAV DAS,INR,"1,656,738",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK,2026_CERWI_126437_15,TCN 19 of 2025-26,Periodical Maintenance to PWD Road to Bisalakana for the Year 2025-26,Finance,Total 16 nos Bidder,Ganesh Chandra Hembram,27-Apr-2026 12:53 PM,finance_582474.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3413647,Deepak Khilar,27-Feb-2026 05:14 PM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 11:34 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3414928,Ganesh Chandra Bharati,28-Feb-2026 07:39 PM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 11:34 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Corrigendum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3415748,GITA RANI SAHOO,02-Mar-2026 02:02 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 11:34 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3415873,Gobinda Chandra Sahoo,02-Mar-2026 10:27 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 11:34 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3410612,HITESH KUMAR PRUSTY,24-Feb-2026 11:44 PM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 11:34 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3413650,JANAKILATA SAHOO,27-Feb-2026 11:15 AM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 11:34 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3414903,KALINGA GOURAV DAS,28-Feb-2026 06:42 PM,Accepted-AOC,successful bidder selected through transparent lottery system,15-May-2026 11:34 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3412075,MADHU SUDAN SAHOO,25-Feb-2026 10:47 PM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 11:34 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3414541,PRASANTA KUMAR SAHU,27-Feb-2026 09:01 PM,Rejected-AOC,Unsuccessful bidder selected through transparent lottery system,15-May-2026 11:34 AM,,,,,,,,,,,,,,,,AOC
