S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,11-Dec-2025 06:00 PM,19-Dec-2025 11:30 AM,11-Dec-2025 06:00 PM,17-Dec-2025 05:00 PM,11-Dec-2025 06:00 PM ,17-Dec-2025 11:30 AM ,11-Dec-2025 06:00 PM,17-Dec-2025 05:00 PM,"Superintending Engineer,Rural Works Division,Puri","O/o Superintending Engineer,R.W Division,Puri",1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of tender paper, EMD, APS, PAN, GSTIN, Registration Certificate and other documents as per DTCN",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-PURI,Online-13 Dt. 25.10.2025,2025_CERWI_123017_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"39,720",Yes,fixed,,Nil,Nil,Repair and Renovation work at PHC Kalyanpur of Delang Block under AMA Hospital in the District of Puri for the year 2025-26.,Repair and Renovation work at PHC Kalyanpur of Delang Block under AMA Hospital in the District of Puri for the year 2025-26.,Please refer Tender documents. ,NA ,"39,72,000",Civil Works - Buildings,NA ,Tender,90.0,90.0,Puri,752001.0,NA ,NA ,NA ,"O/o Superintending Engineer,R.W Division,Puri",No ,No,AOC,1,3311195,AJAYA KUMAR SAHOO,17-Dec-2025 02:33 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",06-May-2026 12:37 PM,06-May-2026,"INR 3,972,209",90.0,Jyoti Prakash Samal,06-May-2026 12:42 PM,PHCkalyanpur.pdf (1232.00 KB),"Er.Jyoti Prakash Samal,SE",Internal,"Sri Nitesh kumar Kandhway, Smt. Kshyanaprava Mohanty, Smt. Rina Kumari Sasmal, Smt Ipsita Patra,Sri Raj Kishore Pal",Jyoti Prakash Samal,06-May-2026 12:30 PM,techsummary_571277.pdf (1232.21 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-PURI,2025_CERWI_123017_1,Online-13 Dt. 25.10.2025,Repair and Renovation work at PHC Kalyanpur of Delang Block under AMA Hospital in the District of Puri for the year 2025-26.,"Er.Jyoti Prakash Samal,SE",Internal,"Sri Nitesh kumar Kandhway, Smt. Kshyanaprava Mohanty, Smt. Rina Kumari Sasmal, Smt Ipsita Patra,Sri Raj Kishore Pal",Jyoti Prakash Samal,06-May-2026 12:37 PM,finsummary_571277.pdf (1232.21 KB),Finance,10 nos bidder are admitted for finalisation.,Jyoti Prakash Samal,02-Jan-2026 02:09 PM,,BOQ Comparative Chart,1.0,3304780.0,PRAVASINI BARAL,INR,"3,972,209",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3311367,CHITRALEKHA MISHRA,17-Dec-2025 03:29 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",06-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3311336,CHITTARANJAN BALABANTARAY,17-Dec-2025 03:09 PM,Not Admitted-Fee/PreQual/Technical/Finance,Others-Due to non submission of affidavit in support of authenticity of the document.,02-Jan-2026 02:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3310596,ISWAR BEHERA,17-Dec-2025 04:22 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",06-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3304780,PRAVASINI BARAL,15-Dec-2025 05:54 PM,Accepted-AOC,"She is the 1st successful lottery winner, so her rate is accepted and awarded.",06-May-2026 12:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3311494,SANTOSH KUMAR MISHRA,17-Dec-2025 03:57 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",06-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3307092,SAROJ KUMAR NAYAK,17-Dec-2025 12:06 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",06-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3303759,SUDHIR KUMAR BALABANTARAY,15-Dec-2025 02:18 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",06-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3310783,SURENDRA BEHERA,17-Dec-2025 01:08 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",06-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3311524,TAPAS RANJAN SENAPATI,17-Dec-2025 03:59 PM,Rejected-Finance,"As 1st successful lottery winner is accepted, hence others are considered as rejected.",06-May-2026 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
