Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,EERWPH-46/2025-26,2025_CERWI_121963_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"PH Works (SI,SD AND WS) to Sub Centre Building at Dhandrabahal of Patnagarh block in Balangir District in the F.Y. 2023-24","PH Works (SI,SD AND WS) to Sub Centre Building at Dhandrabahal of Patnagarh block in Balangir District in the F.Y. 2023-24",Please refer Tender documents. ,NA ,"7,05,000",Civil Works - Buildings,NA ,Tender,90.0,NA ,Dhandrabahal,767025.0,NA ,NA ,NA ,"O/O THE SE RW (PH) DIVISION,BHUBANESWAR",No ,No,"4,000",0.0,Nil,Nil,No,"7,100",Yes,fixed,,Nil,Nil,"Executive Engineer,RW (PH) Division, BBSR","SE RW (PH) DIVISION, BBSR Behind Esplande mall, Bomikhal, Rasulgarh,751010",1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License Document as per tender class of contractor in NIT, GST, Certificate, PAN Card",28-Nov-2025 05:00 PM,09-Dec-2025 11:00 AM,28-Nov-2025 05:00 PM,08-Dec-2025 05:00 PM,NA ,NA ,28-Nov-2025 05:00 PM,08-Dec-2025 05:00 PM,AOC,Executive Engineer,Internal,,Debasish Soren,08-Jan-2026 02:30 PM,techsummary_567838.pdf (414.25 KB),Executive Engineer,Internal,,Debasish Soren,11-May-2026 02:18 PM,finsummary_567838.pdf (83.68 KB),Finance,COMPARATIVE STATEMENT,Anil Kumar Das,12-Dec-2025 02:16 PM,finance_567838.pdf,BOQ Comparative Chart,11-May-2026,"INR 599,320",90.0,Anil Kumar Das,14-May-2026 04:16 PM,2678.pdf (474.00 KB),1.0,3286170.0,SURENDRA NATH ROUT,INR,"599,320",CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,2025_CERWI_121963_18,EERWPH-46/2025-26,"PH Works (SI,SD AND WS) to Sub Centre Building at Dhandrabahal of Patnagarh block in Balangir District in the F.Y. 2023-24",1,3289802,BIKASH PATEL,08-Dec-2025 04:07 PM,Rejected-Finance,Not Qualified in transparency lottery,11-May-2026 02:18 PM,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"EMD, Tender Paper cost, Affidavit for correctness and no Relation Certificate",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3289348,BISWAMITRA NAIK,08-Dec-2025 04:26 PM,Rejected-Finance,Not Qualified in transparency lottery,11-May-2026 02:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3282786,DHRUBA CHARAN SAHOO,06-Dec-2025 01:38 PM,Rejected-Finance,Not Qualified in transparency lottery,11-May-2026 02:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3286174,DOSALIN MISHRA,07-Dec-2025 04:40 PM,Rejected-Finance,Not Qualified in transparency lottery,11-May-2026 02:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3284554,PRADEEP KUMAR SAHOO,06-Dec-2025 06:51 PM,Rejected-Finance,Not Qualified in transparency lottery,11-May-2026 02:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3281366,PRAFULLA KUMAR NAYAK,06-Dec-2025 12:49 PM,Rejected-Finance,Not Qualified in transparency lottery,11-May-2026 02:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3282724,PREMPRAKASH MISHRA,05-Dec-2025 05:32 PM,Rejected-Finance,Not Qualified in transparency lottery,11-May-2026 02:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3279461,RAHUL KUMAR SAHU,04-Dec-2025 06:31 PM,Rejected-Finance,Not Qualified in transparency lottery,11-May-2026 02:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3288303,Rasmanjali Sa,08-Dec-2025 01:27 PM,Rejected-Finance,Not Qualified in transparency lottery,11-May-2026 02:18 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3286170,SURENDRA NATH ROUT,08-Dec-2025 10:17 AM,Accepted-AOC,Qualified in transparency lottery,14-May-2026 04:16 PM,AOC
