Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
SE No-II Rayagada,Internal,"SE, DAO, Estimator",Durga Madhaba Padhi,25-May-2026 11:25 AM,techsummary_574797.pdf (1408.61 KB),1,3355515,ALLAPA BISWESWARA RAO,15-Jan-2026 01:29 PM,Rejected-Finance,Second Lowest,25-May-2026 11:37 AM,25-May-2026,"INR 864,773",30.0,Durga Madhaba Padhi,25-May-2026 11:53 AM,WO_CHC_Padmapur.pdf (791.00 KB),"Work is awarded to Sri Rama Chandra Panda through transparent lottery system, Bid work order N0-1421 Dated on 26.02.2026 of R and B Division-II, Rayagada",Finance,Tender Opened,Durga Madhaba Padhi,25-May-2026 11:21 AM,finance_574797.pdf,BOQ Comparative Chart,1.0,3355770.0,RAMA CHANDRA PANDA,INR,"864,773",EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,2026_EICCL_124281_5,RC(RANDB) RGD NO. II/ 15 /2025-26,"Special repair of CHC Padmapur such as compound wall, painting, flooring and MS gate fitting during 2025-26",SE No-II Rayagada,Internal,"SE ,DAO, Estimator",Durga Madhaba Padhi,25-May-2026 11:37 AM,finsummary_574797.pdf (1408.61 KB),AOC,08-Jan-2026 11:00 AM,16-Jan-2026 11:00 AM,08-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,NA ,NA ,08-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,SE R and B Division No-II,Office of SE R and B Division No-II,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,RC(RANDB) RGD NO. II/ 15 /2025-26,2026_EICCL_124281_5,Yes,Open Limited,Percentage,Works,1.0,No,No,Online,No,No,No,"Special repair of CHC Padmapur such as compound wall, painting, flooring and MS gate fitting during 2025-26",Building Work,Please refer tender document ,NA ,"10,17,260",Civil Works - Buildings,NA ,Tender,90.0,30.0,Padmapur,765025.0,NA ,NA ,NA ,Office of SE R and B Division No-II,No ,No,"10,200",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender paper,GST,RC,Pan,LC,Affidavit and other document as per DTCN",AOC
,,,,,,2,3352038,Anil Kumar Bishoyi,12-Jan-2026 05:54 PM,Rejected-AOC,First Lowest,25-May-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
,,,,,,3,3354179,Bighnaraj Barik,14-Jan-2026 08:24 PM,Rejected-AOC,First Lowest,25-May-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,3355803,DURJADHANA MAJHI,15-Jan-2026 02:54 PM,Rejected-AOC,First Lowest,25-May-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,3354045,HARIKRUSHNA PANIGRAHY,14-Jan-2026 07:18 PM,Rejected-AOC,First Lowest,25-May-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,3354335,JAGADISH PANDA,14-Jan-2026 10:40 PM,Rejected-AOC,First Lowest,25-May-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,3354640,NIRUPAMA GOUDA,14-Jan-2026 11:20 PM,Rejected-AOC,First Lowest,25-May-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,3353150,PRABHAT KUMAR NAYAK,13-Jan-2026 06:32 PM,Rejected-AOC,First Lowest,25-May-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,3354505,PRIYANKA PANDA,15-Jan-2026 12:35 PM,Rejected-AOC,First Lowest,25-May-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,3355914,RADHA KRUSHNA SAHU,15-Jan-2026 03:27 PM,Rejected-AOC,First Lowest,25-May-2026 11:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
