Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Orissa Mining Corporation,"OMC/E-PROC/CP/011/2026-27, Dtd 15/04/2026",2026_OMC_128148_1,Yes,Limited,Item Rate,Goods,1.0,No,No,Online,No,No,No,15-Apr-2026 05:30 PM,29-Apr-2026 05:00 PM,15-Apr-2026 05:30 PM,29-Apr-2026 03:00 PM,NA ,NA ,15-Apr-2026 05:30 PM,29-Apr-2026 03:00 PM,Head(Contract and Procurement),"OMC Ltd., OMC House, Bhubaneswar","Design, Manufacturer and Supply of Mobile Telescopic Platform Tiltable ladder for Barbil Region of OMC, Keonjhar.","Design, Manufacturer and Supply of Mobile Telescopic Platform Tiltable ladder for Barbil Region of OMC, Keonjhar.",Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,90.0,134.0,"Barbil Region of OMC, Keonjhar.",758035.0,NA ,NA ,NA ,"OMC Ltd., OMC House, Bhubaneswar",No ,No,0.0,0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN,GSTIN and other documents as per DTCN","22,500",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,25-May-2026,"INR 967,600",134.0,Sanjaya Kumar Sahoo,25-May-2026 02:39 PM,LOATelescopic.pdf (648.00 KB),Awarded for the work including GST,1.0,3466706.0,M/s. EASTERN ENGINEERING,INR,"967,600",GM(Finance),Internal,"Sr.Manager(Drilling)CP, Sr.Manager(Geo) Legal, Sr.Manager(Elect), Sr.Manager(Elect)CP",Sanjaya Kumar Sahoo,25-May-2026 01:44 PM,finsummary_587860.pdf (898.91 KB),Orissa Mining Corporation,2026_OMC_128148_1,"OMC/E-PROC/CP/011/2026-27, Dtd 15/04/2026","Design, Manufacturer and Supply of Mobile Telescopic Platform Tiltable ladder for Barbil Region of OMC, Keonjhar.",Finance,Opening Summary,Sanjaya Kumar Sahoo,30-Apr-2026 11:53 AM,finance_587860.pdf,BOQ Comparative Chart,1,3460402,CLAVAX POWER PRIVATE LIMITED,21-Apr-2026 06:10 PM,Rejected-Finance,Other than L1,25-May-2026 01:44 PM,GM(Finance),Internal,"Sr.Manager(Drilling)CP, Sr.Manager(Geo)Legal, Sr.Manager(Elect), Sr.Manager(Elect)CP",Sanjaya Kumar Sahoo,25-May-2026 01:38 PM,techsummary_587860.pdf (898.91 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Price bid,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3466961,GENESIS SYSTECH,28-Apr-2026 09:09 PM,Rejected-Finance,Other than L1,25-May-2026 01:44 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Rate of GST,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3466706,M/s. EASTERN ENGINEERING,28-Apr-2026 06:11 PM,Accepted-AOC,Awarded for the work including GST,25-May-2026 02:40 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3466873,SUDARSHAN ELECTRICALS,28-Apr-2026 06:52 PM,Rejected-Finance,Other than L1,25-May-2026 01:44 PM,,,,,,,AOC
