S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,ICICI BANK,ST and SC Development Deptt||ITDA Gunupur,ITDAGNP-03/2025-26,2025_STSCD_122322_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"O/o Project Administrator, ITDA, Gunupur","O/o Project Administrator, ITDA, Gunupur","6,000",0.0,Nil,Nil,No,01-Dec-2025 10:00 AM,16-Dec-2025 11:00 AM,01-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,01-Dec-2025 10:00 AM ,15-Dec-2025 05:00 PM ,01-Dec-2025 10:00 AM,15-Dec-2025 05:00 PM,20-Dec-2025 05:00 PM,Construction of 02 Nos. of Additional Class room at Ambadola High School under Muniguda Block,Construction of 02 Nos. of Additional Class room at Ambadola High School under Muniguda Block,C AND D ,NA ,"16,77,961",Civil Works - Buildings,NA ,Tender,90.0,180.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o Project Administrator, ITDA, Gunupur",No ,No,"16,780",Yes,percentage,1.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,"Papercost, EMD,Contractor license,Affidavit,PAN,GSTIN and other document as per DTCN",AOC,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,11-May-2026 08:07 PM,finsummary_568451.pdf (615.36 KB),ST and SC Development Deptt||ITDA Gunupur,2025_STSCD_122322_5,ITDAGNP-03/2025-26,Construction of 02 Nos. of Additional Class room at Ambadola High School under Muniguda Block,Technical,Technical Evalation,Ajaya Kumar Pradhan,20-Dec-2025 04:34 PM,technical_568451.pdf,1.0,3299961.0,ASHOK KULDIPIA,INR,"1,426,388.49",11-May-2026,"INR 1,426,388.49",180.0,Ajaya Kumar Pradhan,11-May-2026 08:10 PM,3321.pdf (344.00 KB),"PA,ITDA, AEE,ITDA, Gunupur",1,3299961,ASHOK KULDIPIA,13-Dec-2025 05:46 PM,Accepted-AOC,Awarded to Lowest 1,11-May-2026 08:11 PM,Finance,proceeding,Ajaya Kumar Pradhan,11-May-2026 08:04 PM,finance_568451.pdf,BOQ Comparative Chart,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,20-Dec-2025 04:37 PM,20-Dec-2025 05:00 PM,techsummary_568451.pdf (275.11 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3303616,PARAMJEET KAUR,15-Dec-2025 02:00 PM,Rejected-Finance,Not Success in the Lottery Process,11-May-2026 08:07 PM,,,,,,,,,,,,,,AOC
