Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
13-May-2026,"INR 357,438",30.0,Rajesh Pradhan,27-May-2026 02:27 PM,8_24.pdf (370.00 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_120827_24,08(Online)/RWD/BPD/2025-26,"S/R to 9 nos F type Quarter at Fire station Building,Chitrada",1.0,3215320.0,PRADEEP KUMAR MAHANTY,INR,"357,438",1,3220650,ABHIRAM DAS,14-Nov-2025 02:09 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 02:27 PM,Finance,.,Dibyamayee Behera,13-May-2026 12:33 PM,finance_562096.pdf,BOQ Comparative Chart,R.Pradhan,Internal,,Dibyamayee Behera,13-May-2026 12:42 PM,finsummary_562096.pdf (333.86 KB),R.Pradhan,Internal,,Dibyamayee Behera,13-May-2026 12:37 PM,techsummary_562096.pdf (333.86 KB),AOC,"S/R to 9 nos F type Quarter at Fire station Building,Chitrada","S/R to 9 nos F type Quarter at Fire station Building,Chitrada",Please refer Tender documents. ,NA ,"4,20,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,"Baripada, Mayurbhanj",757002.0,NA ,NA ,NA ,"R.W.Division, Baripada",No ,No,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,08(Online)/RWD/BPD/2025-26,2025_CERWI_120827_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,06-Nov-2025 05:00 PM,14-Nov-2025 05:30 PM,06-Nov-2025 05:00 PM,14-Nov-2025 05:00 PM,06-Nov-2025 05:00 PM ,14-Nov-2025 03:00 PM ,06-Nov-2025 05:00 PM,14-Nov-2025 05:00 PM,"S.E.R.W.Division, Baripada","S.E.R.W.Division, Baripada","4,200",Yes,percentage,1.0%,Nil,Nil,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GSTIN Affidavit and other documents as per DTCN,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,3207974,AJAY KUMAR GIRI,13-Nov-2025 06:53 AM,Rejected-AOC,unsuccessful bidder,27-May-2026 02:27 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,3199121,BASANTI BEHERA,08-Nov-2025 09:29 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 02:27 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3221002,Bashanti Das,14-Nov-2025 10:57 AM,Rejected-AOC,unsuccessful bidder,27-May-2026 02:27 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3206470,BIJAN KUMAR NAYAK,14-Nov-2025 06:25 AM,Rejected-AOC,unsuccessful bidder,27-May-2026 02:27 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3222678,MAHASWETA DHADA,13-Nov-2025 11:11 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 02:27 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3223519,MANORANJAN UPADHAYAYA,14-Nov-2025 11:56 AM,Rejected-AOC,unsuccessful bidder,27-May-2026 02:27 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3214561,MOHAN DAS,14-Nov-2025 05:34 AM,Rejected-AOC,unsuccessful bidder,27-May-2026 02:27 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3202841,NIRUPAMA DASH,13-Nov-2025 09:14 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 02:27 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3206837,PANKAJ NARAYAN DEO BABU,12-Nov-2025 01:14 PM,Rejected-AOC,unsuccessful bidder,27-May-2026 02:27 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
