Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,Admitted,DEBADATTA MOHANTY,19-Feb-2026 11:51 AM,,BOQ Comparative Chart,OPEPA Bhubaneswar||Samagra Shiksha Khordha,2026_OPEPA_125406_15,02/CW/SS/2025-26,"Construction of One no. Additional Classroom at Govt Upper Primary School Sanagobindpur, Tangi",1.0,3398250.0,PURNA CHANDRA BEHERA,INR,"1,460,783",1,3399376,GOLAK BIHARI PATTANAIK,16-Feb-2026 05:23 PM,Rejected-Technical,Rejected,11-May-2026 06:52 PM,11-May-2026,"INR 1,460,783",180.0,Sonamika Ray,11-May-2026 06:56 PM,WorkorderSanagovindpur.pdf (520.00 KB),DPC Khordha,Internal,,Sonamika Ray,11-May-2026 06:52 PM,techsummary_578956.pdf (566.45 KB),DPC Khordha,Internal,,Sonamika Ray,11-May-2026 06:54 PM,finsummary_578956.pdf (566.45 KB),AOC,OPEPA Bhubaneswar||Samagra Shiksha Khordha,02/CW/SS/2025-26,2026_OPEPA_125406_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents as per DTCN,"6,000",Nil,Nil,No,DPC Khurdha,DPO Khurdha,"Construction of One no. Additional Classroom at Govt Upper Primary School Sanagobindpur, Tangi","Construction of One no. Additional Classroom at Govt Upper Primary School Sanagobindpur, Tangi",Please refer Tender documents. ,NA ,"14,60,783",Civil Works - Buildings,NA ,Tender,90.0,180.0,DPO Khurdha,752055.0,NA ,NA ,NA ,DPO Khurdha,No ,No,"14,608",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,04-Feb-2026 03:00 PM,18-Feb-2026 11:00 AM,04-Feb-2026 03:00 PM,17-Feb-2026 05:00 PM,04-Feb-2026 03:00 PM ,16-Feb-2026 05:00 PM ,04-Feb-2026 03:00 PM,17-Feb-2026 05:00 PM,AOC
,,,,,,,,,,,,,,,2,3398338,GUNA CHANDRA BEHERA,17-Feb-2026 02:14 PM,Rejected-Technical,Rejected,11-May-2026 06:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3399661,MONALISA SAHOO,16-Feb-2026 06:35 PM,Rejected-Technical,Rejected,11-May-2026 06:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3400328,PALISHREE SAMANTARAY,17-Feb-2026 12:39 PM,Rejected-Technical,Rejected,11-May-2026 06:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3398571,PRANAYA PRATIK PATTANAIK,16-Feb-2026 01:56 PM,Rejected-Technical,Rejected,11-May-2026 06:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3398250,PURNA CHANDRA BEHERA,16-Feb-2026 12:56 PM,Accepted-AOC,L1,11-May-2026 06:56 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3400677,PURNIMA PARIDA,17-Feb-2026 03:32 PM,Rejected-Technical,Rejected,11-May-2026 06:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3399670,SUNITA LENKA,16-Feb-2026 06:39 PM,Rejected-Technical,Rejected,11-May-2026 06:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3400778,SUNITA ROY,17-Feb-2026 03:57 PM,Rejected-Technical,Rejected,11-May-2026 06:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3395325,UMA PRASAD PRADHAN,13-Feb-2026 06:30 PM,Rejected-Technical,Rejected,11-May-2026 06:52 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
