S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,ICICI BANK,Municipal Bodies||Belpahar Municipal Council,EO/BPHM02/25-26,2025_ORULB_114739_34,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,882",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of required documents as per DTCN,Constn of Pavor block road with drain from Mithun house to Jagyan Mandap in W.N.-18,Constn of Pavor block road with drain from Mithun house to Jagyan Mandap in W.N.-18,Please refer Tender documents. ,NA ,"6,88,200",Civil Works - Roads,NA ,Tender,90.0,90.0,Belpahar Municipality,768218.0,NA ,NA ,NA ,Belpahar Municipality Office,No ,No,"4,000",0.0,Nil,Nil,No,"Executive Officer,Belpahar Municipality",At/Po-Belpahar Dist-Jharsuguda Odisha-768218,26-Jun-2025 10:00 AM,08-Jul-2025 11:00 AM,26-Jun-2025 10:00 AM,07-Jul-2025 05:00 PM,NA ,NA ,26-Jun-2025 10:00 AM,07-Jul-2025 05:00 PM,AOC,Nimai Charan Panda,Internal,,Nilakantha Kisan,30-Jul-2025 04:29 PM,techsummary_544202.pdf (256.50 KB),Nimai Charan Panda,Internal,,Nilakantha Kisan,16-Aug-2025 12:01 PM,finsummary_544202.pdf (256.50 KB),Finance,ok,Nilakantha Kisan,25-Jul-2025 12:50 PM,finance_544202.pdf,BOQ Comparative Chart,18-May-2026,INR 0,90.0,Nilakantha Kisan,18-May-2026 12:49 PM,PAVOR.pdf (159.00 KB),Municipal Bodies||Belpahar Municipal Council,2025_ORULB_114739_34,EO/BPHM02/25-26,Constn of Pavor block road with drain from Mithun house to Jagyan Mandap in W.N.-18,1.0,2991037.0,LAXMIDHAR SAHOO,INR,0.0,1,2991322,J N R Dora,06-Jul-2025 09:10 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 12:49 PM,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copies of online deposit receipt of EMD and cost of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2990958,J. Rajendra Dora,06-Jul-2025 01:17 AM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 12:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2991037,LAXMIDHAR SAHOO,06-Jul-2025 11:06 AM,Accepted-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 12:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2991077,PRADEEP RANSINGH,06-Jul-2025 10:00 AM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 12:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2992064,RABINDRA BISWAL,07-Jul-2025 01:23 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 12:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2990938,RANJIT KUMAR BISWAL,05-Jul-2025 08:44 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 12:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2991206,Sachidananda Lenka,06-Jul-2025 12:14 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 12:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2991547,SATYAJIT JENA,06-Jul-2025 07:48 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 12:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2991368,SUBASH CHANDRA MEHER PROP. RAJBIR CONSTRUCTION,06-Jul-2025 05:31 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 12:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2991585,SUBHRAJEET JENA,06-Jul-2025 08:35 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 12:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2991194,TANKADHAR KHAMARI,06-Jul-2025 12:29 PM,Rejected-AOC,Cancelled due to non-avaibility of earmarked funds,18-May-2026 12:49 PM,AOC
