S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3028952.0,CHINMAY PADHI,INR,47.93,"COLLECTOR, MAYURBHANJ",External,"ADM, RTO, DLO, DSWO, CCSO",Pradeep Panda,29-Mar-2026 05:52 PM,finsummary_547108.pdf (3949.66 KB),Technical,All admitted for technical bid evaluation.,Pradeep Panda,17-Sep-2025 03:58 PM,,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Mayurbhanj,2025_OSCSC_115985_1,2017 - 16.07.2025 - Level-II for KAPTIPADA BLOCK,Selection and appointment of Level-II contractor for Transportation of Custom Milled Rice (CMR) from Rice Receiving Centre (RRC) PEG UDALA to Retail Centers (FPS) for KAPTIPADA BLOCK in Mayurbhanj district,Finance,allowed,Pradeep Panda,25-Mar-2026 10:17 PM,,BOQ Comparative Chart,"Collector, Mayurbhanj",External,"DWO, MAYURBHANJ, DLO, MAYURBHANJ, RTO, MAYURBHAJ, DSWO, MAYURBHANJ, CHIEF CSO, MAYURBHANJ",SUVENDU KUMAR ROUT,17-Sep-2025 07:43 PM,19-Sep-2025 11:30 AM,techsummary_547108.pdf (1126.06 KB),1,3024555,AJIT KUMAR MALLICK,15-Aug-2025 08:40 PM,Rejected-Finance,L4,29-Mar-2026 05:52 PM,29-Mar-2026,INR 47.93,630.0,Pradeep Panda,29-Mar-2026 11:35 PM,Order21LIITC437210226compressed.pdf (143.00 KB),Chinmay Padhi has been hear by appointed as Level-II Transport Contractor at the rate of Rs.47.93 per Quintal for Kaptipada Block for transportation of food grain from RRC to FPS points,AOC,"3,27,111",No,fixed,,Nil,Nil,"5,900",0.0,Nil,Nil,No,Selection and appointment of Level-II contractor for Transportation of Custom Milled Rice (CMR) from Rice Receiving Centre (RRC) PEG UDALA to Retail Centers (FPS) for KAPTIPADA BLOCK in Mayurbhanj district,Selection and appointment of Level-II contractor for Transportation of Custom Milled Rice (CMR) from Rice Receiving Centre (RRC) PEG UDALA to Retail Centers (FPS) for KAPTIPADA BLOCK in Mayurbhanj district,REFER TO TENDER DOCUMENT ,NA ,"65,42,216",Handling and Transportation,NA ,Tender,180.0,630.0,KAPTIPADA BLOCK,757040.0,"O/O-Chief CSO-cum-DM, OSCSC, Mayurbhanj, Baripada ","O/O-Chief CSO-cum-DM, OSCSC, Mayurbhanj, Baripada ",25-Jul-2025 04:00 PM ,"O/O- ADM(Gen), Mayurbhanj, Baripada",No ,No,"District Manager, OSCSC Ltd., Mayurbhanj","District Manager, OSCSC Ltd., Mayurbhanj, BARIPADA",1.0,ICICI BANK,23-Jul-2025 06:00 PM,19-Aug-2025 11:00 AM,23-Jul-2025 06:00 PM,18-Aug-2025 05:30 PM,23-Jul-2025 06:00 PM ,25-Jul-2025 03:00 PM ,23-Jul-2025 06:00 PM,18-Aug-2025 05:30 PM,19-Sep-2025 11:30 AM,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Mayurbhanj,2017 - 16.07.2025 - Level-II for KAPTIPADA BLOCK,2025_OSCSC_115985_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3028952,CHINMAY PADHI,17-Aug-2025 04:06 PM,Accepted-AOC,allowed aoc,29-Mar-2026 11:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3026143,DEBENDRA KUMAR DAS,17-Aug-2025 02:39 PM,Rejected-Finance,L3,29-Mar-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3025047,RANJIT KUMAR MOHANTY,17-Aug-2025 01:40 PM,Rejected-Finance,L2,29-Mar-2026 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3028271,SAIMADHURI TRADERS,18-Aug-2025 04:37 PM,Rejected-Technical,Rejected,17-Sep-2025 07:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3026279,SIMANTINI BARIK,17-Aug-2025 03:51 PM,Rejected-Technical,Rejected,17-Sep-2025 07:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
