Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"4,000",0.0,Nil,Nil,No,"7,000",Yes,fixed,,Nil,Nil,POWER SUPPLY TO PWS POINT AT DORAPUT INCONNECTION WITH PWS TO DORAPUT GP RAJPALMA UNDER SEMILIGUDA BLOCK,POWER SUPPLY TO PWS POINT AT DORAPUT INCONNECTION WITH PWS TO DORAPUT GP RAJPALMA UNDER SEMILIGUDA BLOCK,PLS REFER TO TENDER DOCUMENT ,NA ,"6,58,668",Electrical Works,NA ,Tender,180.0,60.0,SEMILIGUDA,764036.0,NA ,NA ,NA ,RWSS DIVISION KORAPUT,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER COST DD, EMD, GST, CONTRACTOR REGISTRATION CERTIFICATE, AFFIDAVIT ETC AS PER DTCN",Rural Water Supply and Sanitation||RWSS Circle Koraput||RWSS Division Koraput,06/SE/RWSS/KPT/25-26/31.05.25,2025_RWSS_114460_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,SE RWSS DIVISION KORAPUT,SE RWSS DIVISION KORAPUT,13-Jun-2025 06:00 PM,24-Jun-2025 11:00 AM,13-Jun-2025 06:00 PM,23-Jun-2025 05:00 PM,13-Jun-2025 06:00 PM ,21-Jun-2025 05:00 PM ,13-Jun-2025 06:00 PM,23-Jun-2025 05:00 PM,1,ICICI BANK,AOC,1.0,2977597.0,RAMESH CHANDRA BISWAL,22-Jun-2025 02:16 PM,Accepted-AOC,L1 BIDDER,18-Mar-2026 07:26 PM,18-Mar-2026,"INR 658,667.95",60.0,Jagabandhu Chaudhury,18-Mar-2026 07:26 PM,AOC63.pdf (1063.00 KB),SUPERINTENDING ENGINEER RWSS DIVISION KORAPUT,Internal,"JE ESTIMATOR, DAO",Jagabandhu Chaudhury,18-Mar-2026 07:18 PM,finsummary_543093.pdf (1411.09 KB),Finance,SINGLE BIDDER RECEIVED,Jagabandhu Chaudhury,24-Jun-2025 05:29 PM,,BOQ Comparative Chart,SUPERINTENDING ENGINEER RWSS DIVISION KORAPUT,Internal,"JE ESTIMATOR, DAO, SE RWSS DIVISION KORAPUT",Jagabandhu Chaudhury,17-Mar-2026 01:53 PM,techsummary_543093.pdf (732.44 KB),1.0,2977597.0,RAMESH CHANDRA BISWAL,INR,"658,667.95",Rural Water Supply and Sanitation||RWSS Circle Koraput||RWSS Division Koraput,2025_RWSS_114460_3,06/SE/RWSS/KPT/25-26/31.05.25,POWER SUPPLY TO PWS POINT AT DORAPUT INCONNECTION WITH PWS TO DORAPUT GP RAJPALMA UNDER SEMILIGUDA BLOCK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
