Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Construction Paver Road from Dhabaleswar Safei bridge towards Jhulan Mandap and Raghunathpur Main Road to Markandapur sujanga Harijana sahi Near Society in Ward No-06,Construction Paver Road from Dhabaleswar Safei bridge towards Jhulan Mandap and Raghunathpur Main Road to Markandapur sujanga Harijana sahi Near Society in Ward No-06,Please refer Tender documents. ,NA ,"16,64,934",Civil Works - Others,NA ,Tender,60.0,90.0,Construction Paver Road from Dhabaleswar Safei bri,754103.0,NA ,NA ,NA ,Jagatsinghpur Municipality,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost,EMD,PAN,GST, Registration, NRC, Declaration,Affidavit,Other as Per DTCN",Municipal Bodies||Jagatsinghpur Municipality,EO/ JSPURM/W-03/2024-25,2025_ORULB_110156_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,"Executive Officer, Jagatsinghpur Municipality","Jagatsinghpur Municipality, Jagatsinghpur",07-Feb-2025 05:00 PM,25-Feb-2025 11:00 AM,07-Feb-2025 05:00 PM,21-Feb-2025 05:00 PM,NA ,NA ,07-Feb-2025 05:00 PM,21-Feb-2025 05:00 PM,"16,600",Yes,fixed,,Nil,Nil,AOC,Chairperson,Internal,,Manas Ranjan Pal,25-Mar-2025 12:48 PM,techsummary_528846.pdf (1753.50 KB),CHAIRPERSON,Internal,ADDITIONAL TRESURY OFFICER EXECUTIVE OFFICER MUNICIPAL ENGINEER,Manas Ranjan Pal,07-Mar-2026 10:37 AM,finsummary_528846.pdf (5308.46 KB),Finance,Bids opened in online. 10 Nos of Bidder have been participated in Online. All Bid has been accepted for Lottery Process.,Manas Ranjan Pal,24-Mar-2025 06:16 PM,,BOQ Comparative Chart,1,2828540,AMARESH SWAIN,20-Feb-2025 10:09 PM,Rejected-Finance,REJECTED,07-Mar-2026 10:37 AM,1.0,2825873.0,HIMANSU SEKHAR PAITAL,INR,"1,415,361",Municipal Bodies||Jagatsinghpur Municipality,2025_ORULB_110156_17,EO/ JSPURM/W-03/2024-25,Construction Paver Road from Dhabaleswar Safei bridge towards Jhulan Mandap and Raghunathpur Main Road to Markandapur sujanga Harijana sahi Near Society in Ward No-06,07-Mar-2026,"INR 1,415,361",90.0,Manas Ranjan Pal,07-Mar-2026 10:42 AM,E83057AOC.pdf (1000.00 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2824264,ANANT MOHANTY,18-Feb-2025 04:20 PM,Rejected-Finance,REJECTED,07-Mar-2026 10:37 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2825873,HIMANSU SEKHAR PAITAL,20-Feb-2025 12:23 PM,Accepted-AOC,ACCEPTED,07-Mar-2026 10:42 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2822923,Krushna Chandra Sethy,17-Feb-2025 06:24 PM,Rejected-Finance,REJECTED,07-Mar-2026 10:37 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,2825475,NIRUPAMA BEHERA,19-Feb-2025 12:14 PM,Rejected-Finance,REJECTED,07-Mar-2026 10:37 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2818615,NITYANANDA MOHAPATRA,15-Feb-2025 08:41 AM,Rejected-Finance,REJECTED,07-Mar-2026 10:37 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,2827609,PRADEEP KUMAR DAS,21-Feb-2025 04:40 PM,Rejected-AOC,REJECTED,07-Mar-2026 10:42 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,2820738,RAJ NARAYAN SAHOO,16-Feb-2025 05:15 PM,Rejected-Finance,REJECTED,07-Mar-2026 10:37 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2816981,SIDDHARTHA SHANKAR TRIPATHY,14-Feb-2025 08:50 AM,Rejected-Finance,REJECTED,07-Mar-2026 10:37 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,2828213,SUJIT KUMAR MOHANTY,20-Feb-2025 06:06 PM,Rejected-Finance,REJECTED,07-Mar-2026 10:37 AM,,,,,,,,,,,,,,,,AOC
