Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,opening,Josef Tudu,20-Jan-2026 04:40 PM,,BOQ Comparative Chart,1.0,3358821.0,RAMULAL AGRAWAL,INR,"1,429,064",CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Khariar,2025_CERWI_123655_1,RWKHR-06/2025-26(ONLINE),Construction of Addl. Class Room Building at Khariar Autonomous College in the district of Nuapada,Financial Evaluation,Internal,SE DAO Estimator,Biswajit Rayaguru,24-Feb-2026 10:31 AM,finsummary_572832.pdf (163.69 KB),Technical Evaluation,Internal,SE DAO Estimator,Biswajit Rayaguru,05-Feb-2026 03:20 PM,techsummary_572832.pdf (163.69 KB),02-Mar-2026,"INR 1,429,064",90.0,Biswajit Rayaguru,17-Mar-2026 01:37 PM,ramulal.pdf (914.00 KB),aoc,1,3346595,ABHA BEHERA,06-Jan-2026 01:28 PM,Rejected-Finance,L2 through the Lottery System,24-Feb-2026 10:31 AM,AOC,1.0,1ST Corrigendum,Date,,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of Addl. Class Room Building at Khariar Autonomous College in the district of Nuapada,Construction of Addl. Class Room Building at Khariar Autonomous College in the district of Nuapada,NA ,NA ,"16,81,054",Civil Works - Buildings,NA ,Tender,90.0,90.0,Khariar,766107.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, KHARIAR",No ,No,"16,811",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Khariar,RWKHR-06/2025-26(ONLINE),2025_CERWI_123655_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER,"SUPERINTENDING ENGINEER RURAL WORKS DIVISION, KHARIAR",1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,NRC,AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",29-Dec-2025 10:00 AM,20-Jan-2026 11:00 AM,29-Dec-2025 10:00 AM,19-Jan-2026 05:00 PM,29-Dec-2025 10:00 AM ,06-Jan-2026 11:00 AM ,29-Dec-2025 10:00 AM,19-Jan-2026 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3358564,ANJANA MAHANA,18-Jan-2026 04:12 PM,Rejected-Finance,L2 through the Lottery System,24-Feb-2026 10:31 AM,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3359118,HARE KRUSHNASABAR,19-Jan-2026 10:31 AM,Rejected-Finance,L2 through the Lottery System,24-Feb-2026 10:31 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3359211,Karunakar Majhi,19-Jan-2026 12:37 PM,Rejected-Finance,L2 through the Lottery System,24-Feb-2026 10:31 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3359672,MAHENDRA PRASAD AGRAWAL,19-Jan-2026 02:13 PM,Rejected-Finance,L2 through the Lottery System,24-Feb-2026 10:31 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3347344,MAMATA KUMBHAR,07-Jan-2026 10:22 AM,Rejected-Finance,L2 through the Lottery System,24-Feb-2026 10:31 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3359850,NAMITA MEHER,19-Jan-2026 03:00 PM,Rejected-Finance,L2 through the Lottery System,24-Feb-2026 10:31 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3354066,Narad Chhatria,14-Jan-2026 05:58 PM,Rejected-Finance,L2 through the Lottery System,24-Feb-2026 10:31 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3354837,RAJESWARI SINGHBABU,15-Jan-2026 08:22 PM,Rejected-Finance,L2 through the Lottery System,24-Feb-2026 10:31 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3358821,RAMULAL AGRAWAL,18-Jan-2026 06:08 PM,Accepted-AOC,accepted,17-Mar-2026 01:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
