S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2865495.0,PRAJNYA RANJAN NAYAK,INR,"50,551,484",Technical,12 bidders have participated,Trinatha Behera,02-May-2025 08:22 PM,,EIC-CIVIL||SERNB-CIRCLE-CUTTACK,2025_EICCL_111478_1,CCE.Ctc.(RandB)15/2024-25,Construction of Minor Bridge over Tamulia Nallah at Ch.2/950 km. at Kundupur Barapal Babar Jamboo road under State Plan for 2024-25.,Trinath Behera,Internal,SE KendraparaI DAO PA to CCE JE Estimator,Trinatha Behera,02-Dec-2025 12:26 PM,finsummary_532666.pdf (265.32 KB),Trinath Behera,Internal,SE KendraparaI DAO PA to CCE JE Estimator,Trinatha Behera,19-Jul-2025 09:50 PM,23-Jul-2025 11:00 AM,techsummary_532666.pdf (639.19 KB),Finance,5 bidders have participated,Trinatha Behera,23-Jul-2025 07:15 PM,,BOQ Comparative Chart,1,2865511,ABHAYA KUMAR SAHOO,24-Mar-2025 11:33 AM,Rejected-Finance,Due to L3,02-Dec-2025 12:26 PM,08-Mar-2026,"INR 50,551,484",270.0,Trinatha Behera,08-Mar-2026 08:20 PM,Agrttamulia.pdf (165.00 KB),The date of commencement may be read as 11.02.2026 to complete the work within 9 calendar months,AOC,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD, GSTIN. PAN, RC, Affidavit and correctness certificate",10-Mar-2025 04:00 PM,25-Mar-2025 11:00 AM,10-Mar-2025 04:00 PM,24-Mar-2025 05:30 PM,NA ,NA ,10-Mar-2025 04:00 PM,24-Mar-2025 05:30 PM,23-Jul-2025 11:00 AM,Construction of Minor Bridge over Tamulia Nallah at Ch.2/950 km. at Kundupur Barapal Babar Jamboo road under State Plan for 2024-25.,Bridge work,As per DTCN ,NA ,"5,68,69,709",Civil Works - Bridges,NA ,Tender,90.0,270.0,Kendrapara,754103.0,NA ,NA ,NA ,O/o CCE Cuttack RandB Circle,No ,No,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-CUTTACK,CCE.Ctc.(RandB)15/2024-25,2025_EICCL_111478_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CCE Cuttack RandB Circle,O/o CCE Cuttack RandB Circle,"5,68,700",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2865979,ANANTA PRASAD MALIK,24-Mar-2025 08:20 AM,Rejected-Technical,Disqualified,19-Jul-2025 09:50 PM,,,,,,,,AOC,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2866061,FAKIR CHARAN SAHU,24-Mar-2025 09:49 AM,Rejected-Technical,Disqualified,19-Jul-2025 09:50 PM,,,,,,,,AOC,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2865495,PRAJNYA RANJAN NAYAK,24-Mar-2025 03:45 PM,Accepted-AOC,Due to 1st lowest,08-Mar-2026 08:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2867144,QUEEN SAROJLAXMI,24-Mar-2025 04:33 PM,Rejected-Technical,Disqualified,19-Jul-2025 09:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2866777,SACHIN KUMAR SAHOO,24-Mar-2025 04:44 PM,Rejected-Technical,Disqualified,19-Jul-2025 09:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2866157,SANJAY KUMAR SAMANTARAY,24-Mar-2025 10:58 AM,Rejected-Technical,Disqualified,19-Jul-2025 09:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2864711,SANJEEB KUMAR SAHOO,22-Mar-2025 04:28 PM,Rejected-Technical,Disqualified,19-Jul-2025 09:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2862516,SATYAJIT PATRA,24-Mar-2025 04:16 PM,Rejected-AOC,Due to 2nd lowest,08-Mar-2026 08:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2864506,SUBHALAXMI SWAIN,22-Mar-2025 01:02 PM,Rejected-Technical,Disqualified,19-Jul-2025 09:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
