Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
Finance,OPENING SUCESSFULLY,Ranjulata Das,05-Jan-2026 01:41 PM,,BOQ Comparative Chart,03-Mar-2026,"INR 360,204",60.0,Pradata Sahoo,03-Mar-2026 12:17 PM,11jagannath.pdf (672.00 KB),1.0,3343353.0,JAGANNATH SWAIN,INR,"360,204",Municipal Bodies||Kamakhyanagar NAC,2025_ORULB_123686_11,KNR-NAC-04/2025-26,"Renovation of Gopbandhu Park in Ward No-06, Kamakhyanagar NAC",1,3340190,BIRAJA PRASAD SASMAL,30-Dec-2025 04:03 PM,Rejected-Finance,DUE TO NOT L1 IN LOTERY,03-Mar-2026 12:11 PM,EO,Internal,"EO, AE, JE, DA",Pradata Sahoo,03-Mar-2026 12:03 PM,techsummary_572991.pdf (672.06 KB),EO,Internal,"EO, AE, JE, DA",Pradata Sahoo,03-Mar-2026 12:11 PM,finsummary_572991.pdf (672.06 KB),AOC,"Renovation of Gopbandhu Park in Ward No-06, Kamakhyanagar NAC","Renovation of Gopbandhu Park in Ward No-06, Kamakhyanagar NAC",Please refer Tender documents. ,NA ,"4,23,720",Civil Works - Others,NA ,Tender,90.0,30.0,Kamakhyanagar NAC,759018.0,NA ,NA ,NA ,"Executive Officer, Kamakhyanagar NAC",No ,No,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,"4,237",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Kamakhyanagar NAC,KNR-NAC-04/2025-26,2025_ORULB_123686_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, Kamakhyanagar NAC","Executive Officer, Kamakhyanagar NAC",24-Dec-2025 11:00 AM,05-Jan-2026 11:00 AM,24-Dec-2025 11:00 AM,03-Jan-2026 05:00 PM,NA ,NA ,24-Dec-2025 11:00 AM,03-Jan-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, PAN, Valid GST, RC, Affidavit and other documents as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,2,3343187,Dharmendra Das,03-Jan-2026 12:40 PM,Rejected-Finance,DUE TO NOT L1 IN LOTE,03-Mar-2026 12:11 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,3,3342863,HIMANSU BHUSAN MAHUNTA,03-Jan-2026 11:54 AM,Rejected-Finance,DUE TO NOT L1 IN LOTE,03-Mar-2026 12:11 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3343353,JAGANNATH SWAIN,03-Jan-2026 01:59 PM,Accepted-AOC,DUE TO L1 IN LOTERY,03-Mar-2026 12:17 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3341788,JAJNESWAR NAIK,01-Jan-2026 05:02 PM,Rejected-Finance,DUE TO NOT L1 IN LOTE,03-Mar-2026 12:11 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3341574,MANASA RANJAN KHATUA,31-Dec-2025 11:01 PM,Rejected-Finance,DUE TO NOT L1 IN LOTERY,03-Mar-2026 12:11 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3342999,NAROTTAM MOHANTY,03-Jan-2026 08:08 AM,Rejected-Finance,DUE TO NOT L1 IN LOTE,03-Mar-2026 12:11 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3342126,NETRANANDA SAHOO,02-Jan-2026 10:08 AM,Rejected-Finance,DUE TO NOT L1 IN LOTE,03-Mar-2026 12:11 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3340909,NIRUPAMA ROUL,31-Dec-2025 06:27 PM,Rejected-Finance,DUE TO NOT L1 IN LOTERY,03-Mar-2026 12:11 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3341943,Rajesh Roshan Behera,01-Jan-2026 08:34 PM,Rejected-Finance,DUE TO NOT L1 IN LOTE,03-Mar-2026 12:11 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,11,3341595,RASHMITA ROUT,01-Jan-2026 10:33 AM,Rejected-Finance,DUE TO NOT L1 IN LOTERYRY,03-Mar-2026 12:11 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,12,3342961,SABITRI SAHOO,02-Jan-2026 11:24 PM,Rejected-Finance,DUE TO NOT L1 IN LOTE,03-Mar-2026 12:11 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,13,3333669,SAROJ KUMAR BISWAL,30-Dec-2025 12:32 PM,Rejected-Finance,DUE TO NOT L1 IN LOTERY,03-Mar-2026 12:11 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,14,3343220,SHAKTI PRASADJEE,03-Jan-2026 01:05 PM,Rejected-Finance,DUE TO NOT L1 IN LOTERY,03-Mar-2026 12:11 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,15,3343000,SUBASH CHANDRA JENA,03-Jan-2026 08:11 AM,Rejected-Finance,DUE TO NOT L1 IN LOTE,03-Mar-2026 12:11 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
