Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"11,800",Nil,Nil,No,"2,30,000",Yes,fixed,,Nil,Nil,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd. UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012",1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate, Valid OCC Ltd enlistment certificate and EMD (Mandatory) etc.",1.0,ICICI BANK,Improvement of Service Road of Dhanei Distributary in between RD 14.00 KM to 17.00 KM of Dhanei Irrigation Project.,Improvement of Service Road of Dhanei Distributary in between RD 14.00 KM to 17.00 KM of Dhanei Irrigation Project.,AS PER DTCN. ,NA ,"2,29,58,397",Civil Works - Others,NA ,Tender,90.0,180.0,near Polsara town in Ganjam district.,756001.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,09-Sep-2025 06:00 PM,04-Oct-2025 12:00 PM,09-Sep-2025 06:00 PM,03-Oct-2025 05:30 PM,09-Sep-2025 06:00 PM ,15-Sep-2025 03:30 PM ,09-Sep-2025 06:00 PM,03-Oct-2025 05:30 PM,22-Oct-2025 11:30 AM,ODISHA CONSTRUCTION CORPORATION LTD,E-procurement Notice No. 42/OCCL/2025-26(on-line),2025_OCCL_117840_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,01-Dec-2025,"INR 19,516,934",180.0,Sarat Chandra Ghadei,12-Mar-2026 05:04 PM,AOC_DHANEI_IRRIGATION.pdf (656.00 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,14-Nov-2025 04:54 PM,finsummary_551959.pdf (576.38 KB),Technical,Opened Successfully.,Pratap Chandra Chaudhury,04-Oct-2025 04:13 PM,,1,3107132,BALARAM DALAI,03-Oct-2025 01:43 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,14-Nov-2025 04:54 PM,Finance,Opened Successfully.,Pratap Chandra Chaudhury,22-Oct-2025 12:14 PM,,BOQ Comparative Chart,1.0,3107671.0,Leaptree Engineers Pvt. Ltd.,INR,"19,516,934",ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_117840_1,E-procurement Notice No. 42/OCCL/2025-26(on-line),Improvement of Service Road of Dhanei Distributary in between RD 14.00 KM to 17.00 KM of Dhanei Irrigation Project.,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,19-Oct-2025 01:33 PM,22-Oct-2025 11:30 AM,techsummary_551959.pdf (58.40 KB),AOC
,,,,,,,,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,3107628,CHANDAN PRASAD PADHY,03-Oct-2025 04:48 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,14-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3104957,K.Rabinarayan Das,01-Oct-2025 08:32 PM,Rejected-Finance,L2 BIDDER.,14-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3107671,Leaptree Engineers Pvt. Ltd.,03-Oct-2025 04:18 PM,Accepted-AOC,L1 SUCCESSFUL BIDDER.,12-Mar-2026 05:05 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3106873,MAHENDRA PRADHAN,03-Oct-2025 12:56 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,14-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3107524,M. DAMBURU,03-Oct-2025 03:38 PM,Rejected-Technical,Non - Responsive.,19-Oct-2025 01:33 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3103034,PADMA LOCHAN BISWAL,01-Oct-2025 07:31 AM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,14-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3107167,Prajukta Mahapatra,03-Oct-2025 02:03 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,14-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3104382,Rajendra Patra,02-Oct-2025 07:52 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,14-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3101274,Ramesh Pradhan,26-Sep-2025 07:18 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,14-Nov-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
