Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,2025_OLIC_119447_6,BID ID NO. 5459 (OLIC/2025-26) DATED 06.10.2025,Reinforcement of Amarda I and Parulia II TW LIP under Rasgobindpur Block in Mayurbhanj District,1.0,3139660.0,NIRANJAN BEHERA,INR,"646,210",Jogindra Ratha,Internal,,JOGINDRA RATHA,27-Oct-2025 05:19 PM,28-Oct-2025 11:00 AM,techsummary_555924.pdf (328.28 KB),05-Mar-2026,"INR 646,210",90.0,JOGINDRA RATHA,05-Mar-2026 01:10 PM,Amarada_Parulia_II.pdf (361.00 KB),Jogindra Ratha,Internal,,JOGINDRA RATHA,05-Mar-2026 12:58 PM,finsummary_555924.pdf (328.28 KB),1,3139260,AJAY KUMAR GIRI,22-Oct-2025 07:50 AM,Rejected-Finance,Due to above of L2,05-Mar-2026 12:58 PM,Technical,Due to furnished all documents,JOGINDRA RATHA,27-Oct-2025 05:03 PM,technical_555924.pdf,Finance,Accepted,JOGINDRA RATHA,05-Mar-2026 12:08 PM,finance_555924.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,BID ID NO. 5459 (OLIC/2025-26) DATED 06.10.2025,2025_OLIC_119447_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,15-Oct-2025 11:00 AM,23-Oct-2025 11:00 AM,15-Oct-2025 11:00 AM,22-Oct-2025 05:00 PM,15-Oct-2025 11:00 AM ,20-Oct-2025 05:00 PM ,15-Oct-2025 11:00 AM,22-Oct-2025 05:00 PM,28-Oct-2025 11:00 AM,"4,720",0.0,Nil,Nil,No,Reinforcement of Amarda I and Parulia II TW LIP under Rasgobindpur Block in Mayurbhanj District,Reinforcement of Amarda I and Parulia II TW LIP under Rasgobindpur Block in Mayurbhanj District,Please refer Tender documents. ,NA ,"6,44,201",Civil Works - Lift Irrigation Schemes,NA ,Tender,365.0,90.0,Baripada,757002.0,NA ,NA ,NA ,"EE, M.L.I Division, Baripada",No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Paper cost EMD PAN GST Civil License Experience as per DTCN,"6,442",Yes,percentage,1.0%,Nil,Nil,"EE, M.L.I Division, Baripada","EE, M.L.I Division, Baripada Near Chhou Padia, Infront of Stadium, Bhanjpur, Baripada, Mayurbhanj, Odisha, 757002",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3142534,DAYANIDHI KABI,22-Oct-2025 02:37 PM,Rejected-Finance,Due to above of L2,05-Mar-2026 12:58 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3139660,NIRANJAN BEHERA,22-Oct-2025 12:25 PM,Accepted-AOC,Due to L1,05-Mar-2026 01:10 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3142141,SULATA RANI PAL,22-Oct-2025 12:58 PM,Rejected-AOC,Due to L2,05-Mar-2026 01:10 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
