S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3275237.0,M/S. RAJ RIYANSH CONSTRUCTIONS,INR,"1,514,672",Finance,summary report,Ramlal Tiu,02-Mar-2026 07:30 PM,finance_566336.pdf,BOQ Comparative Chart,P Patra,Internal,,Ramlal Tiu,02-Mar-2026 07:49 PM,finsummary_566336.pdf (362.60 KB),"CE-BM,BSB Basin,Laxmiposi||SE,Baripada Irr.Circle,Takatpur||EE, Mayurbhanj Irr.Divn,Baripada",2025_CEBML_121749_1,03MBJ/2025-26(8),Construction of CC road from D.G. room to spillway (Ramp portion) of Sunei Dam.,P Patra,Internal,,Ramlal Tiu,02-Mar-2026 07:37 PM,techsummary_566336.pdf (362.60 KB),02-Mar-2026,"INR 1,514,672",90.0,Ramlal Tiu,02-Mar-2026 07:57 PM,08.pdf (363.00 KB),1,3274669,BASANTI BEHERA,03-Dec-2025 01:34 PM,Rejected-Technical,Does not elected in lottery,02-Mar-2026 07:37 PM,AOC,Construction of CC road from D.G. room to spillway (Ramp portion) of Sunei Dam.,canal work,Please refer Tender documents. ,NA ,"15,09,964",Civil Works - Others,NA ,Tender,90.0,90.0,Baripada,757002.0,NA ,NA ,NA ,"O/o the S.E., Mayurbhanj Irrn. Divn. Baripada.",No ,No,"15,200",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,ONLINETENDER COST EMD RC GST AFFIDAVIT NO RELATION PAYMENT REPORT OTHER DOCUMENTS AS DTCN,"CE-BM,BSB Basin,Laxmiposi||SE,Baripada Irr.Circle,Takatpur||EE, Mayurbhanj Irr.Divn,Baripada",03MBJ/2025-26(8),2025_CEBML_121749_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"S.E., Mayurbhanj Irrigation Division, Baripada","O/o the S.E., Mayurbhanj Irrn. Divn. Baripada.",25-Nov-2025 10:00 AM,05-Dec-2025 11:00 AM,25-Nov-2025 10:00 AM,04-Dec-2025 05:00 PM,25-Nov-2025 10:00 AM ,02-Dec-2025 05:00 PM ,25-Nov-2025 10:00 AM,04-Dec-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3274304,BIBEKANANDA PRADHAN,03-Dec-2025 04:53 PM,Rejected-Technical,Does not elected in lottery,02-Mar-2026 07:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3277020,BINOD KUMAR BISWAL,04-Dec-2025 06:44 AM,Rejected-Technical,Does not elected in lottery,02-Mar-2026 07:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3255878,Biswajit Pramanik,04-Dec-2025 12:20 PM,Rejected-Technical,Does not elected in lottery,02-Mar-2026 07:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3268627,BIVASH KUMAR ROUT,04-Dec-2025 11:56 AM,Rejected-Technical,Does not elected in lottery,02-Mar-2026 07:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3265434,Dibyabharati Rout,04-Dec-2025 11:17 AM,Rejected-Technical,Does not elected in lottery,02-Mar-2026 07:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3256987,GOLAK BEHERA,04-Dec-2025 03:31 PM,Rejected-Technical,Does not elected in lottery,02-Mar-2026 07:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3275539,GOUTAM CHANDRA DHAL,04-Dec-2025 08:21 AM,Rejected-Technical,Does not elected in lottery,02-Mar-2026 07:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3278289,INDRAJIT NAYAK,04-Dec-2025 01:29 PM,Rejected-Technical,Does not elected in lottery,02-Mar-2026 07:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3275981,JIBAN KUMAR SA,03-Dec-2025 06:41 PM,Rejected-Technical,Does not elected in lottery,02-Mar-2026 07:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
