Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage
Finance,-,Simachala Satapathy,05-Mar-2026 01:29 PM,finance_566791.pdf,BOQ Comparative Chart,SE MI DIVN GANJAM II BAM,Internal,,Simachala Satapathy,17-Dec-2025 06:14 PM,17-Dec-2025 06:15 PM,techsummary_566791.pdf (380.08 KB),1.0,corrigendum re opening technical bid,-,15-Dec-2025 02:02 PM,CORRIGENDUM_KUSUMI.pdf ,556.18,Technical Opening,05-Mar-2026,"INR 5,821,808",90.0,Simachala Satapathy,05-Mar-2026 02:14 PM,s1.pdf (428.00 KB),1,3278743,CHINMAYA KUMAR DASH,04-Dec-2025 02:54 PM,Rejected-AOC,-,05-Mar-2026 02:15 PM,1.0,3264833.0,Nilanchal Patro,INR,"5,821,808",SE MIDIVN GANJAM II BERHAMPUR,Internal,,Simachala Satapathy,05-Mar-2026 01:31 PM,finsummary_566791.pdf (29.35 KB),"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",2025_CEMIB_121925_1,GMID-II/08/2025-26,Improvement to Kusumi MIP Right bank main canal from RD 2900 mt to RD 4265 mt in Polosara Block under CAPEX Road 2025_26,Technical,-,Simachala Satapathy,17-Dec-2025 06:11 PM,technical_566791.pdf,AOC,"58,100",Yes,fixed,,Nil,Nil,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GAJAPATI",GMID-II/08/2025-26,2025_CEMIB_121925_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement to Kusumi MIP Right bank main canal from RD 2900 mt to RD 4265 mt in Polosara Block under CAPEX Road 2025_26,Improvement to Kusumi MIP Right bank main canal from RD 2900 mt to RD 4265 mt in Polosara Block under CAPEX Road 2025_26,Please refer Tender documents. ,NA ,"58,04,000",Civil Works - Others,NA ,Tender,90.0,90.0,Superintending Engineer M.I.Divn Ganjam II BAM,760010.0,NA ,NA ,NA ,Superintending Engineer M.I.Divn Ganjam II BAM,No ,No,1.0,Fee/PreQual/Technical,.pdf,Scan copy of valid licence GSTN PAN affidavit and other document as per DTCN,25-Nov-2025 01:00 PM,05-Dec-2025 11:30 AM,25-Nov-2025 01:00 PM,04-Dec-2025 05:00 PM,NA ,NA ,25-Nov-2025 01:00 PM,04-Dec-2025 05:00 PM,17-Dec-2025 06:15 PM,"10,000",0.0,Nil,Nil,No,Superintending Engineer M.I.Divn Ganjam II BAM,Superintending Engineer M.I.Divn Ganjam II BAM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,3268930,DIPAK KUMAR SAHU,01-Dec-2025 10:50 AM,Rejected-AOC,-,05-Mar-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,3,3277696,GOUTAM PRADHAN,04-Dec-2025 11:55 AM,Rejected-AOC,-,05-Mar-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,4,3276218,JITENDRA KUMAR SENAPATI,04-Dec-2025 11:44 AM,Rejected-AOC,-,05-Mar-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,5,3278931,MADAN GOUDA,04-Dec-2025 03:41 PM,Rejected-AOC,-,05-Mar-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,6,3273713,Neelakantha Swain,03-Dec-2025 08:23 AM,Rejected-AOC,-,05-Mar-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,7,3264833,Nilanchal Patro,30-Nov-2025 09:54 PM,Accepted-AOC,winner,05-Mar-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,8,3279255,Pabitra Gouda,04-Dec-2025 04:34 PM,Rejected-AOC,-,05-Mar-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,9,3279037,Prasant Kumar Sethy,04-Dec-2025 03:40 PM,Rejected-AOC,-,05-Mar-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,10,3277734,PRATAP CHANDRA SAHU,04-Dec-2025 12:47 PM,Rejected-AOC,-,05-Mar-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,11,3274584,RITIK ROSHAN PATRA,03-Dec-2025 01:07 PM,Rejected-AOC,-,05-Mar-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,12,3277145,SAMIR KUMAR SETHI,04-Dec-2025 09:22 AM,Rejected-AOC,-,05-Mar-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
