Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
28-Mar-2026,"INR 1,691,826",60.0,Subas Chandra Sahoo,28-Mar-2026 12:42 PM,2025_ORULB_123292_19.pdf (422.00 KB),Work Order,Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_123292_19,MC(CMC)CTC_Div-I_No.17/2025-26,Construction of C.C. road and drain from Ranjan Mallick res to Sivaji Nagar Pump house with Bye lane at Sivaji Nagar in Ward No. 07.,1.0,3340834.0,SUDHIR KUAMR PAL,INR,"1,691,826",1,3341153,Bhabagrahi Nayak,31-Dec-2025 12:24 PM,Rejected-AOC,Rejected,28-Mar-2026 12:42 PM,Finance,Twelve bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Subas Chandra Sahoo,06-Jan-2026 05:09 PM,finance_572492.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,28-Mar-2026 12:36 PM,finsummary_572492.pdf (422.07 KB),Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,28-Mar-2026 12:33 PM,techsummary_572492.pdf (422.07 KB),AOC,"7,080",0.0,Nil,Nil,No,20-Dec-2025 01:00 PM,05-Jan-2026 11:00 AM,20-Dec-2025 01:00 PM,31-Dec-2025 05:00 PM,NA ,NA ,20-Dec-2025 01:00 PM,31-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online","19,900",Yes,fixed,,Nil,Nil,Construction of C.C. road and drain from Ranjan Mallick res to Sivaji Nagar Pump house with Bye lane at Sivaji Nagar in Ward No. 07.,Construction of C.C. road and drain from Ranjan Mallick res to Sivaji Nagar Pump house with Bye lane at Sivaji Nagar in Ward No. 07.,Please refer Tender documents. ,NA ,"19,90,200",Civil Works - Others,NA ,Tender,90.0,60.0,CMC,753001.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane Badambadi, Dist C",No ,No,1.0,ICICI BANK,"Executive Engineer, CD-I","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012",Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-I_No.17/2025-26,2025_ORULB_123292_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,3338051,GOPABANDHU ROUTRAY,29-Dec-2025 05:48 PM,Rejected-AOC,Rejected,28-Mar-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3341331,HRUSHIKESH SAHOO,31-Dec-2025 03:11 PM,Rejected-AOC,Rejected,28-Mar-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3338725,PRABODH KUMAR PRUSTY,29-Dec-2025 10:02 PM,Rejected-AOC,Rejected,28-Mar-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3329949,PRADEEP KUMAR CHHATOI,26-Dec-2025 02:39 PM,Rejected-AOC,Rejected,28-Mar-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3338723,PRAVAT KUMAR PRUSTY,29-Dec-2025 10:10 PM,Rejected-AOC,Rejected,28-Mar-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3341135,SANJAY KUMAR SETHY(SC),31-Dec-2025 12:04 PM,Rejected-AOC,Rejected,28-Mar-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3340263,SIBENDRA BEHERA,30-Dec-2025 03:28 PM,Rejected-AOC,Rejected,28-Mar-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3339961,Sri Jagabandhu Sethy,30-Dec-2025 01:50 PM,Rejected-AOC,Rejected,28-Mar-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3341102,SRIMANT SETHY,31-Dec-2025 11:49 AM,Rejected-AOC,Rejected,28-Mar-2026 12:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
