Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Stage
15-Jan-2026,"INR 27,069,778",270.0,Sukadev Mahali,30-Mar-2026 05:18 PM,boqcomparativechart.pdf (105.00 KB),SUCCESS IN LOTTERY SYSTEM,CE RW I||RWCIRCLE-BALANGIR,2025_CERWI_120356_27,BLGR-Online-28/2025-26,Improvement to NH-201 to Gambharipali Road in the district of Subarnapur under MMSY-Improvement to Existing RD Road for the year 2025-26,1.0,3226126.0,Ramnarayan Mishra,INR,"27,069,778",1,3228776,BALAMAKUNDA PUROHIT,18-Nov-2025 12:53 PM,Rejected-Finance,Unsuccess in lottery system,15-Jan-2026 05:48 PM,Technical,17 nos bids opened,Sukadev Mahali,20-Nov-2025 06:41 PM,technical_562784.pdf,S Mahali,Internal,,Sukadev Mahali,15-Jan-2026 05:48 PM,finsummary_562784.pdf (104.74 KB),Finance,17 nos bids opened,Sukadev Mahali,02-Jan-2026 01:21 PM,finance_562784.pdf,BOQ Comparative Chart,S.Mahali,Internal,,Sunita Kumari Jena,24-Dec-2025 11:12 AM,02-Jan-2026 11:00 AM,techsummary_562784.pdf (185.29 KB),AOC,07-Nov-2025 06:55 PM,20-Nov-2025 11:00 AM,07-Nov-2025 06:55 PM,18-Nov-2025 05:00 PM,07-Nov-2025 06:55 PM ,17-Nov-2025 05:00 PM ,07-Nov-2025 06:55 PM,18-Nov-2025 05:00 PM,02-Jan-2026 11:00 AM,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALANGIR,BLGR-Online-28/2025-26,2025_CERWI_120356_27,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement to NH-201 to Gambharipali Road in the district of Subarnapur under MMSY-Improvement to Existing RD Road for the year 2025-26,Improvement to NH-201 to Gambharipali Road in the district of Subarnapur under MMSY-Improvement to Existing RD Road for the year 2025-26,Please refer Tender documents. ,NA ,"3,18,43,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o C.C.E, R.W.Circle, Bolangir",No ,No,"3,18,430",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"R.C, PAN, GSTIN, EMD, Tender Paper Cost, Affidavit regarding correctness, No relation certificate",1.0,ICICI BANK,"Chief Construction Engineer, R.W.Circle, Bolangir","O/o Chief Construction Engineer, R.W.Circle, Bolangir",AOC
,,,,,,,,,,,,,,,,2,3235509,BASANT AGRAWAL,18-Nov-2025 03:24 PM,Rejected-Finance,Unsuccess in lottery system,15-Jan-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn Over, Similar Nature of Work, Machinaries and others documents as per DTCN",2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,3,3207591,BIKRAM KUMAR GUPTA,12-Nov-2025 05:42 PM,Rejected-Finance,Unsuccess in lottery system,15-Jan-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,AOC
,,,,,,,,,,,,,,,,4,3234371,B. K. Construction Co.,18-Nov-2025 09:30 AM,Rejected-Finance,Unsuccess in lottery system,15-Jan-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3235640,ER. MOHIT KUMAR JAIN,18-Nov-2025 03:50 PM,Rejected-Finance,Unsuccess in lottery system,15-Jan-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3220820,HITESH AGRAWAL,13-Nov-2025 12:36 PM,Rejected-Finance,Unsuccess in lottery system,15-Jan-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3202219,JAI BAJRANGBALI INFRA,09-Nov-2025 04:37 PM,Rejected-Finance,Unsuccess in lottery system,15-Jan-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3230932,MAHESH CHOUDHURY,18-Nov-2025 09:00 AM,Rejected-Finance,Unsuccess in lottery system,15-Jan-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3235032,M/s SHREE INFRA AND CO,18-Nov-2025 01:09 PM,Rejected-Finance,Unsuccess in lottery system,15-Jan-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3225553,NITESH KUMAR JAIN,14-Nov-2025 05:15 PM,Rejected-Finance,Unsuccess in lottery system,15-Jan-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,3235488,PRADEEP KUMAR HOTA,18-Nov-2025 02:59 PM,Rejected-Finance,Unsuccess in lottery system,15-Jan-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
