S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
1.0,3274222.0,Srinivas Mohapatra,INR,"29,130,334","Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,,Lopamudra Dalai,14-Feb-2026 05:27 PM,finsummary_566381.pdf (920.09 KB),CE RW I||RWCIRCLE-BERHAMPUR,2025_CERWI_121761_4,Online Tender/30-2025-26/BPR,Improvement to RD road to Jalameripalli road in the District of Ganjam under MMSY-Improvement to Existing RD Road for the year 2025-26.,Technical,Documents to be verified,Swagatika Rauto,08-Dec-2025 01:40 PM,technical_566381.pdf,Finance,Documents to be verified,Swagatika Rauto,30-Jan-2026 05:29 PM,finance_566381.pdf,BOQ Comparative Chart,"Er. K.Ch.Khatua, CCE, RWC, BAM",Internal,"Asst Engineer, R.W.Circle,BAM P.A. to CCE, R.W.Circle, BAM SE, R.W.Divn-II, Gm, BAM",Swagatika Rauto,06-Jan-2026 07:05 PM,15-Jan-2026 11:00 AM,techsummary_566381.pdf (678.26 KB),10-Mar-2026,"INR 29,130,334",180.0,Lopamudra Dalai,13-Mar-2026 01:27 PM,Jalameripalli.pdf (368.00 KB),1,3278737,B LAXMI NARYANA,04-Dec-2025 02:49 PM,Rejected-AOC,2nd Lowest,13-Mar-2026 01:27 PM,AOC,"10,000",0.0,Nil,Nil,No,"3,42,700",Yes,fixed,,Nil,Nil,Improvement to RD road to Jalameripalli road in the District of Ganjam under MMSY-Improvement to Existing RD Road for the year 2025-26.,Improvement to RD road to Jalameripalli road in the District of Ganjam under MMSY-Improvement to Existing RD Road for the year 2025-26.,Please refer Tender documents. ,NA ,"3,42,68,000",Civil Works - Roads,NA ,Tender,90.0,180.0,Ganjam,760011.0,NA ,NA ,NA ,"O/O Chief Construction Engineer, R.W.Circle, BAM,",No ,No,22-Nov-2025 10:00 AM,05-Dec-2025 11:00 AM,22-Nov-2025 10:00 AM,04-Dec-2025 05:30 PM,22-Nov-2025 10:00 AM ,02-Dec-2025 05:30 PM ,22-Nov-2025 10:00 AM,04-Dec-2025 05:30 PM,15-Jan-2026 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Affidavit,GSTIN,PAN,RC,Annual Turnover,experience,machinery and other papers as per DTCN",1.0,ICICI BANK,CE RW I||RWCIRCLE-BERHAMPUR,Online Tender/30-2025-26/BPR,2025_CERWI_121761_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Chief Construction Engineer, R.W.Circle, BAM,","O/O Chief Construction Engineer, RWC, BAM Near Income Tax Office Ambapua-11",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3279225,M/s SHREE INFRA AND CO,04-Dec-2025 04:20 PM,Rejected-AOC,1st Lowest,13-Mar-2026 01:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3278669,PRASANTA KUMAR SAHU,04-Dec-2025 02:31 PM,Rejected-AOC,4th Lowest,13-Mar-2026 01:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3274222,Srinivas Mohapatra,03-Dec-2025 10:55 PM,Accepted-AOC,Successful bidders after lottery system,13-Mar-2026 01:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3276587,Subrat Kumar Patro,03-Dec-2025 09:18 PM,Rejected-AOC,3rd Lowest,13-Mar-2026 01:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
