Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
07-Feb-2026 10:00 AM,17-Feb-2026 11:00 AM,07-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,NA ,NA ,07-Feb-2026 10:00 AM,13-Feb-2026 05:00 PM,Municipal Bodies||Nilgiri NAC,NLGN_06-MSBY/2025-26,2026_ORULB_125660_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Development and maintenance of Covered Drain in different places of W.No.03 under Nilgiri NAC.,Development and maintenance of Covered Drain in different places of W.No.03 under Nilgiri NAC.,Please refer Tender documents. ,NA ,"1,51,669",Civil Works - Others,NA ,Tender,180.0,NA ,Nilgiri NAC,756040.0,NA ,NA ,NA ,O/O Nilgiri NAC,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN and as per DTCN","1,517",Yes,percentage,1.0%,Nil,Nil,600.0,0.0,Nil,Nil,No,"Executive Officer, Nilgiri NAC","Nilgiri NAC, Nilgiri, Balasore, 756040",1.0,Corrigendum for Technical BID,Technical Bid,,AOC,"Chairman, Nilgiri NAC",Internal,,Ansuman Parida,18-Mar-2026 11:29 AM,finsummary_579807.pdf (441.69 KB),"Chairman, Nilgiri NAC",Internal,,Ansuman Parida,23-Feb-2026 12:54 PM,techsummary_579807.pdf (441.69 KB),1.0,3395083.0,RAJKISHORE PANDA,INR,"151,667",Municipal Bodies||Nilgiri NAC,2026_ORULB_125660_12,NLGN_06-MSBY/2025-26,Development and maintenance of Covered Drain in different places of W.No.03 under Nilgiri NAC.,1,3393951,ABINASH NAYAK,12-Feb-2026 06:43 PM,Rejected-AOC,L14,18-Mar-2026 11:37 AM,18-Mar-2026,"INR 151,667",30.0,Ansuman Parida,18-Mar-2026 11:36 AM,WO12.pdf (348.00 KB),Finance,All Contractors have quoted SOR and accepted,Ansuman Parida,21-Feb-2026 01:49 PM,finance_579807.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3394111,ASHOK KUMAR MOHAPATRA,12-Feb-2026 08:01 PM,Rejected-AOC,L15,18-Mar-2026 11:37 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3393689,BIBEKANANDA SATAPATHY,12-Feb-2026 02:17 PM,Rejected-AOC,l11,18-Mar-2026 11:37 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3393423,BINOD KUMAR PARIDA,13-Feb-2026 04:10 PM,Rejected-AOC,L6,18-Mar-2026 11:37 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3395031,DHARAMJIT NAYAK,13-Feb-2026 03:04 PM,Rejected-AOC,l2,18-Mar-2026 11:37 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3393618,Harish Chandra Bag,12-Feb-2026 02:44 PM,Rejected-AOC,L10,18-Mar-2026 11:37 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3394380,HARISH CHANDRA RAY,12-Feb-2026 11:02 PM,Rejected-AOC,L17,18-Mar-2026 11:37 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3393482,KRUSHNA CHANDRA PARIDA,12-Feb-2026 12:36 PM,Rejected-AOC,L7,18-Mar-2026 11:37 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3394833,KRUTIBASH NANDA,13-Feb-2026 01:18 PM,Rejected-AOC,L20,18-Mar-2026 11:37 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3393557,M/S UDAYA JYOTI MOHANTY,12-Feb-2026 09:19 PM,Rejected-AOC,L8,18-Mar-2026 11:37 AM,,,,,,,,,,,,,AOC
