S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3333617.0,ASHISH SINGH,INR,"9,181,745",Technical,Bid opening summary,Guna Nidhi Pariga,14-Jan-2026 10:36 PM,technical_572180.pdf,"CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani",2025_CEMIB_123416_6,BID ID.NO. ACEPMIC_01/2025-26,Construction of Tikiri Check Dam near village Budugudari of Tikabali GP in Tikabali Block of Kandhamal District.,"Additional Chief Engineer, PMIC, Phulbani",Internal,"Asst. to ACE, PMIC, Phulbani SE, M.I. Division, Bhanjanaga, SE M.I. Division, Kandhamal, Boudh, SE, DAO, M.I. Division, Kandhamal, M.I. Division, Bhanjanagar, Assistant Engineer Estimator, PMIC, Phulb",Guna Nidhi Pariga,29-Mar-2026 02:05 PM,finsummary_572180.pdf (2056.02 KB),"Additional Chief Engineer, PMIC, Phulbani",Internal,"Asst. to ACE, PMIC, Phulbani SE, M.I. Division, Bhanjanaga, SE M.I. Division, Kandhamal, SE, M.I.Division, Boudh DAO, M.I. Division, Kandhamal, M.I. Division, Boudh, Assistant Engineer Estimator, PMIC",Guna Nidhi Pariga,14-Jan-2026 10:46 PM,15-Jan-2026 11:30 AM,techsummary_572180.pdf (2056.02 KB),Finance,Bid opening summary,Guna Nidhi Pariga,29-Mar-2026 01:49 PM,finance_572180.pdf,BOQ Comparative Chart,30-Mar-2026,"INR 9,181,745",180.0,Guna Nidhi Pariga,29-Mar-2026 09:20 PM,TikiriCD.pdf (695.00 KB),AOC,1,3334226,ABHILASH DIGAL,28-Dec-2025 05:26 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,18-Dec-2025 10:00 AM,30-Dec-2025 11:00 AM,18-Dec-2025 10:00 AM,29-Dec-2025 05:30 PM,NA ,NA ,18-Dec-2025 10:00 AM,29-Dec-2025 05:30 PM,15-Jan-2026 11:30 AM,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Construction of Tikiri Check Dam near village Budugudari of Tikabali GP in Tikabali Block of Kandhamal District.,Construction of Tikiri Check Dam near village Budugudari of Tikabali GP in Tikabali Block of Kandhamal District.,Please refer Tender documents. ,NA ,"1,08,01,000",Civil Works - Others,NA ,Tender,90.0,180.0,Phulbani,762001.0,NA ,NA ,NA ,"O/o the Addl. Chief Engineer, Phulbani M.I. Circl",No ,No,"Addl. Chief Engineer, Phulbani M.I. Circl","O/o Addl. Chief Engineer, Phulbani M.I. Circle, Phulbani, Near Panchayat Bhawan, Phulbani","1,08,100",Yes,fixed,,Nil,Nil,"CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani",BID ID.NO. ACEPMIC_01/2025-26,2025_CEMIB_123416_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Valid CDMS,GST,PAN, Reg certificate,No relation, Affidavits other documents as perDTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3336204,ABHISHEK PRADHAN,29-Dec-2025 12:45 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3333932,ABINASH PRADHAN,28-Dec-2025 02:46 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3328601,AKLANTA ANURAG MOHAPATRA,25-Dec-2025 11:37 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3335736,ANIL KUMAR PRADHAN,29-Dec-2025 11:22 AM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3331255,ASHISH KUMAR BEHERA,27-Dec-2025 12:24 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3333617,ASHISH SINGH,28-Dec-2025 12:47 PM,Accepted-AOC,Awarded through Lottery,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3331164,Ashok kumar jena,27-Dec-2025 11:45 AM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3335565,ASISH KUMAR MOHANTY,29-Dec-2025 10:48 AM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3331385,Bijay Kumar Panda,27-Dec-2025 01:09 PM,Rejected-AOC,Not qualified,29-Mar-2026 09:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
