Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,ok,TAPASA KUMAR SAMAL,06-May-2025 10:21 AM,,BOQ Comparative Chart,Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,02-Mar-2026 05:33 PM,techsummary_536824.pdf (240.28 KB),02-Mar-2026,"INR 616,585",90.0,Sourav Chakrabarty,02-Mar-2026 05:39 PM,235.pdf (888.00 KB),work order issued,1,2897991,Dayanidhi Mohapatra,28-Apr-2025 01:48 PM,Rejected-AOC,Quoted second lowest,02-Mar-2026 05:39 PM,Municipal Bodies||Bhadrak Municipality,2025_ORULB_112423_235,BM-BDK-01-2025-26,Construction of paver road from Sarat Chandra Mohanty house towards Nilakantha Samal house at New Colony in Ward No.13,Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,02-Mar-2026 05:36 PM,finsummary_536824.pdf (240.28 KB),1.0,2896690.0,Nishi Kanta Nayak,INR,"616,585",AOC,17-Apr-2025 10:00 AM,29-Apr-2025 11:00 AM,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,NA ,NA ,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,1,ICICI BANK,"Executive Officer, Bhadrak Municipality","Executive Officer, Bhadrak Municipality",Municipal Bodies||Bhadrak Municipality,BM-BDK-01-2025-26,2025_ORULB_112423_235,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,200",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTC","4,000",0.0,Nil,Nil,No,Construction of paver road from Sarat Chandra Mohanty house towards Nilakantha Samal house at New Colony in Ward No.13,Construction of paver road from Sarat Chandra Mohanty house towards Nilakantha Samal house at New Colony in Ward No.13,Please refer Tender documents. ,NA ,"6,16,585",Civil Works - Others,NA ,Tender,90.0,90.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,"Executive Officer, Bhadrak Municipality",No ,No,AOC
,,,,,,,,,,,,,,,,,,,2,2896690,Nishi Kanta Nayak,27-Apr-2025 02:46 PM,Accepted-AOC,Quoted first lowest,02-Mar-2026 05:39 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,AOC
