Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"6,000",0.0,Nil,Nil,No,S/R to Frozen Semen Bank at Khapuria (Such as repair and renovation of Laboratory Building with wall panelling and outside painting) in the District of Cuttack for the year 2025-26.,S/R to Frozen Semen Bank at Khapuria (Such as repair and renovation of Laboratory Building with wall panelling and outside painting) in the District of Cuttack for the year 2025-26.,AS PER DTCN ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,60.0,PRESS CHHAK,753003.0,NA ,NA ,NA ,O/O the S.E RANDB DIV II,No ,No,1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EE RnB Division Cuttack-II,SE CTC (RnB)-II -13 of 2025-26,2025_EICCL_118246_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"35,500",Yes,fixed,,Nil,Nil,O/O the S.E RANDB DIV II,O/O the S.E RANDB DIV II OMP SQUARE CUTTACK,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,19-Sep-2025 05:00 PM,10-Oct-2025 11:00 AM,19-Sep-2025 05:00 PM,09-Oct-2025 05:00 PM,NA ,NA ,19-Sep-2025 05:00 PM,09-Oct-2025 05:00 PM,1.0,MODIFICATION OF CRITICAL DATES,Date,,AOC,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EE RnB Division Cuttack-II,2025_EICCL_118246_2,SE CTC (RnB)-II -13 of 2025-26,S/R to Frozen Semen Bank at Khapuria (Such as repair and renovation of Laboratory Building with wall panelling and outside painting) in the District of Cuttack for the year 2025-26.,SE,Internal,SE DAOI ESTIMATOR,Jyoti Ranjan Pati,12-Mar-2026 05:35 PM,finsummary_553069.pdf (252.15 KB),Finance,Summary,Jyoti Ranjan Pati,19-Nov-2025 01:52 PM,finance_553069.pdf,BOQ Comparative Chart,1.0,3110769.0,Laxman Dhinda,INR,"3,012,182",12-Mar-2026,"INR 3,012,182",60.0,Jyoti Ranjan Pati,12-Mar-2026 06:02 PM,AOC.pdf (463.00 KB),1,3109183,ABINAS SAMAL,09-Oct-2025 10:53 AM,Rejected-AOC,L,12-Mar-2026 06:02 PM,SE,Internal,SE DAO 1 AEE,Jyoti Ranjan Pati,24-Nov-2025 01:51 PM,techsummary_553069.pdf (252.15 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3104039,ADITYA DAS,30-Sep-2025 11:14 PM,Rejected-AOC,L,12-Mar-2026 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3107927,ANIKET SAMANTARAY,03-Oct-2025 05:38 PM,Rejected-AOC,L,12-Mar-2026 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3103504,ANJANA BHUYAN,01-Oct-2025 09:12 PM,Rejected-AOC,L,12-Mar-2026 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3103274,APARAJITA LENKA,30-Sep-2025 11:09 AM,Rejected-AOC,L,12-Mar-2026 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3110624,ASHOK KUMAR SWAIN,05-Oct-2025 12:13 PM,Rejected-AOC,L,12-Mar-2026 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3103346,ASIS PARIDA,09-Oct-2025 12:23 PM,Rejected-AOC,L,12-Mar-2026 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3112423,BATAKRUSHNA SETHY,06-Oct-2025 02:50 PM,Rejected-AOC,L,12-Mar-2026 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3111847,BHABANI SANKAR CHOUDHURY,06-Oct-2025 11:02 AM,Rejected-AOC,L,12-Mar-2026 06:02 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3111592,BHAGIRATHI BEHERA,06-Oct-2025 08:49 AM,Rejected-AOC,L,12-Mar-2026 06:02 PM,,,,,,,AOC
