S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,19-Jan-2026 10:00 AM,28-Jan-2026 11:00 AM,19-Jan-2026 10:00 AM,27-Jan-2026 03:00 PM,19-Jan-2026 10:00 AM ,27-Jan-2026 03:00 PM ,19-Jan-2026 10:00 AM,27-Jan-2026 03:00 PM,"3,538",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 09 2025 26,2026_CERWI_124773_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN Card GSTIN and Affidavit as per DTCN,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR",Repair and Renovation of existing building for opening of Ex-Officio Sub Registrar Office in Papdahandi Tahasil premises under Papdahandi Block for the year 2025-26,Repair and Renovation of existing building for opening of Ex-Officio Sub Registrar Office in Papdahandi Tahasil premises under Papdahandi Block for the year 2025-26,NA ,NA ,"3,53,766",Civil Works - Buildings,NA ,Tender,90.0,30.0,Papdahandi,764071.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, NAWARANGPUR",No ,No,AOC,Executive Engineer,Internal,"Estimator, DAO,EE",Jay Prakash Soren,19-Mar-2026 06:10 PM,finsummary_576536.pdf (626.22 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2026_CERWI_124773_1,EERWNGP Online 09 2025 26,Repair and Renovation of existing building for opening of Ex-Officio Sub Registrar Office in Papdahandi Tahasil premises under Papdahandi Block for the year 2025-26,1.0,3365740.0,RAJKUMAR SATNAMI,INR,"353,766",Finance,Tender opening,Jay Prakash Soren,19-Mar-2026 05:58 PM,finance_576536.pdf,BOQ Comparative Chart,1,3367100,AKASH BISSOI,26-Jan-2026 11:50 PM,Rejected-AOC,Disqualified in transparent lottery,19-Mar-2026 06:16 PM,19-Mar-2026,"INR 353,766",30.0,Jay Prakash Soren,19-Mar-2026 06:16 PM,wo10.pdf (220.00 KB),Executive Engineer,Internal,"Estimator, DAO,EE",Jay Prakash Soren,19-Mar-2026 06:03 PM,techsummary_576536.pdf (626.22 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3366943,AMLAN JYOTI MADALA,26-Jan-2026 10:00 PM,Rejected-AOC,Disqualified in transparent lottery,19-Mar-2026 06:16 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3365280,ANNAPURNA SAHU,25-Jan-2026 02:28 PM,Rejected-AOC,Disqualified in transparent lottery,19-Mar-2026 06:16 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3364027,Hemanta Kumar Bhakta,23-Jan-2026 01:35 PM,Rejected-AOC,Disqualified in transparent lottery,19-Mar-2026 06:16 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3365487,KESHARI MIRGAN,25-Jan-2026 07:21 PM,Rejected-AOC,Disqualified in transparent lottery,19-Mar-2026 06:16 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3366606,LAXMIKANTA NAYAK (S.T),26-Jan-2026 07:22 PM,Rejected-AOC,Disqualified in transparent lottery,19-Mar-2026 06:16 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3364717,M/S ABANI KUMAR MISHRA,25-Jan-2026 01:42 PM,Rejected-AOC,Disqualified in transparent lottery,19-Mar-2026 06:16 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3367402,M/S RIYAN BUILDERS PROPRIETOR SITARAM BISSOYI,27-Jan-2026 11:19 AM,Rejected-AOC,Disqualified in transparent lottery,19-Mar-2026 06:16 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3364736,NILAMBAR MALI,24-Jan-2026 02:35 PM,Rejected-AOC,Disqualified in transparent lottery,19-Mar-2026 06:16 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3366724,PRATAP DASH,26-Jan-2026 08:15 PM,Rejected-AOC,Disqualified in transparent lottery,19-Mar-2026 06:16 PM,,,,,,,,,,,,,AOC
