S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3349131.0,SNEHALATA DASH (SC),INR,"399,741",Finance,Bid documents of all the bidders have been downloaded successfully.,Samyak Bikash Subudhi,16-Jan-2026 11:01 AM,finance_573604.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"DAO, Estimator",Samyak Bikash Subudhi,06-Mar-2026 01:42 PM,finsummary_573604.pdf (277.39 KB),CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,2025_CEBBS_123938_4,SE-AID-10/2025-26,Repair to structure of Bentapur Minor in between RD 500m to 1050m of Derjang Irrigation Project.,Superintending Engineer,Internal,"DAO, Estimator",Samyak Bikash Subudhi,06-Mar-2026 01:36 PM,techsummary_573604.pdf (176.03 KB),1,3350034,ABHISHEK MISHRA,09-Jan-2026 04:55 PM,Rejected-Finance,Not won in the transparent lottery system,06-Mar-2026 01:42 PM,06-Mar-2026,"INR 399,741",60.0,Samyak Bikash Subudhi,06-Mar-2026 01:50 PM,4WOSnehalataDash.pdf (1222.00 KB),Winner in the transparent lottery system.,AOC,CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,SE-AID-10/2025-26,2025_CEBBS_123938_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, GSTIN, PAN, Contractor R.C, Registered under CDMS portal, NRC.","2,000",Nil,Nil,No,"S.E, Angul Irr. Divn. Angul","O.O the S.E, Angul Irr. Divn. Angul, At/P.O- Hakimpada, Dist-Angul",1.0,ICICI BANK,Repair to structure of Bentapur Minor in between RD 500m to 1050m of Derjang Irrigation Project.,Repair to structure of Bentapur Minor in between RD 500m to 1050m of Derjang Irrigation Project.,NA ,NA ,,Civil Works - Canal,Canal Works ,Tender,90.0,60.0,Angul,759143.0,NA ,NA ,NA ,"O.O the S.E, Angul Irr. Divn. Angul",No ,No,30-Dec-2025 11:00 AM,12-Jan-2026 11:00 AM,30-Dec-2025 11:00 AM,09-Jan-2026 05:00 PM,30-Dec-2025 11:00 AM ,05-Jan-2026 05:00 PM ,30-Dec-2025 11:00 AM,09-Jan-2026 05:00 PM,"4,800",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3348372,AJIT PRASAD DWIVEDY,08-Jan-2026 07:02 AM,Rejected-Finance,Not won in the transparent lottery system,06-Mar-2026 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Affidavits, undertakings and any other document as per SBD/DTCN.",,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3349648,JASHOBANT SAHU,09-Jan-2026 12:32 PM,Rejected-Finance,Not won in the transparent lottery system,06-Mar-2026 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3349609,KUNU SAMAL,09-Jan-2026 11:48 AM,Rejected-Finance,Not won in the transparent lottery system,06-Mar-2026 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3349504,MISIRA KUMAR DHAR,09-Jan-2026 10:13 AM,Rejected-Finance,Not won in the transparent lottery system,06-Mar-2026 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3349417,RASHMITA ROUT,09-Jan-2026 08:32 AM,Rejected-Finance,Not won in the transparent lottery system,06-Mar-2026 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3347235,SANJAYA KUMAR JENA,06-Jan-2026 11:14 PM,Rejected-Finance,Not won in the transparent lottery system,06-Mar-2026 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3349131,SNEHALATA DASH (SC),09-Jan-2026 12:33 PM,Accepted-AOC,Winner in the transparent lottery system for award of contract.,06-Mar-2026 01:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3344413,SUNIL KUMAR PANDA,05-Jan-2026 12:36 AM,Rejected-Finance,Not won in the transparent lottery system,06-Mar-2026 01:42 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
