Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
07-Mar-2026,"INR 2,475,202",75.0,Lipsa Parida,07-Mar-2026 05:05 PM,Work_Order_62_10.pdf (480.00 KB),1.0,3363623.0,SAROJ KUMAR SAHOO,INR,"2,475,202",Municipal Bodies||Bhubaneswar Municipal Corporation,2026_ORULB_124509_10,BMC-EE-Tender Cell-62/2025-26 Dt. 12.01.2026,Improvement of road and drain at back side of Banadurga temple in Ward No. 37,1,3365258,HIMANSU SEKHAR PRADHAN,25-Jan-2026 02:05 PM,Rejected-Finance,Rejected,07-Mar-2026 05:02 PM,Finance,2 bids opened successfully,Lipsa Parida,27-Jan-2026 05:08 PM,finance_575542.pdf,BOQ Comparative Chart,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,07-Mar-2026 05:02 PM,finsummary_575542.pdf (738.83 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,07-Mar-2026 04:58 PM,techsummary_575542.pdf (738.83 KB),AOC,"6,000",0.0,Nil,Nil,No,"21,200",Yes,fixed,,Nil,Nil,Improvement of road and drain at back side of Banadurga temple in Ward No. 37,Improvement of road and drain at back side of Banadurga temple in Ward No. 37,Please refer Tender documents. ,NA ,"21,18,603",Civil Works - Roads,NA ,Tender,120.0,75.0,BMC AREA,751022.0,"Office chamber of the EE,Central Tender Cell ","Central Tender Cell, UG Floor, ICOMC Tower, Satya Nagar ",19-Jan-2026 04:30 PM ,"Central Tender Cell,BMC",No ,No,15-Jan-2026 10:30 AM,27-Jan-2026 04:00 PM,15-Jan-2026 10:30 AM,27-Jan-2026 03:30 PM,15-Jan-2026 10:30 AM ,19-Jan-2026 01:30 PM ,15-Jan-2026 10:30 AM,27-Jan-2026 03:30 PM,"Executive Engineer,Central Tender Cell","Central Tender Cell, UG Floor, ICOMC Tower, Satya Nagar",1.0,Fee/PreQual/Technical/Finance,.pdf,Scanned copies of all documents,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-62/2025-26 Dt. 12.01.2026,2026_ORULB_124509_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,3363623,SAROJ KUMAR SAHOO,23-Jan-2026 04:14 PM,Accepted-AOC,L1 Bidder,07-Mar-2026 05:06 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
