Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,11 (Eleven) bids has been received subjected to evaluation by committee,MINAKETAN DAS,29-Oct-2025 11:40 AM,,R K PANDA,Internal,T MISHRA B C BEHERA J K MEKAP,Sidharth Pattnaik,27-Feb-2026 03:08 PM,finsummary_555935.pdf (471.69 KB),Orissa Mining Corporation,2025_OMC_119135_4,NIT No.14/OMC/CIVIL/2025,Fabrication and installation of 7 nos security drop gate with porta cabin platform and 1no gantry gate at Dubuna Sekradihi Iron and Manganese Ore Mines in the dist of Keonjhar.,Finance,Financial bid of 11 (Eleven) qualified bidders had been,MINAKETAN DAS,04-Dec-2025 01:15 PM,,BOQ Comparative Chart,27-Feb-2026,"INR 2,442,086.86",180.0,Sidharth Pattnaik,10-Mar-2026 03:06 PM,2025_OMC_119135_4.pdf (393.00 KB),Fabrication and installation of 7 nos security drop gate with porta cabin platform and 1no gantry gate at Dubuna Sekradihi Iron and Manganese Ore Mines in the dist of Keonjhar.,1.0,3161444.0,KAIBALYA INFRA ENTERPRISE,INR,"2,442,086.86",1,3131478,ANIL CHAURASIYA,16-Oct-2025 07:50 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:08 PM,R K PANDA,Internal,BANITA PATRA J K MEKAP,Sidharth Pattnaik,04-Dec-2025 12:14 PM,04-Dec-2025 01:00 PM,techsummary_555935.pdf (1589.19 KB),AOC,14-Oct-2025 04:00 PM,29-Oct-2025 11:00 AM,14-Oct-2025 04:00 PM,28-Oct-2025 05:00 PM,NA ,NA ,14-Oct-2025 04:00 PM,28-Oct-2025 05:00 PM,04-Dec-2025 01:00 PM,"28,800",Yes,fixed,,Nil,Nil,"GM(C), OMC Ltd.","Office of the GM(C), OMC Ltd., Bhubaneswar",Orissa Mining Corporation,NIT No.14/OMC/CIVIL/2025,2025_OMC_119135_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requ",Fabrication and installation of 7 nos security drop gate with porta cabin platform and 1no gantry gate at Dubuna Sekradihi Iron and Manganese Ore Mines in the dist of Keonjhar.,Fabrication and installation of 7 nos security drop gate with porta cabin platform and 1no gantry gate at Dubuna Sekradihi Iron and Manganese Ore Mines in the dist of Keonjhar.,"RC, EPF Regd., GSTN, PAN, Registration in CDMS portal, Affidavits, experience, etc. as per DTCN requirements.  ",NA ,"28,73,000",Civil Works - Others,NA ,Tender,180.0,180.0,DUBUNA MINES,758034.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3145135,ANIRUDHA MOHAPATRA,23-Oct-2025 06:34 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3151204,DHARITRI THE NATURE,25-Oct-2025 04:36 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3161444,KAIBALYA INFRA ENTERPRISE,27-Oct-2025 09:38 PM,Accepted-AOC,L1,10-Mar-2026 03:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3149409,KALINGA ENTERPRISES PROP AJAY KUMAR MOHANTY,24-Oct-2025 06:30 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3151399,KUMARBAR DAS,28-Oct-2025 11:17 AM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3158733,MARKANDA GIRI,27-Oct-2025 01:07 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3163392,PANKAJ KUMAR SAHOO,28-Oct-2025 02:12 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3159058,PRAKASH CHANDRA BARIK,28-Oct-2025 12:02 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3161782,RASHMI RANJAN MAHUNTA,28-Oct-2025 01:40 AM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3138465,SANATAN BARIK,22-Oct-2025 08:39 PM,Rejected-Finance,NOT BEING L1,27-Feb-2026 03:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
