S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,15-Jan-2026 03:00 PM,28-Jan-2026 11:00 AM,15-Jan-2026 03:00 PM,27-Jan-2026 05:00 PM,15-Jan-2026 03:00 PM ,22-Jan-2026 05:00 PM ,15-Jan-2026 03:00 PM,27-Jan-2026 05:00 PM,10-Feb-2026 11:00 AM,Circle Officer,"RURAL WORKS CIRCLE , SAMBALPUR",CE RW I||RWCIRCLE-SAMBALPUR,Online-RWCSBP-28 of 2025-26,2026_CERWI_124600_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"3,95,750",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,"GSTIN,RC,PAN,TENDER COST,EMD,AFFIDAVIT,OTHER DOCUMENTS AS PER DTCN","10,000",0.0,Nil,Nil,No,Construction of Bridge over Jhainjhore Nallah at 0.500 km on Tangerpali to Rujhenmal road in the district of Bargarh under BSY for the year 2024-25.,Construction of Bridge over Jhainjhore Nallah at 0.500 km on Tangerpali to Rujhenmal road in the district of Bargarh under BSY for the year 2024-25.,NA ,NA ,"3,95,74,781",Civil Works - Bridges,NA ,Tender,90.0,365.0,Bargarh,768028.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE , SAMBALPUR",No ,No,AOC,17-Mar-2026,"INR 41,494,158",365.0,Sujit Behera,17-Mar-2026 06:57 PM,TECH.pdf (26.00 KB),AOC,1,3367429,BIBHUTI BHUSAN PANDA,27-Jan-2026 11:35 AM,Rejected-Finance,L2 BIDDER,17-Mar-2026 06:50 PM,Sujit Behera,Internal,,Sujit Behera,06-Feb-2026 12:17 PM,10-Feb-2026 11:00 AM,techsummary_575884.pdf (480.24 KB),Finance,2 NOS BIDDER,Madhusmita Mohanty,10-Feb-2026 02:25 PM,finance_575884.pdf,BOQ Comparative Chart,CE RW I||RWCIRCLE-SAMBALPUR,2026_CERWI_124600_1,Online-RWCSBP-28 of 2025-26,Construction of Bridge over Jhainjhore Nallah at 0.500 km on Tangerpali to Rujhenmal road in the district of Bargarh under BSY for the year 2024-25.,Technical,2 NOS BIDDER,Sujit Behera,29-Jan-2026 02:11 PM,technical_575884.pdf,Sujit Behera,Internal,,Sujit Behera,17-Mar-2026 06:50 PM,finsummary_575884.pdf (26.40 KB),1.0,3367614.0,BLL CONSTRUCTION,INR,"41,494,158",AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3367614,BLL CONSTRUCTION,27-Jan-2026 04:35 PM,Accepted-AOC,AOC,17-Mar-2026 06:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
