Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,05-Mar-2026 05:48 PM,techsummary_536623.pdf (240.28 KB),Finance,ok,TAPASA KUMAR SAMAL,03-May-2025 01:41 PM,,BOQ Comparative Chart,05-Mar-2026,"INR 1,449,279",120.0,Sourav Chakrabarty,05-Mar-2026 05:55 PM,179.pdf (121.00 KB),work order issued,Gulmaki Dalawzi,Internal,Details attached below,Sourav Chakrabarty,05-Mar-2026 05:51 PM,finsummary_536623.pdf (240.28 KB),1.0,2894655.0,Bharat Kumar Dhada,INR,"1,449,279",1,2894655,Bharat Kumar Dhada,26-Apr-2025 10:23 AM,Accepted-AOC,Quoted first lowest and work awarded by conducting lottery,05-Mar-2026 05:55 PM,Municipal Bodies||Bhadrak Municipality,2025_ORULB_112423_179,BM-BDK-01-2025-26,Construction of paver road from Bharat Mohanty Shop towards Baralpokhari UP School in Ward No.1,AOC,Municipal Bodies||Bhadrak Municipality,BM-BDK-01-2025-26,2025_ORULB_112423_179,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,17-Apr-2025 10:00 AM,29-Apr-2025 11:00 AM,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,NA ,NA ,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,"17,100",Yes,fixed,,Nil,Nil,"Executive Officer, Bhadrak Municipality","Executive Officer, Bhadrak Municipality",1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTC",Construction of paver road from Bharat Mohanty Shop towards Baralpokhari UP School in Ward No.1,Construction of paver road from Bharat Mohanty Shop towards Baralpokhari UP School in Ward No.1,Please refer Tender documents. ,NA ,"17,04,833",Civil Works - Others,NA ,Tender,90.0,120.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,"Executive Officer, Bhadrak Municipality",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2895555,GANGADHAR PRADHAN,27-Apr-2025 04:19 PM,Rejected-AOC,Quoted first lowest,05-Mar-2026 05:55 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2896804,Rajesh Kumar Nayak,27-Apr-2025 09:37 PM,Rejected-AOC,Quoted first lowest,05-Mar-2026 05:55 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2897453,Rajesh Sethi,28-Apr-2025 10:32 AM,Rejected-AOC,Quoted first lowest,05-Mar-2026 05:55 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2896739,SADHABANI MALIK(S.C),27-Apr-2025 04:02 PM,Rejected-AOC,Quoted second lowest,05-Mar-2026 05:55 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
