Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"6,000",0.0,Nil,Nil,No,"15,249",Yes,percentage,1.0%,Nil,Nil,"SR to Ukiapalli to Kosagumuda Road such as Pot hole repair,CD Maintenance,Signage and Berm filling at Ch-0/000 to 9/600 km and Ch-9/900 to 13/700 in Kosagumuda Block for the year 2025 26","SR to Ukiapalli to Kosagumuda Road such as Pot hole repair,CD Maintenance,Signage and Berm filling at Ch-0/000 to 9/600 km and Ch-9/900 to 13/700 in Kosagumuda Block for the year 2025 26",Please refer to tender documents ,NA ,"15,24,931",Civil Works - Roads,NA ,Tender,90.0,30.0,Kosagumuda,764061.0,NA ,NA ,NA ,"RURAL WORKS DIVISION-I, NAWARANGPUR",No ,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 11 2025 26,2026_CERWI_124950_9,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN Card GSTIN and Affidavit as per DTCN,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR",22-Jan-2026 06:00 PM,31-Jan-2026 11:00 AM,22-Jan-2026 06:00 PM,30-Jan-2026 03:00 PM,22-Jan-2026 06:00 PM ,30-Jan-2026 03:00 PM ,22-Jan-2026 06:00 PM,30-Jan-2026 03:00 PM,AOC,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2026_CERWI_124950_9,EERWNGP Online 11 2025 26,"SR to Ukiapalli to Kosagumuda Road such as Pot hole repair,CD Maintenance,Signage and Berm filling at Ch-0/000 to 9/600 km and Ch-9/900 to 13/700 in Kosagumuda Block for the year 2025 26",Executive Engineer,Internal,"Estimator, DAO,EE",Jay Prakash Soren,26-Mar-2026 12:51 PM,finsummary_577485.pdf (601.78 KB),Finance,Tender opening,Jay Prakash Soren,26-Mar-2026 12:41 PM,finance_577485.pdf,BOQ Comparative Chart,1.0,3367009.0,AMLAN JYOTI MADALA,INR,"1,524,931",26-Mar-2026,"INR 1,524,931",30.0,Jay Prakash Soren,26-Mar-2026 12:57 PM,wo02Copy.pdf (215.00 KB),1,3373214,AKASH BISSOI,30-Jan-2026 12:06 AM,Rejected-AOC,Disqualified in transparent lottery,26-Mar-2026 12:57 PM,Executive Engineer,Internal,"Estimator, DAO,EE",Jay Prakash Soren,26-Mar-2026 12:46 PM,techsummary_577485.pdf (601.78 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3367009,AMLAN JYOTI MADALA,26-Jan-2026 10:43 PM,Accepted-AOC,Awarded of contract,26-Mar-2026 12:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3371081,ASHOK KUMAR CHOUDHURY,30-Jan-2026 11:42 AM,Rejected-AOC,Disqualified in transparent lottery,26-Mar-2026 12:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3371346,DEBA RANJAN PATRA,29-Jan-2026 10:27 PM,Rejected-AOC,Disqualified in transparent lottery,26-Mar-2026 12:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3372903,DURYADHAN MALI,29-Jan-2026 11:01 PM,Rejected-AOC,Disqualified in transparent lottery,26-Mar-2026 12:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3373329,GOURI PRASAD PATRO,30-Jan-2026 10:17 AM,Rejected-AOC,Disqualified in transparent lottery,26-Mar-2026 12:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3373760,KARUNAKAR BEHERA,30-Jan-2026 12:35 PM,Rejected-AOC,Disqualified in transparent lottery,26-Mar-2026 12:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3365564,KESHARI MIRGAN,25-Jan-2026 09:05 PM,Rejected-AOC,Disqualified in transparent lottery,26-Mar-2026 12:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3373699,LAXMI NARAYAN BISSOI,30-Jan-2026 12:09 PM,Rejected-AOC,Disqualified in transparent lottery,26-Mar-2026 12:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3373372,MAHAMMAD SARUK,30-Jan-2026 02:49 PM,Rejected-AOC,Disqualified in transparent lottery,26-Mar-2026 12:57 PM,,,,,,,AOC
