Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
Finance,Eighteen Bidders found,Anup Kumar Behera,17-Feb-2026 11:33 AM,finance_579391.pdf,BOQ Comparative Chart,Chief Construction Engineer,Internal,E.E DAO ESTIMATOR,Anup Kumar Behera,16-Feb-2026 01:20 PM,17-Feb-2026 10:00 AM,techsummary_579391.pdf (921.22 KB),1,3390344,BIDYADHAR SAMAL,10-Feb-2026 01:12 PM,Rejected-AOC,0,11-Mar-2026 06:00 PM,11-Mar-2026,"INR 14,998,252",60.0,Anup Kumar Behera,11-Mar-2026 05:59 PM,PartOne.pdf (1176.00 KB),REFUND OF E.M.D,1.0,3390425.0,SANTOSH SAMAL,INR,"14,998,252",Chief Construction Engineer,Internal,E.E DAO ESTIMATOR,Anup Kumar Behera,11-Mar-2026 05:54 PM,finsummary_579391.pdf (1176.42 KB),Technical,Eighteen Bidders found,Mamatamayee Biswal,11-Feb-2026 03:09 PM,technical_579391.pdf,CE RW I||RWCIRCLE-ANGUL,2026_CERWI_125543_1,AMP Road Online-AGL-35/2025-26,Special Repair to Jamardihi Sibida Via-Nagira (Part-I) under Annual Maintenance Plan for the year 2025-26.,AOC,04-Feb-2026 06:30 PM,10-Feb-2026 05:30 PM,04-Feb-2026 06:30 PM,10-Feb-2026 05:00 PM,04-Feb-2026 06:30 PM ,09-Feb-2026 01:00 PM ,04-Feb-2026 06:30 PM,10-Feb-2026 05:00 PM,17-Feb-2026 10:00 AM,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD,GST,PAN,RC,Affidavit ATO and other documents as per DTCN","Chief Construction Engineer,RWC,Angul",Angul,Special Repair to Jamardihi Sibida Via-Nagira (Part-I) under Annual Maintenance Plan for the year 2025-26.,Special Repair to Jamardihi Sibida Via-Nagira (Part-I) under Annual Maintenance Plan for the year 2025-26.,Please refer Tender documents. ,NA ,"1,49,98,000",Civil Works - Roads,NA ,Tender,60.0,60.0,Angul,759122.0,NA ,NA ,NA ,"Office of the Chief Construction Engineer,RWC,Angu",No ,No,"1,49,980",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-ANGUL,AMP Road Online-AGL-35/2025-26,2026_CERWI_125543_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,2,3389133,BISHNUSEN KISAN,09-Feb-2026 10:27 PM,Rejected-AOC,0,11-Mar-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities in xls sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,3,3386634,BRAJA KISHORE GARNAYAK,08-Feb-2026 09:34 PM,Rejected-AOC,0,11-Mar-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3384406,CHINMAYA PRADHAN,07-Feb-2026 08:59 AM,Rejected-AOC,0,11-Mar-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3388645,DILIP KUMAR MOHANTY,09-Feb-2026 07:12 PM,Rejected-AOC,0,11-Mar-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3387158,Dinesh Kumar Agarwalla,10-Feb-2026 10:30 AM,Rejected-AOC,0,11-Mar-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3389925,MANORANJAN SATPATHY,10-Feb-2026 11:43 AM,Rejected-AOC,0,11-Mar-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3389175,MOTILAL ROUL,09-Feb-2026 10:12 PM,Rejected-AOC,0,11-Mar-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3390406,PRABIN KUMAR BEHERA,10-Feb-2026 01:42 PM,Rejected-AOC,0,11-Mar-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3388460,RAMA CHANDRA BEHERA,09-Feb-2026 06:15 PM,Rejected-AOC,0,11-Mar-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,11,3390425,SANTOSH SAMAL,10-Feb-2026 01:27 PM,Accepted-AOC,Winner of lottery among the 1st lowest bidder5s,11-Mar-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,12,3388926,SNEHALATA MOHANTY,10-Feb-2026 10:31 AM,Rejected-AOC,0,11-Mar-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,13,3387579,SUBRAT BEHERA,09-Feb-2026 01:27 PM,Rejected-AOC,0,11-Mar-2026 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
