Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Municipal Bodies||Sambalpur Municipal Corporation,6/SMC_SBP/2025-26,2025_ORULB_112943_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,447",Yes,percentage,1.0%,Nil,Nil,05-May-2025 10:00 AM,15-May-2025 10:00 AM,05-May-2025 10:00 AM,14-May-2025 05:00 PM,NA ,NA ,05-May-2025 10:00 AM,14-May-2025 05:00 PM,"COMMISSIONER, SMC","SAMBALPUR MUNICIPAL CORPORATION, DURGAPALI, SAMBALPUR, 768006","4,000",0.0,Nil,Nil,No,"Construction of paver block road from ND Nasad house to Md Akbar house at Rehmat Nagar , Sunapali Ward No-33","Construction of paver block road from ND Nasad house to Md Akbar house at Rehmat Nagar , Sunapali Ward No-33",Please refer Tender documents. ,NA ,"6,44,695",Civil Works - Others,NA ,Tender,120.0,60.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN",AOC,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Rehan Khatri,19-Mar-2026 11:11 AM,techsummary_538270.pdf (1781.62 KB),"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",Rehan Khatri,19-Mar-2026 11:13 AM,finsummary_538270.pdf (1781.62 KB),Finance,tender opened,Vedbhushan .,19-May-2025 07:59 AM,finance_538270.pdf,BOQ Comparative Chart,1,2912888,NANDA KISHORE BAG (S.C),12-May-2025 12:06 PM,Rejected-Technical,UNSUCCESSFUL,19-Mar-2026 11:11 AM,1.0,2912949.0,SAROJ SETH,INR,"644,695",Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_112943_25,6/SMC_SBP/2025-26,"Construction of paver block road from ND Nasad house to Md Akbar house at Rehmat Nagar , Sunapali Ward No-33",19-Mar-2026,"INR 644,695",60.0,Rehan Khatri,19-Mar-2026 11:43 AM,6SMC25.pdf (1782.00 KB),SUCCESSFUL,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,2,2912949,SAROJ SETH,12-May-2025 12:21 PM,Accepted-AOC,SUCCESSFUL,19-Mar-2026 11:43 AM,,,,,,,,,,,,,,,,,AOC
