S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3258307.0,YUGANTA GARADA,INR,"357,019.012",Finance,verified,Prasanna Kumar Pattanaik,01-Dec-2025 05:52 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Prasanna Kumar Pattanaik,02-Mar-2026 11:56 AM,finsummary_564551.pdf (629.79 KB),CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,2025_CERWI_121349_1,EERWRGD Online 10 2025 26,Repair to S I Quarter Building at Doraguda in Kashipur for the year 2025-26 in the district of Rayagada,Executive Engineer,Internal,,Prasanna Kumar Pattanaik,02-Mar-2026 11:48 AM,techsummary_564551.pdf (629.80 KB),02-Mar-2026,"INR 357,019.012",30.0,Prasanna Kumar Pattanaik,02-Mar-2026 12:04 PM,WORKORDERDORAGUDABLDG.pdf (247.00 KB),1,3252013,AJAY NAIK,24-Nov-2025 06:50 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,Executive Engineer,"RURAL WORKS DIVISION, RAYAGADA",17-Nov-2025 11:00 AM,28-Nov-2025 11:00 AM,17-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,17-Nov-2025 11:00 AM ,26-Nov-2025 05:00 PM ,17-Nov-2025 11:00 AM,27-Nov-2025 05:00 PM,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit GSTIN PAN RC and other papers as per DTCN,Repair to S I Quarter Building at Doraguda in Kashipur for the year 2025-26 in the district of Rayagada,Repair to S I Quarter Building at Dorgauda in Kashipur for the year 2025-26 in the district of Rayagada,NA ,NA ,"4,20,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Rayagada,765001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, RAYAGADA",No ,No,"4,200",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-RAYAGADA,EERWRGD Online 10 2025 26,2025_CERWI_121349_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3256482,AJIT KUMAR SENAPATI,27-Nov-2025 12:05 AM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3255174,BABULAL NAIK,25-Nov-2025 07:14 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3258407,BIJAYA KUMAR NAIK,27-Nov-2025 12:56 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3254199,CHANDAN CONSTRUCTION,25-Nov-2025 01:48 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3255167,DAHANA NAIK,25-Nov-2025 07:04 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3258068,DHARMADHAR NAIK,26-Nov-2025 05:57 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3260550,Dhiren Kumar Nayak,27-Nov-2025 03:51 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3258579,DURJADHANA MAJHI,26-Nov-2025 08:45 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3250814,GOBINDA CHANDRA SAHU,24-Nov-2025 02:10 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3258554,HARI KRUSHNA PRADHAN,26-Nov-2025 08:37 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3260741,HRUSHIKESH NAIK,27-Nov-2025 04:27 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3251564,JOGESWAR NAIK,24-Nov-2025 04:54 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3255270,LALBAHADUR NAIK,26-Nov-2025 08:57 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3239278,SANTOSH KUMAR SAHU,19-Nov-2025 06:42 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3252757,SIMANCHAL SAHU,25-Nov-2025 12:13 AM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3250514,TIRUPATI PRASAD PANIGRAHI,24-Nov-2025 01:47 PM,Rejected-AOC,1st LOWEST,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3258307,YUGANTA GARADA,26-Nov-2025 10:09 PM,Accepted-AOC,AS PER LOTTER WINER,02-Mar-2026 12:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
