Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Forest Environment and Climate Change Department||RCCF Berhampur||DFO Ghumsur South,GH(S)-BNJ-F.E and C.C-03/2025-26/6989 dtd. 24.12.2025,2025_DFOGS_123923_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,1.0,ICICI BANK,Construction of Fire Watch Tower at Sadangipalli under Aska Range,Building Works,Plz refer tender documents. ,NA ,"17,94,907",Civil Works - Buildings,NA ,Tender,90.0,90.0,"AT -Shadangipalli,VIA -Gopapalli PO/PS - Sheragada",761106.0,NA ,NA ,NA ,"O/o the DFO, Gh.South Division, Bhanjanagar",No ,No,29-Dec-2025 10:00 AM,05-Jan-2026 11:00 AM,29-Dec-2025 10:00 AM,03-Jan-2026 05:00 PM,NA ,NA ,29-Dec-2025 10:00 AM,03-Jan-2026 05:00 PM,"17,900",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid Security Declaration, Contractor RC, PAN, GST, Affidavit, No Relation, Other Documents as DTCN","DFO, Gh. South Division","O/o the DFO, Gh. South Division, Bhanjanagar",AOC,1,3338220,ANIL KUMAR SETHI,29-Dec-2025 07:15 PM,Accepted-AOC,Accepted in the transparent lottery System,20-Mar-2026 06:35 PM,20-Mar-2026,"INR 1,651,493",90.0,Vipasha Parul,20-Mar-2026 06:35 PM,AOCwatch.pdf (283.00 KB),Construction of Fire Watch Tower at Shadangipalli under Aska Range,Mrs. Vipash Parul,Internal,"Sri Pradeep Behera, ACF, Sri Nihar Ranjan Mallick, ACF, Sri Manas Ku. Sahoo, FRO, Sri Tapan Kumar Nayak, Sr. Asst.",Vipasha Parul,20-Mar-2026 06:14 PM,techsummary_573573.pdf (268.43 KB),Forest Environment and Climate Change Department||RCCF Berhampur||DFO Ghumsur South,2025_DFOGS_123923_1,GH(S)-BNJ-F.E and C.C-03/2025-26/6989 dtd. 24.12.2025,Construction of Fire Watch Tower at Sadangipalli under Aska Range,Mrs. Vipash Parul,Internal,"Sri Pradeep Behera, ACF, Sri Nihar Ranjan Mallick, ACF, Sri Manas Ku. Sahoo, FRO, Sri Tapan Ku. Nayak, Sr. Asst.",Vipasha Parul,20-Mar-2026 06:24 PM,finsummary_573573.pdf (268.43 KB),Finance,Opened,Vipasha Parul,05-Jan-2026 12:56 PM,finance_573573.pdf,BOQ Comparative Chart,1.0,3338220.0,ANIL KUMAR SETHI,INR,"1,651,493",AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,AOC,2,3343386,BAIJAYANTI SWAIN,03-Jan-2026 02:21 PM,Rejected-AOC,Rejected in the transparent lottery System,20-Mar-2026 06:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3342849,RATNAKAR PATRA,02-Jan-2026 07:27 PM,Rejected-AOC,Rejected in the transparent lottery System,20-Mar-2026 06:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
