Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
01-Mar-2026,"INR 68,615,861.68",270.0,Satyajit Dalai,05-Mar-2026 05:55 PM,Document16.pdf (1205.00 KB),The work has been awarded to Dakshya Construction,1.0,3059714.0,MESSERS DAKSHYA CONSTRUCTION,INR,"68,615,861.68",CE RW I||RWCIRCLE-KENDRAPARA,2025_CERWI_116946_14,Tender Online RCK-12/25,Impvt. to Rajnagar-Satavaya Road in the Dist. of Kendrapara under MMSY-Impvt. to Existing RD Roads for the year 2024-25.,1,3054537,ABHAYA KUMAR ROUT,29-Aug-2025 07:05 PM,Rejected-Finance,Rejected Bidder,13-Feb-2026 12:45 PM,Technical,13 no of bidders have been participated,Suchitra Kar,04-Sep-2025 01:55 PM,,CCE,Internal,,Nibedita Nayak,13-Feb-2026 12:45 PM,finsummary_549426.pdf (120.89 KB),Finance,11 no of bidders have been participated,Suchitra Kar,03-Oct-2025 01:59 PM,,BOQ Comparative Chart,CCE,Internal,,Nibedita Nayak,24-Sep-2025 05:33 PM,03-Oct-2025 11:00 AM,techsummary_549426.pdf (1585.38 KB),AOC,"Chief Construction Engineer,R.W Circle KPD-JJP","O/o CCE,R.W Circle,Kendrapara-Jajpur",1.0,Fee/PreQual/Technical,.pdf,"Paper cost, GST, EMD PAN,RC,Affidavit regarding correctness",Impvt. to Rajnagar-Satavaya Road in the Dist. of Kendrapara under MMSY-Impvt. to Existing RD Roads for the year 2024-25.,Construction and Maintenance of for the year 2024-25,Please refer tender documents ,NA ,"8,07,15,047",Civil Works - Roads,NA ,Tender,90.0,270.0,Kendrapara,754211.0,NA ,NA ,NA ,"O/o CCE,R.W Circle,Kendrapara-Jajpur",No ,No,"8,07,150",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-KENDRAPARA,Tender Online RCK-12/25,2025_CERWI_116946_14,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,16-Aug-2025 04:40 PM,03-Sep-2025 11:00 AM,16-Aug-2025 04:40 PM,02-Sep-2025 05:00 PM,16-Aug-2025 04:40 PM ,01-Sep-2025 02:00 PM ,16-Aug-2025 04:40 PM,02-Sep-2025 05:00 PM,03-Oct-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,2,3053541,AMLAN SAMAL,28-Aug-2025 11:10 PM,Rejected-Finance,Rejected Bidder,13-Feb-2026 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"Labour license, Similar nature of work, Work in hand, Annual Turn Over, No relation certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3052033,ANANTA PRASAD MALIK,01-Sep-2025 10:29 PM,Rejected-Finance,Rejected Bidder,13-Feb-2026 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"Machinery own obtained on hireBalance sheet, Bidder Contact address and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3061443,ASISHA KUMAR SAMAL,02-Sep-2025 04:10 PM,Rejected-Finance,Rejected Bidder,13-Feb-2026 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3060764,DILIP KUMAR SAMAL,02-Sep-2025 12:00 PM,Rejected-Finance,Rejected Bidder,13-Feb-2026 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3060749,HEMANTA KUMAR PATRA,02-Sep-2025 04:05 PM,Rejected-Technical,Disqulified due to non-submission of work in hand (format-II) as per clause no. 2.2.2 of instructions to bidders of DTCN.,24-Sep-2025 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3061290,KISHORE KUMAR PANDA,02-Sep-2025 03:20 PM,Rejected-Finance,Rejected Bidder,13-Feb-2026 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3059714,MESSERS DAKSHYA CONSTRUCTION,01-Sep-2025 05:11 PM,Accepted-AOC,The work has been awarded to Dakshya Construction,05-Mar-2026 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3061373,PRABHAT KUMAR BISOYI,02-Sep-2025 03:34 PM,Rejected-Finance,Rejected Bidder,13-Feb-2026 12:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3059826,PRAMOD KUMAR SWAIN,01-Sep-2025 06:02 PM,Rejected-Technical,"Disqualified due to insufficient of similar nature of work experience as per clause no. 2.1 (4) of eligibility criteria of General Instructions to tenderers of DTCN, due to non-furnishing of schedule G with certificate of S.E /E.E.",24-Sep-2025 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
