Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"10,000",0.0,Nil,Nil,No,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG2-A2/2025-26,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG2-A2/2025-26,N.A. ,NA ,"1,44,12,000",Civil Works - Roads,NA ,Tender,90.0,180.0,MALKANGIRI,764045.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online - 07/2025-26,2025_CERWI_116551_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,08-Aug-2025 09:00 AM,16-Aug-2025 11:00 AM,08-Aug-2025 09:00 AM,14-Aug-2025 05:00 PM,08-Aug-2025 09:00 AM ,13-Aug-2025 02:00 PM ,08-Aug-2025 09:00 AM,14-Aug-2025 05:00 PM,18-Dec-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate","1,44,200",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",AOC,Technical,bidders name,Rinku Nahak,12-Dec-2025 08:21 PM,technical_548744.pdf,CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_116551_7,CCERWCSBD Online - 07/2025-26,Periodical Renewal work of 5 year post DLP PMGSY Roads for financial year 2025-26 under State Budget for Package No. PM-MKG2-A2/2025-26,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,06-Mar-2026 08:06 PM,finsummary_548744.pdf (893.53 KB),1.0,3035393.0,MALAY SARKAR,INR,"12,251,458.12",1,3035470,ASISHA KUMAR SAMAL,14-Aug-2025 09:26 AM,Rejected-AOC,REJECT,06-Mar-2026 08:11 PM,06-Mar-2026,"INR 12,251,458.12",180.0,Rinku Nahak,06-Mar-2026 08:11 PM,AOCMKG2A2.pdf (986.00 KB),"Award of contract to Sri Malay Sarkar, A Class Contractor through transparency lottery system.","Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-II, Malkangiri Estimator R.W. Circle Sunabeda and P.A. to CCE",Rinku Nahak,12-Dec-2025 08:26 PM,18-Dec-2025 11:00 AM,techsummary_548744.pdf (1636.63 KB),Finance,CS,Rinku Nahak,06-Mar-2026 08:01 PM,finance_548744.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3033864,Dilip Somani,14-Aug-2025 12:44 PM,Rejected-AOC,REJECT,06-Mar-2026 08:11 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3035887,GIRADA SHYAM SUNDAR RAO,14-Aug-2025 01:50 PM,Rejected-AOC,REJECT,06-Mar-2026 08:11 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3035384,GOBINDA CHANDRA NAYAK,13-Aug-2025 11:23 PM,Rejected-AOC,REJECT,06-Mar-2026 08:11 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3035761,GOUTTAM MONDAL,14-Aug-2025 01:20 PM,Rejected-Technical,DISQUALIFIED,12-Dec-2025 08:26 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3032483,JANBI CONSTRUCTION,12-Aug-2025 03:27 PM,Rejected-AOC,REJECT,06-Mar-2026 08:11 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3033066,Kunja Bihari Sahu,13-Aug-2025 09:56 PM,Rejected-AOC,REJECT,06-Mar-2026 08:11 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3035622,MAHAMMAD JAFFAR KADRIYA,14-Aug-2025 11:47 AM,Rejected-AOC,REJECT,06-Mar-2026 08:11 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3035393,MALAY SARKAR,14-Aug-2025 08:20 AM,Accepted-AOC,"Award of contract to Sri Malay Sarkar, A Class Contractor through transparency lottery system.",06-Mar-2026 08:11 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3035342,MRINAL KANTA SARKAR,14-Aug-2025 12:32 AM,Rejected-AOC,REJECT,06-Mar-2026 08:11 PM,,,,,,,,,,,,,,,,,,,,,AOC
