S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3417790.0,UMESH CHANDRA MAHANANDA,INR,"1,678,305.54",Municipal Bodies||Kuchinda NAC,2026_ORULB_126404_16,KCDA/NAC-9/2025-26,Laying of Drain Cover Slab Drain from Drain from -Kanan House to Haresh Bagh House in Ward No-03,1,3417273,AMIT AGRAWAL,03-Mar-2026 10:49 AM,Rejected-AOC,Rejected,25-Mar-2026 04:09 PM,25-Mar-2026,"INR 1,678,305.54",60.0,Barun Kumar Sa,25-Mar-2026 04:09 PM,16.pdf (258.00 KB),Work Order Issued,Finance,Admitted,Nilamadhab Nag,09-Mar-2026 12:06 PM,finance_582320.pdf,BOQ Comparative Chart,Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa, Nilamadhab Nag,Manaranjan Suna",Barun Kumar Sa,25-Mar-2026 04:02 PM,finsummary_582320.pdf (629.69 KB),Pradyut Kumar Mohanty,Internal,"Barun Kumar Sa, Nilamadhab Nag,Manaranjan Suna",Barun Kumar Sa,25-Mar-2026 02:53 PM,techsummary_582320.pdf (633.47 KB),AOC,EXECUTIVE OFFICER,"At/Po/Ps-Kuchinda,Dist-Sambalpur,Odisha",23-Feb-2026 10:00 AM,06-Mar-2026 10:00 AM,23-Feb-2026 10:00 AM,05-Mar-2026 05:30 PM,23-Feb-2026 10:00 AM ,05-Mar-2026 05:30 PM ,23-Feb-2026 10:00 AM,05-Mar-2026 05:30 PM,"6,000",0.0,Nil,Nil,No,Laying of Drain Cover Slab Drain from Drain from -Kanan House to Haresh Bagh House in Ward No-03,Laying of Drain Cover Slab Drain from Drain from -Kanan House to Haresh Bagh House in Ward No-03,As per DTCN ,NA ,"16,78,305",Civil Works - Others,NA ,Tender,90.0,60.0,Ward No-3 NAC Kuchinda,768222.0,NA ,NA ,NA ,OFFICE OF THE NAC KUCHINDA,No ,No,Municipal Bodies||Kuchinda NAC,KCDA/NAC-9/2025-26,2026_ORULB_126404_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,ICICI BANK,"16,783",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,2,3418357,AMIT PRATAP SINGH,05-Mar-2026 12:30 AM,Rejected-AOC,Rejected,25-Mar-2026 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,3,3419597,ANGAD KUMAR RAY,05-Mar-2026 04:52 PM,Rejected-AOC,Rejected,25-Mar-2026 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3419625,ATISH KUMAR AGARWAL,05-Mar-2026 03:49 PM,Rejected-AOC,Rejected,25-Mar-2026 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3419076,Biranchi Narayan Sahu,05-Mar-2026 11:41 AM,Rejected-AOC,Rejected,25-Mar-2026 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3418118,BISHAL AGRAWAL,04-Mar-2026 02:55 PM,Rejected-AOC,Rejected,25-Mar-2026 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3409291,DIPTI PANDA,27-Feb-2026 10:52 AM,Rejected-AOC,Rejected,25-Mar-2026 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3415120,GOBINDA SAHOO,01-Mar-2026 03:05 PM,Rejected-AOC,Rejected,25-Mar-2026 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3418486,GOVIND MEHER,04-Mar-2026 07:41 PM,Rejected-AOC,Rejected,25-Mar-2026 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3417862,KAPILASH NAYAK,03-Mar-2026 05:42 PM,Rejected-AOC,Rejected,25-Mar-2026 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
