Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
06-May-2025 10:00 AM,23-May-2025 11:30 AM,06-May-2025 10:00 AM,22-May-2025 05:00 PM,06-May-2025 10:00 AM ,15-May-2025 05:00 PM ,06-May-2025 10:00 AM,22-May-2025 05:00 PM,08-Oct-2025 11:30 AM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","ACE,RBB-02/2025-26",2025_CEBMB_113125_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Contractor RC,","Additional CE, RB Basin, Berhampur","Office of the Additional CE, RB Basin Berhampur PIN 760004","Improvement to Service Road from RD 12.00Km to 23.00Km of HBMC and its distributaries that is Kanaka, Jaleswarkhandi, Chadheiapalli, Balia and Kharida-II of HIP.","Improvement to Service Road from RD 12.00Km to 23.00Km of HBMC and its distributaries that is Kanaka, Jaleswarkhandi, Chadheiapalli, Balia and Kharida-II of HIP.",Please refer Tender documents. ,NA ,"8,17,81,531",Civil Works - Others,NA ,Tender,90.0,365.0,Humma,761027.0,NA ,NA ,NA ,"Office of the Additional CE, RB Basin, Berhampur",No ,No,"8,18,000",Yes,fixed,,Nil,Nil,AOC,02-Dec-2025,"INR 69,522,479",365.0,Rajib Kumar Pandit,16-Mar-2026 04:45 PM,AOC.pdf (887.00 KB),"This work is awarded to ACP Construction Managing Partner, vide agreement No. 441 P1 of 2025-26 of Berhampur Irrigation Division, Berhampur",1,2927703,AB INFRAPROJECTS PVT LTD,21-May-2025 06:53 PM,Rejected-Finance,Loser of the lottery,18-Nov-2025 03:03 PM,Finance,Downloaded Successfully,Rajib Kumar Pandit,18-Nov-2025 02:57 PM,,BOQ Comparative Chart,"Rajib Kumar Pandit, Addl.CE",Internal,,Rajib Kumar Pandit,06-Oct-2025 04:11 PM,08-Oct-2025 11:30 AM,techsummary_538478.pdf (838.34 KB),"Rajib Kumar Pandit, Addl.CE",Internal,,Rajib Kumar Pandit,18-Nov-2025 03:03 PM,finsummary_538478.pdf (1138.67 KB),Technical,downloaded successfully,Rajib Kumar Pandit,06-Oct-2025 04:01 PM,,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur",2025_CEBMB_113125_1,"ACE,RBB-02/2025-26","Improvement to Service Road from RD 12.00Km to 23.00Km of HBMC and its distributaries that is Kanaka, Jaleswarkhandi, Chadheiapalli, Balia and Kharida-II of HIP.",1.0,2928476.0,ACP CONSTRUCTION,INR,"69,522,479",AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,"Affidavit under taking, declaring no Relationship with Department officials",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2928476,ACP CONSTRUCTION,22-May-2025 12:58 PM,Accepted-AOC,Winner of the lottery,16-Mar-2026 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,And any other documents as per SBD and DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2927761,BALARAM DALAI,21-May-2025 06:44 PM,Rejected-Technical,Non responsive and disqualified,06-Oct-2025 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2928796,CHANDAN PRASAD PADHY,22-May-2025 03:28 PM,Rejected-Technical,Non responsive and disqualified,06-Oct-2025 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2922332,Gajendra Prasad Panda,17-May-2025 07:42 PM,Rejected-Technical,Non responsive and disqualified,06-Oct-2025 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2927820,G.Gopal Rao Dora,21-May-2025 07:54 PM,Rejected-Technical,Non responsive and disqualified,06-Oct-2025 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2922498,PRABHAT KUMAR SAHU,21-May-2025 08:21 PM,Rejected-Finance,Loser of the lottery,18-Nov-2025 03:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2927947,Prajukta Mahapatra,21-May-2025 09:52 PM,Rejected-Technical,Non responsive and disqualified,06-Oct-2025 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2923122,Prakash Chandra Sahu,19-May-2025 02:01 PM,Rejected-Technical,Non responsive and disqualified,06-Oct-2025 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2928530,SURENDRA KUMAR MAHAKUDA,22-May-2025 03:18 PM,Rejected-Technical,Non responsive and disqualified,06-Oct-2025 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,11,2928591,Surendranath Gouda,22-May-2025 02:04 PM,Rejected-Finance,Loser of the lottery,18-Nov-2025 03:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,12,2923511,Tapan Kumar Sahu,18-May-2025 01:55 PM,Rejected-Technical,Non responsive and disqualified,06-Oct-2025 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
